,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,성북,38㎡,서울시 성북구 성북동,1129010100,348-3,서울시 성북구 성북로31길 40-12,37.595042,126.9888,49,0,6,6,0,0,0,,HT001,38.32,37.36,97,2,1,37,계단식,25425,101700,5085,71190,0,0,0,,,,,"2억 5,000",,,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,15,37.0,67.0
1,성북,45,서울시 성북구 성북동,1129010100,348-3,서울시 성북구 성북로31길 40-12,37.595042,126.9888,49,0,6,6,0,0,0,,HT001,45.75,44.79,98,2,1,12,계단식,28350,113400,5670,79380,0,0,0,,,,,,,,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,15,37.0,67.0
0,성북외교관사택단지,145B2㎡,서울시 성북구 성북동,1129010100,352,서울시 성북구 성북로 176,37.595263,126.991091,61,0,3,2,82,30,139,(주)서머셋엔지니어링,HT001,145.7,134.83,93,3,3,20,복합식,1885200,3142560,377040,880320,415584,346320,69264,,,,"18억 5,000",20억,,15억,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,13,37.0,67.0
1,성북외교관사택단지,160B1㎡,서울시 성북구 성북동,1129010100,352,서울시 성북구 성북로 176,37.595263,126.991091,61,0,3,2,82,30,139,(주)서머셋엔지니어링,HT001,160.26,148.71,93,4,3,20,복합식,2194800,3622440,438960,988680,777816,648180,129636,,,,,,12억,15억,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,13,37.0,67.0
2,성북외교관사택단지,204A1㎡,서울시 성북구 성북동,1129010100,352,서울시 성북구 성북로 176,37.595263,126.991091,61,0,3,2,82,30,139,(주)서머셋엔지니어링,HT001,204.48,186.42,91,3,3,12,복합식,2770800,4515240,554160,1190280,1848456,1540380,308076,,,,,22억,"13억 8,000",15억,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,13,37.0,67.0
3,성북외교관사택단지,220A2,서울시 성북구 성북동,1129010100,352,서울시 성북구 성북로 176,37.595263,126.991091,61,0,3,2,82,30,139,(주)서머셋엔지니어링,HT001,220.24,201.95,92,4,2,9,복합식,2914800,4738440,582960,1240680,2146536,1788780,357756,,,,"21억 5,000",23억,,,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,13,37.0,67.0
0,엘타운(도시형),42A㎡,서울시 성북구 성북동,1129010100,184-13,서울시 성북구 성북로6길 12,37.589956,127.005156,13,0,5,4,180,58,7,지더블유건설 (주),HT001,42.13,27.8,66,1,1,1,계단식,78000,194400,15600,100800,0,0,0,,,,,,,,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,14,37.0,67.0
1,엘타운(도시형),42B㎡,서울시 성북구 성북동,1129010100,184-13,서울시 성북구 성북로6길 12,37.589956,127.005156,13,0,5,4,180,58,7,지더블유건설 (주),HT001,42.83,28.26,66,1,1,1,계단식,79800,198240,15960,102480,0,0,0,,,,,,,,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,14,37.0,67.0
2,엘타운(도시형),43C㎡,서울시 성북구 성북동,1129010100,184-13,서울시 성북구 성북로6길 12,37.589956,127.005156,13,0,5,4,180,58,7,지더블유건설 (주),HT001,43.77,28.88,66,1,1,4,계단식,83400,205920,16680,105840,0,0,0,,,,,,,,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,14,37.0,67.0
3,엘타운(도시형),45㎡,서울시 성북구 성북동,1129010100,184-13,서울시 성북구 성북로6길 12,37.589956,127.005156,13,0,5,4,180,58,7,지더블유건설 (주),HT001,45.1,29.76,66,1,1,1,계단식,85200,209760,17040,107520,0,0,0,,,,,,,,,,,,서울성북초등학교,B100002303,서울특별시 성북구 성북동 66-1,공립,단설,19460901,서울특별시교육청,http://sungbuk.sen.es.kr,20230531,15.2,13.7,100,105,20230531,4,20,2,2,2,2,3,2,30,26,31,31,44,,2,6,13,205,2,3,0,0,20230531,7,,0,0.0,20230531,직영,3550,331,270047000,37.59365592,126.99827889,1129010100,서울시,19.8,17.4,성북구,20.2,18.2,14,37.0,67.0
