,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,SH(주상복합),87,서울시 송파구 거여동,1171011300,27-3,서울시 송파구 양산로10길 5,37.492623,127.144979,6,0,7,7,314,51,11,(주)정이엔씨,HT001,87.02,74,85,3,2,6,계단식,205500,462480,41100,215880,0,0,0,,,,,"8억 5,000",4억,"5억 5,000",,,,,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,9,120.0,198.0
0,SP센트리움시티(주상복합),75㎡,서울시 송파구 거여동,1171011300,22-4,서울시 송파구 거마로3길 7,37.494141,127.143626,21,0,9,9,322,56,25,효산건설(주),HT001,75.91,67.28,89,3,1,7,계단식,,,,,,,,,,,,,,5억,,,,,서울영풍초등학교,B100000937,서울특별시 송파구 거여동 12번지,공립,단설,19821010,서울특별시교육청,http://youngpung.sen.es.kr,20230531,15.0,20.3,329,341,20230531,7,46,5,5,5,4,6,6,104,117,100,95,120,,2,9,31,670,3,3,0,0,20230531,3,,0,0.0,20230531,직영,3377,670,902672000,37.49599481,127.14296475,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,3,125.0,19.0
1,SP센트리움시티(주상복합),78㎡,서울시 송파구 거여동,1171011300,22-4,서울시 송파구 거마로3길 7,37.494141,127.143626,21,0,9,9,322,56,25,효산건설(주),HT001,78.56,69.64,89,3,1,7,계단식,,,,,,,,,,,,,,,,,,,서울영풍초등학교,B100000937,서울특별시 송파구 거여동 12번지,공립,단설,19821010,서울특별시교육청,http://youngpung.sen.es.kr,20230531,15.0,20.3,329,341,20230531,7,46,5,5,5,4,6,6,104,117,100,95,120,,2,9,31,670,3,3,0,0,20230531,3,,0,0.0,20230531,직영,3377,670,902672000,37.49599481,127.14296475,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,3,125.0,19.0
2,SP센트리움시티(주상복합),91,서울시 송파구 거여동,1171011300,22-4,서울시 송파구 거마로3길 7,37.494141,127.143626,21,0,9,9,322,56,25,효산건설(주),HT001,91.01,80.67,89,3,2,7,계단식,,,,,,,,,,,"9억 9,000",11억,6억,8억,,,,,서울영풍초등학교,B100000937,서울특별시 송파구 거여동 12번지,공립,단설,19821010,서울특별시교육청,http://youngpung.sen.es.kr,20230531,15.0,20.3,329,341,20230531,7,46,5,5,5,4,6,6,104,117,100,95,120,,2,9,31,670,3,3,0,0,20230531,3,,0,0.0,20230531,직영,3377,670,902672000,37.49599481,127.14296475,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,3,125.0,19.0
0,e편한세상송파파크센트럴,81C㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,81.76,59.93,73,3,2,33,계단식,,,,,,,,,,,,,,,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
1,e편한세상송파파크센트럴,81D㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,81.42,59.94,74,3,2,32,계단식,,,,,,,,,,,,,,"6억 5,000",,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
2,e편한세상송파파크센트럴,82A㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,82.67,59.96,73,3,2,184,계단식,,,,,,,,,,,11억,"13억 7,000","6억 4,000","6억 7,000",,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
3,e편한세상송파파크센트럴,82B㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,82.65,59.94,73,3,2,56,계단식,,,,,,,,,,,"12억 5,000",13억,,,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
4,e편한세상송파파크센트럴,111A㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,111.22,84.96,76,3,2,233,계단식,,,,,,,,,,,14억,"16억 5,000","7억 2,000",8억,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
5,e편한세상송파파크센트럴,111C㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,111.77,84.97,76,3,2,94,계단식,,,,,,,,,,,"13억 5,000","16억 5,000",,"7억 3,000",,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
6,e편한세상송파파크센트럴,111F㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,111.49,84.95,76,3,3,50,계단식,,,,,,,,,,,13억,15억,2억,"7억 5,000",,"1,000/90",,"1,000/90",서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
7,e편한세상송파파크센트럴,111E㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,111.02,84.94,77,3,2,47,계단식,,,,,,,,,,,,,,,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
8,e편한세상송파파크센트럴,111G㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,111.48,84.96,76,3,2,31,계단식,,,,,,,,,,,,,,"7억 2,000",,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
9,e편한세상송파파크센트럴,111H㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,111.44,84.96,76,3,2,31,계단식,,,,,,,,,,,,,,,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
10,e편한세상송파파크센트럴,111B㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,111.05,84.96,77,3,2,28,계단식,,,,,,,,,,,,"14억 5,000",,"7억 2,000",,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
11,e편한세상송파파크센트럴,112D㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,112.87,84.98,75,3,2,28,계단식,,,,,,,,,,,13억,15억,,"7억 7,000",,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
12,e편한세상송파파크센트럴,114I㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,114.85,84.81,74,3,2,2,계단식,,,,,,,,,,,,,,,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
13,e편한세상송파파크센트럴,137B㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,137.68,113.18,82,4,2,59,계단식,,,,,,,,,,,"17억 8,000",20억,,"8억 5,000",,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
14,e편한세상송파파크센트럴,139A㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,139.21,113.63,82,4,2,60,계단식,,,,,,,,,,,17억,21억,,,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
15,e편한세상송파파크센트럴,182B㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,182.95,140.23,77,4,2,2,계단식,,,,,,,,,,,,34억,,,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
16,e편한세상송파파크센트럴,183A㎡,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,183.61,140.28,76,4,2,1,계단식,,,,,,,,,,,,,,,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
17,e편한세상송파파크센트럴,198,서울시 송파구 거여동,1171011300,696,서울시 송파구 오금로 551,37.493165,127.150335,1199,227,33,7,277,20,1479,대림산업(주),HT005,198.29,151.3,76,5,2,1,계단식,,,,,,,,,,,,,,,,,,,서울마천초등학교,B100000913,서울특별시 송파구 마천동 183-4번지,공립,단설,19780201,서울특별시교육청,http://smacheon.sen.es.kr,20230531,16.9,19.7,420,387,20230531,6,53,6,6,6,6,7,8,115,126,116,121,142,,2,11,39,807,1,5,0,0,20230531,6,,0,0.0,20230531,직영,3347,1033,899886000,37.4953452,127.15232222,1171011400,서울시,19.8,17.4,송파구,21.5,18.0,2,176.0,100.0
0,거여1단지,54B㎡,서울시 송파구 거여동,1171011300,290,서울시 송파구 양산로8길 8,37.491314,127.144632,1004,0,12,8,275,30,554,미주건설,HT005,54.87,38.9,71,2,1,8,복도식,242100,585990,48420,295470,0,0,0,,201013,134518,,,,,,,,,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,5,120.0,198.0
1,거여1단지,55A㎡,서울시 송파구 거여동,1171011300,290,서울시 송파구 양산로8길 8,37.491314,127.144632,1004,0,12,8,275,30,554,미주건설,HT005,55.81,39.6,71,2,1,322,복도식,251100,603090,50220,301770,0,0,0,,204630,136939,"5억 8,000","6억 5,000","2억 6,500","2억 8,000",1억/70,"1억 5,000/30",1억/70,"1억 5,000/30",서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,5,120.0,198.0
2,거여1단지,70㎡,서울시 송파구 거여동,1171011300,290,서울시 송파구 양산로8길 8,37.491314,127.144632,1004,0,12,8,275,30,554,미주건설,HT005,70.18,49.8,71,2,1,494,복도식,387000,861300,77400,396900,0,0,0,,257338,172211,"7억 5,000","8억 5,000","3억 3,000","3억 6,000","5,000/110","5,000/125","5,000/110","5,000/125",서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,5,120.0,198.0
3,거여1단지,83B㎡,서울시 송파구 거여동,1171011300,290,서울시 송파구 양산로8길 8,37.491314,127.144632,1004,0,12,8,275,30,554,미주건설,HT005,83.18,58.99,71,3,1,8,복도식,466200,997920,93240,438480,0,0,0,,304826,203990,,"8억 5,000",,,,,,,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,5,120.0,198.0
4,거여1단지,84A,서울시 송파구 거여동,1171011300,290,서울시 송파구 양산로8길 8,37.491314,127.144632,1004,0,12,8,275,30,554,미주건설,HT005,84.17,59.73,71,3,1,172,복도식,466200,997920,93240,438480,0,0,0,,308650,206550,"8억 5,000","8억 6,000",,4억,,,,,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,5,120.0,198.0
0,"거여2단지효성,동아",122㎡,서울시 송파구 거여동,1171011300,291,서울시 송파구 양산로8길 24,37.490362,127.146305,478,0,15,15,235,21,915,"동아건설,효성중공업(주)",HT005,122.89,101.95,83,4,2,180,계단식,1044000,1838700,208800,585900,0,0,0,,391839,240902,"11억 8,000",13억,,"6억 5,000",,,,,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,5,120.0,198.0
1,"거여2단지효성,동아",158,서울시 송파구 거여동,1171011300,291,서울시 송파구 양산로8길 24,37.490362,127.146305,478,0,15,15,235,21,915,"동아건설,효성중공업(주)",HT005,158.37,134.88,85,4,2,298,계단식,1267200,2184660,253440,664020,0,0,0,,518404,318713,"12억 7,000",15억,6억,7억,,,,,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,5,120.0,198.0
0,거여4단지,56B㎡,서울시 송파구 거여동,1171011300,293,서울시 송파구 양산로4길 8,37.489407,127.143873,546,0,12,8,240,24,0,삼익주택(주),HT005,56.58,38.9,69,2,1,8,복도식,257400,615060,51480,306180,0,0,0,,195348,122498,,,,,,,,,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,3,120.0,198.0
1,거여4단지,57A㎡,서울시 송파구 거여동,1171011300,293,서울시 송파구 양산로4길 8,37.489407,127.143873,546,0,12,8,240,24,0,삼익주택(주),HT005,57.55,39.6,69,2,1,166,복도식,257400,615060,51480,306180,0,0,0,,198864,124702,"6억 6,000",7억,,,,,,,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,3,120.0,198.0
2,거여4단지,72㎡,서울시 송파구 거여동,1171011300,293,서울시 송파구 양산로4길 8,37.489407,127.143873,546,0,12,8,240,24,0,삼익주택(주),HT005,72.38,49.8,69,2,1,177,복도식,358200,806580,71640,376740,0,0,0,,250086,156823,"7억 8,000",9억,"3억 5,000","3억 9,000",,2억/40,,2억/40,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,3,120.0,198.0
3,거여4단지,86,서울시 송파구 거여동,1171011300,293,서울시 송파구 양산로4길 8,37.489407,127.143873,546,0,12,8,240,24,0,삼익주택(주),HT005,86.8,59.73,69,3,1,195,복도식,434700,947520,86940,425880,0,0,0,,299952,188093,"8억 9,000",10억,"3억 7,000","4억 5,000",,,,,서울거원초등학교,B100000905,서울특별시 송파구 거여동 296-1번지,공립,단설,19970901,서울특별시교육청,http://guhwon.sen.es.kr,20230531,16.0,18.7,335,301,20230531,5,48,6,5,4,5,6,6,98,112,91,93,112,,2,10,32,636,2,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,799,802312000,37.48782197,127.14502516,1171011300,서울시,19.8,17.4,송파구,21.5,18.0,3,120.0,198.0
