,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,CS타워(도시형),33B㎡,서울시 종로구 충신동,1111016700,62-2,서울시 종로구 율곡로20길 24,37.575099,127.00402,68,0,15,15,493,59,23,(주)태주종합건설,HT001,33.59,22.17,66,1,1,34,복도식,,,,,,,,,,,"1억 4,500","1억 6,900","1억 8,000","1억 8,500",,,,,서울효제초등학교,B100002400,서울특별시 종로구 효제동 255-4번지,공립,단설,18951115,서울특별시교육청,https://hyoje.sen.es.kr/,20230531,11.2,16.1,117,92,20230531,3,25,2,2,2,2,2,2,22,27,32,33,49,,1,6,12,209,2,2,0,0,20230531,11,,0,0.0,20230531,직영,3855,262,329585000,37.57268437,127.0029296,1111016200,서울시,19.8,17.4,종로구,16.7,14.8,5,40.0,110.0,
1,CS타워(도시형),34A,서울시 종로구 충신동,1111016700,62-2,서울시 종로구 율곡로20길 24,37.575099,127.00402,68,0,15,15,493,59,23,(주)태주종합건설,HT001,34.39,21.94,64,1,1,34,복도식,,,,,,,,,,,,,,,,,,,서울효제초등학교,B100002400,서울특별시 종로구 효제동 255-4번지,공립,단설,18951115,서울특별시교육청,https://hyoje.sen.es.kr/,20230531,11.2,16.1,117,92,20230531,3,25,2,2,2,2,2,2,22,27,32,33,49,,1,6,12,209,2,2,0,0,20230531,11,,0,0.0,20230531,직영,3855,262,329585000,37.57268437,127.0029296,1111016200,서울시,19.8,17.4,종로구,16.7,14.8,5,40.0,110.0,
0,힐스테이트창경궁(주상복합),80㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,80.27,63.09,79,2,2,15,계단식,,,,,,,,,,,,,,,,"5,000/245",,"5,000/245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,힐스테이트창경궁(주상복합),96A㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,96.46,76.82,80,3,2,29,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,힐스테이트창경궁(주상복합),96B㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,96.97,76.83,79,3,2,12,계단식,,,,,,,,,,,,15억,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,힐스테이트창경궁(주상복합),106A㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,106.19,84.95,80,3,2,39,계단식,,,,,,,,,,,15억,17억,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,힐스테이트창경궁(주상복합),106C㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,106.29,84.97,80,3,2,26,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,힐스테이트창경궁(주상복합),106B㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,106.29,84.97,80,3,2,13,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,힐스테이트창경궁(주상복합),106E㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,106.19,84.95,80,3,2,12,계단식,,,,,,,,,,,,,,,2억/250,3억/200,2억/250,3억/200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,힐스테이트창경궁(주상복합),107D㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,107.32,84.96,79,3,2,13,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,힐스테이트창경궁(주상복합),151,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,151.6,118.87,78,4,2,1,계단식,,,,,,,,,,,,,,23억,,5억/600,,5억/600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
