,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,DUO302(도시형),28,서울시 중구 황학동,1114016500,819,서울시 중구 난계로 169,37.566631,127.023288,98,0,19,17,885,59,37,(주)이안알앤씨,HT001,28.22,15.97,57,1,1,98,복도식,,,,,,,,,,,"1억 6,000","1억 7,000",,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,3,56.0,129.0,
0,골드캐슬Ⅰ(주상복합),21㎡,서울시 중구 황학동,1114016500,1725,서울시 중구 난계로21길 19,37.570098,127.022335,16,0,10,10,504,59,10,(주)원형건설,HT001,21.44,17.71,83,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울광희초등학교,B100002369,서울특별시 중구 신당동 254번지,공립,병설,18950719,서울특별시교육청,http://gwanghee.sen.es.kr,20230531,11.8,16.9,121,149,20230531,2,25,3,3,2,2,2,4,54,52,33,37,43,,0,0,16,270,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3480,313,539288000,37.56745768,127.01502278,1114016200,서울시,19.8,17.4,중구,17.9,14.8,16,51.0,46.0,
1,골드캐슬Ⅰ(주상복합),36A㎡,서울시 중구 황학동,1114016500,1725,서울시 중구 난계로21길 19,37.570098,127.022335,16,0,10,10,504,59,10,(주)원형건설,HT001,36.07,29.79,83,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울광희초등학교,B100002369,서울특별시 중구 신당동 254번지,공립,병설,18950719,서울특별시교육청,http://gwanghee.sen.es.kr,20230531,11.8,16.9,121,149,20230531,2,25,3,3,2,2,2,4,54,52,33,37,43,,0,0,16,270,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3480,313,539288000,37.56745768,127.01502278,1114016200,서울시,19.8,17.4,중구,17.9,14.8,16,51.0,46.0,
2,골드캐슬Ⅰ(주상복합),36B㎡,서울시 중구 황학동,1114016500,1725,서울시 중구 난계로21길 19,37.570098,127.022335,16,0,10,10,504,59,10,(주)원형건설,HT001,36.11,29.82,83,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울광희초등학교,B100002369,서울특별시 중구 신당동 254번지,공립,병설,18950719,서울특별시교육청,http://gwanghee.sen.es.kr,20230531,11.8,16.9,121,149,20230531,2,25,3,3,2,2,2,4,54,52,33,37,43,,0,0,16,270,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3480,313,539288000,37.56745768,127.01502278,1114016200,서울시,19.8,17.4,중구,17.9,14.8,16,51.0,46.0,
3,골드캐슬Ⅰ(주상복합),36C,서울시 중구 황학동,1114016500,1725,서울시 중구 난계로21길 19,37.570098,127.022335,16,0,10,10,504,59,10,(주)원형건설,HT001,36.17,29.87,83,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울광희초등학교,B100002369,서울특별시 중구 신당동 254번지,공립,병설,18950719,서울특별시교육청,http://gwanghee.sen.es.kr,20230531,11.8,16.9,121,149,20230531,2,25,3,3,2,2,2,4,54,52,33,37,43,,0,0,16,270,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3480,313,539288000,37.56745768,127.01502278,1114016200,서울시,19.8,17.4,중구,17.9,14.8,16,51.0,46.0,
0,골드캐슬Ⅱ(주상복합),41㎡,서울시 중구 황학동,1114016500,1758,서울시 중구 난계로17길 58-6,37.569843,127.020497,7,0,9,8,414,59,4,주식회사 은진종합건설,HT001,41.22,29.87,72,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울광희초등학교,B100002369,서울특별시 중구 신당동 254번지,공립,병설,18950719,서울특별시교육청,http://gwanghee.sen.es.kr,20230531,11.8,16.9,121,149,20230531,2,25,3,3,2,2,2,4,54,52,33,37,43,,0,0,16,270,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3480,313,539288000,37.56745768,127.01502278,1114016200,서울시,19.8,17.4,중구,17.9,14.8,10,51.0,46.0,
1,골드캐슬Ⅱ(주상복합),86,서울시 중구 황학동,1114016500,1758,서울시 중구 난계로17길 58-6,37.569843,127.020497,7,0,9,8,414,59,4,주식회사 은진종합건설,HT001,86.62,62.78,72,3,2,1,계단식,,,,,,,,,,,,,,,,,,,서울광희초등학교,B100002369,서울특별시 중구 신당동 254번지,공립,병설,18950719,서울특별시교육청,http://gwanghee.sen.es.kr,20230531,11.8,16.9,121,149,20230531,2,25,3,3,2,2,2,4,54,52,33,37,43,,0,0,16,270,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3480,313,539288000,37.56745768,127.01502278,1114016200,서울시,19.8,17.4,중구,17.9,14.8,10,51.0,46.0,
0,골드캐슬Ⅲ(주상복합),35A㎡,서울시 중구 황학동,1114016500,1743,서울시 중구 난계로21길 39,37.570283,127.021308,40,0,13,13,606,59,27,주식회사일영종합건설,HT001,35.89,29.16,81,2,1,8,복도식,,,,,,,,,,,,,,,,,,,서울광희초등학교,B100002369,서울특별시 중구 신당동 254번지,공립,병설,18950719,서울특별시교육청,http://gwanghee.sen.es.kr,20230531,11.8,16.9,121,149,20230531,2,25,3,3,2,2,2,4,54,52,33,37,43,,0,0,16,270,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3480,313,539288000,37.56745768,127.01502278,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,51.0,46.0,
1,골드캐슬Ⅲ(주상복합),36B㎡,서울시 중구 황학동,1114016500,1743,서울시 중구 난계로21길 39,37.570283,127.021308,40,0,13,13,606,59,27,주식회사일영종합건설,HT001,36.39,29.52,81,2,1,8,복도식,,,,,,,,,,,"3억 2,000","3억 5,000",,,,,,,서울광희초등학교,B100002369,서울특별시 중구 신당동 254번지,공립,병설,18950719,서울특별시교육청,http://gwanghee.sen.es.kr,20230531,11.8,16.9,121,149,20230531,2,25,3,3,2,2,2,4,54,52,33,37,43,,0,0,16,270,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3480,313,539288000,37.56745768,127.01502278,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,51.0,46.0,
2,골드캐슬Ⅲ(주상복합),36C㎡,서울시 중구 황학동,1114016500,1743,서울시 중구 난계로21길 39,37.570283,127.021308,40,0,13,13,606,59,27,주식회사일영종합건설,HT001,36.57,29.7,81,2,1,8,복도식,,,,,,,,,,,,,,"2억 6,000",,"2억 2,000/20",,"2억 2,000/20",서울광희초등학교,B100002369,서울특별시 중구 신당동 254번지,공립,병설,18950719,서울특별시교육청,http://gwanghee.sen.es.kr,20230531,11.8,16.9,121,149,20230531,2,25,3,3,2,2,2,4,54,52,33,37,43,,0,0,16,270,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3480,313,539288000,37.56745768,127.01502278,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,51.0,46.0,
