,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,대흥세양,80㎡,서울시 마포구 대흥동,1144010800,802,서울시 마포구 독막로 288,37.544455,126.944848,126,0,18,8,377,43,167,,HT001,80.62,60,74,3,1,34,복도식,387900,863010,77580,397530,0,0,0,,,,,,,6억,,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,5,224.0,328.0
1,대흥세양,113A㎡,서울시 마포구 대흥동,1144010800,802,서울시 마포구 독막로 288,37.544455,126.944848,126,0,18,8,377,43,167,,HT001,113.71,84.6,74,3,2,68,계단식,612675,1232280,122535,497070,0,0,0,,,,,"12억 5,000",,,,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,5,224.0,328.0
2,대흥세양,113B㎡,서울시 마포구 대흥동,1144010800,802,서울시 마포구 독막로 288,37.544455,126.944848,126,0,18,8,377,43,167,,HT001,113.49,84.45,74,3,2,7,계단식,557550,1144080,111510,475020,0,0,0,,,,,,,,,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,5,224.0,328.0
3,대흥세양,153,서울시 마포구 대흥동,1144010800,802,서울시 마포구 독막로 288,37.544455,126.944848,126,0,18,8,377,43,167,,HT001,153.55,114.24,74,4,2,17,계단식,1056600,1858230,211320,590310,0,0,0,,,,,"13억 8,000",,"8억 5,000",,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,5,224.0,328.0
0,대흥태영(마포태영),83㎡,서울시 마포구 대흥동,1144010800,660,서울시 마포구 독막로 266,37.544731,126.942547,1992,568,25,15,344,22,1953,(주)태영,HT005,83.98,59.4,71,3,1,464,복도식,,,,,,,,,258801,184944,"10억 8,000",12억,"4억 8,000",6억,,3억/100,,3억/100,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,4,224.0,328.0
1,대흥태영(마포태영),109㎡,서울시 마포구 대흥동,1144010800,660,서울시 마포구 독막로 266,37.544731,126.942547,1992,568,25,15,344,22,1953,(주)태영,HT005,109.39,84.77,77,3,2,586,계단식,,,,,,,,,369336,263934,15억,"17억 5,000",,7억,,5억/110,,5억/110,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,4,224.0,328.0
2,대흥태영(마포태영),142,서울시 마포구 대흥동,1144010800,660,서울시 마포구 독막로 266,37.544731,126.942547,1992,568,25,15,344,22,1953,(주)태영,HT005,142.97,114.93,80,4,2,374,계단식,,,,,,,,,500741,357838,"17억 5,000",25억,9억,"9억 5,000",,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,4,224.0,328.0
0,동양엔파트,105A㎡,서울시 마포구 대흥동,1144010800,803,서울시 마포구 백범로 82,37.547966,126.940487,165,0,15,15,249,19,195,동양메이저(주),HT001,105.96,84.89,80,3,2,90,계단식,1044000,1838700,208800,585900,0,0,0,,238246,240478,,,,"7억 1,000",,,,,서울용강초등학교,B100002007,서울특별시 마포구 대흥동 51,공립,단설,19160426,서울특별시교육청,http://yonggang.sen.es.kr,20230531,17.0,20.0,258,282,20230531,3,38,4,4,4,4,5,4,86,85,96,81,107,,2,11,25,540,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3377,540,621453000,37.5487996,126.94385686,1144010800,서울시,19.8,17.4,마포구,20.1,18.0,5,74.0,144.0
1,동양엔파트,106B㎡,서울시 마포구 대흥동,1144010800,803,서울시 마포구 백범로 82,37.547966,126.940487,165,0,15,15,249,19,195,동양메이저(주),HT001,106.72,84.93,80,3,2,45,계단식,1044000,1838700,208800,585900,0,0,0,,238359,240591,,,,,,,,,서울용강초등학교,B100002007,서울특별시 마포구 대흥동 51,공립,단설,19160426,서울특별시교육청,http://yonggang.sen.es.kr,20230531,17.0,20.0,258,282,20230531,3,38,4,4,4,4,5,4,86,85,96,81,107,,2,11,25,540,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3377,540,621453000,37.5487996,126.94385686,1144010800,서울시,19.8,17.4,마포구,20.1,18.0,5,74.0,144.0
2,동양엔파트,108C,서울시 마포구 대흥동,1144010800,803,서울시 마포구 백범로 82,37.547966,126.940487,165,0,15,15,249,19,195,동양메이저(주),HT001,108.12,84.91,79,3,2,30,계단식,1044000,1838700,208800,585900,0,0,0,,238294,240527,,,,,,,,,서울용강초등학교,B100002007,서울특별시 마포구 대흥동 51,공립,단설,19160426,서울특별시교육청,http://yonggang.sen.es.kr,20230531,17.0,20.0,258,282,20230531,3,38,4,4,4,4,5,4,86,85,96,81,107,,2,11,25,540,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3377,540,621453000,37.5487996,126.94385686,1144010800,서울시,19.8,17.4,마포구,20.1,18.0,5,74.0,144.0
