,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,공덕자이,85㎡,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,85.54,59.99,70,3,2,285,계단식,,,,,,,,,319667,210205,"12억 8,000","13억 5,000",,,,4억/150,,4억/150,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
1,공덕자이,110B㎡,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,110.26,84.99,77,3,2,83,계단식,,,,,,,,,452883,297805,"14억 8,000",16억,,,,,,,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
2,공덕자이,110C㎡,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,110.04,84.99,77,3,2,62,계단식,,,,,,,,,452883,297805,"15억 5,000","16억 5,000",,,,,,,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
3,공덕자이,111A㎡,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,111.95,84.99,76,3,2,152,계단식,,,,,,,,,452883,297805,"15억 5,000","16억 8,000",,,,,,,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
4,공덕자이,111G㎡,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,111.52,84.99,76,3,2,11,계단식,,,,,,,,,452883,297805,,,,,,,,,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
5,공덕자이,112D㎡,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,112.31,84.99,76,3,2,77,계단식,,,,,,,,,452883,297805,,"16억 5,000",,,,,,,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
6,공덕자이,112E㎡,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,112.81,84.99,75,3,2,46,계단식,,,,,,,,,452883,297805,16억,"16억 5,000",,,,,,,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
7,공덕자이,113F㎡,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,113.11,84.99,75,3,2,46,계단식,,,,,,,,,452883,297805,,,8억,"9억 5,000",,,,,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
8,공덕자이,144A㎡,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,144.25,114.99,80,4,2,41,계단식,,,,,,,,,612743,402924,,"19억 5,000",,,,5억/230,,5억/230,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
9,공덕자이,152B,서울시 마포구 아현동,1144010100,800,서울시 마포구 마포대로24길 16,37.553416,126.958597,1164,201,21,11,230,0,1544,지에스건설 주식회사,HT002,152.75,114.99,75,4,2,160,계단식,,,,,,,,,612743,402924,19억,20억,"10억 5,000",11억,,,,,서울소의초등학교,B100001992,서울특별시 마포구 아현동 386-1,공립,단설,19330501,서울특별시교육청,http://soeui.sen.es.kr,20230531,17.5,20.4,227,223,20230531,4,32,4,4,3,3,4,3,80,82,69,67,83,,1,7,21,450,3,2,0,0,20230531,10,,0,0.0,20230531,직영,3377,531,584364000,37.55221087,126.96082108,1144010100,서울시,19.8,17.4,마포구,20.1,18.0,1,62.0,112.0
