,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,보미리즌빌(도시형),24㎡,서울시 성북구 동소문동6가,1129010900,117-2,서울시 성북구 동소문로 89,37.592648,127.015393,149,0,19,19,669,59,34,(주)보미,HT001,24.54,14.18,58,1,1,108,복도식,32100,125460,6420,86940,0,0,0,,,,,,,,"8,000/55","1억 9,000/5","8,000/55","1억 9,000/5",서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,6,137.0,273.0
1,보미리즌빌(도시형),25㎡,서울시 성북구 동소문동6가,1129010900,117-2,서울시 성북구 동소문로 89,37.592648,127.015393,149,0,19,19,669,59,34,(주)보미,HT001,25.95,14.99,58,1,1,8,복도식,33450,128970,6690,88830,0,0,0,,,,,,,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,6,137.0,273.0
2,보미리즌빌(도시형),29㎡,서울시 성북구 동소문동6가,1129010900,117-2,서울시 성북구 동소문로 89,37.592648,127.015393,149,0,19,19,669,59,34,(주)보미,HT001,29.68,17.15,58,1,1,8,복도식,42000,151200,8400,100800,0,0,0,,,,,,,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,6,137.0,273.0
3,보미리즌빌(도시형),39A㎡,서울시 성북구 동소문동6가,1129010900,117-2,서울시 성북구 동소문로 89,37.592648,127.015393,149,0,19,19,669,59,34,(주)보미,HT001,39.83,23.01,58,1,1,14,복도식,62700,205020,12540,129780,0,0,0,,,,,,,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,6,137.0,273.0
4,보미리즌빌(도시형),40B,서울시 성북구 동소문동6가,1129010900,117-2,서울시 성북구 동소문로 89,37.592648,127.015393,149,0,19,19,669,59,34,(주)보미,HT001,40.4,23.34,58,1,1,11,복도식,63600,207360,12720,131040,0,0,0,,,,,,,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,6,137.0,273.0
0,시티플레이스(도시형),20A㎡,서울시 성북구 동소문동6가,1129010900,3-1,서울시 성북구 동소문로 73,37.592316,127.013438,117,0,20,20,422,45,49,케이디 종합건설(주),HT001,20.33,14.02,69,1,1,65,복도식,,,,,,,,,,,,"2억 1,000",,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,3,137.0,273.0
1,시티플레이스(도시형),20B,서울시 성북구 동소문동6가,1129010900,3-1,서울시 성북구 동소문로 73,37.592316,127.013438,117,0,20,20,422,45,49,케이디 종합건설(주),HT001,20.32,14.01,69,1,1,52,복도식,,,,,,,,,,,,2억 500,,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,3,137.0,273.0
0,청기와,79A㎡,서울시 성북구 동소문동6가,1129010900,24,서울시 성북구 동소문로13나길 15-11,37.592511,127.013051,12,0,7,6,246,40,11,광남건설(주),HT001,79.57,69.3,87,3,2,5,계단식,82500,256500,16500,157500,0,0,0,,,,,,,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,3,137.0,273.0
1,청기와,80B㎡,서울시 성북구 동소문동6가,1129010900,24,서울시 성북구 동소문로13나길 15-11,37.592511,127.013051,12,0,7,6,246,40,11,광남건설(주),HT001,80.19,69.84,87,3,2,2,계단식,74850,236610,14970,146790,0,0,0,,,,,,,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,3,137.0,273.0
2,청기와,82B㎡,서울시 성북구 동소문동6가,1129010900,24,서울시 성북구 동소문로13나길 15-11,37.592511,127.013051,12,0,7,6,246,40,11,광남건설(주),HT001,82.53,71.88,87,3,2,3,계단식,85200,263520,17040,161280,0,0,0,,,,,,,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,3,137.0,273.0
3,청기와,82A㎡,서울시 성북구 동소문동6가,1129010900,24,서울시 성북구 동소문로13나길 15-11,37.592511,127.013051,12,0,7,6,246,40,11,광남건설(주),HT001,82.23,71.61,87,3,2,1,계단식,82950,257670,16590,158130,0,0,0,,,,,,,,,,,,서울돈암초등학교,B100002294,서울특별시 성북구 동소문동6가 27-1번지,공립,단설,19440930,서울특별시교육청,http://donam.sen.es.kr,20230531,18.9,20.9,369,364,20230531,8,56,5,5,5,5,6,7,103,110,110,129,138,,2,6,33,733,1,4,0,0,20230531,18,,0,0.0,20230531,직영,3417,1280,614513000,37.59335608,127.0129853,1129010900,서울시,19.8,17.4,성북구,20.2,18.2,3,137.0,273.0
