,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),남교사 수,6학년 학생 수,방과후_학생 _수
0,A-클래스,32A㎡,서울시 영등포구 당산동1가,1156011100,194-1,서울시 영등포구 영신로47길 9-1,37.522908,126.900699,24,0,9,9,298,51,16,미림종합건설(주),HT001,32.89,28.8,88,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A-클래스,33B㎡,서울시 영등포구 당산동1가,1156011100,194-1,서울시 영등포구 영신로47길 9-1,37.522908,126.900699,24,0,9,9,298,51,16,미림종합건설(주),HT001,33.09,28.97,88,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A-클래스,33C㎡,서울시 영등포구 당산동1가,1156011100,194-1,서울시 영등포구 영신로47길 9-1,37.522908,126.900699,24,0,9,9,298,51,16,미림종합건설(주),HT001,33.97,29.74,88,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A-클래스,34D㎡,서울시 영등포구 당산동1가,1156011100,194-1,서울시 영등포구 영신로47길 9-1,37.522908,126.900699,24,0,9,9,298,51,16,미림종합건설(주),HT001,34.24,29.98,88,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A-클래스,37,서울시 영등포구 당산동1가,1156011100,194-1,서울시 영등포구 영신로47길 9-1,37.522908,126.900699,24,0,9,9,298,51,16,미림종합건설(주),HT001,37.46,28.84,77,1,1,8,계단식,,,,,,,,,,,,"3억 2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DS퍼스트(도시형),36B㎡,서울시 영등포구 당산동1가,1156011100,179,서울시 영등포구 영신로41길 8,37.521971,126.900674,12,0,6,5,239,58,6,네오종합건설(주),HT001,36.58,29.26,80,1,1,8,계단식,,,,,,,,,,,,,,"2억 8,000",,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
1,DS퍼스트(도시형),36A,서울시 영등포구 당산동1가,1156011100,179,서울시 영등포구 영신로41길 8,37.521971,126.900674,12,0,6,5,239,58,6,네오종합건설(주),HT001,36.35,29.07,80,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
0,J.W 카리스,33㎡,서울시 영등포구 당산동1가,1156011100,185-22,서울시 영등포구 당산로16길 27,37.5225,126.899004,16,0,9,9,247,43,10,동명건설(주),HT001,33.11,27.8,84,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,8,,72.0,109.0
1,J.W 카리스,35,서울시 영등포구 당산동1가,1156011100,185-22,서울시 영등포구 당산로16길 27,37.5225,126.899004,16,0,9,9,247,43,10,동명건설(주),HT001,35.6,29.89,84,1,1,8,계단식,,,,,,,,,,,,,,,,"2억 6,500/20",,"2억 6,500/20",서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,8,,72.0,109.0
0,강남(도시형),18A㎡,서울시 영등포구 당산동1가,1156011100,458,서울시 영등포구 당산로16길 26,37.522075,126.898702,58,0,6,4,247,59,18,(주)비엔텍건설,HT001,18.91,12.58,67,1,1,20,복도식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,8,,72.0,109.0
