,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,두리파크빌,52㎡,서울시 용산구 갈월동,1117010400,6-48,서울시 용산구 한강대로102나길 23,37.5487,126.973646,14,0,5,4,242,59,15,(주)신도시토건,HT001,52.87,48.51,92,2,1,1,계단식,161100,432090,32220,238770,0,0,0,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,8,67.0,147.0
1,두리파크빌,72㎡,서울시 용산구 갈월동,1117010400,6-48,서울시 용산구 한강대로102나길 23,37.5487,126.973646,14,0,5,4,242,59,15,(주)신도시토건,HT001,72.03,66.1,92,3,2,1,계단식,207900,521010,41580,271530,0,0,0,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,8,67.0,147.0
2,두리파크빌,75㎡,서울시 용산구 갈월동,1117010400,6-48,서울시 용산구 한강대로102나길 23,37.5487,126.973646,14,0,5,4,242,59,15,(주)신도시토건,HT001,75.47,69.26,92,3,2,1,계단식,231300,565470,46260,287910,0,0,0,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,8,67.0,147.0
3,두리파크빌,86㎡,서울시 용산구 갈월동,1117010400,6-48,서울시 용산구 한강대로102나길 23,37.5487,126.973646,14,0,5,4,242,59,15,(주)신도시토건,HT001,86.5,79.38,92,3,2,1,계단식,270000,639000,54000,315000,0,0,0,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,8,67.0,147.0
4,두리파크빌,91A㎡,서울시 용산구 갈월동,1117010400,6-48,서울시 용산구 한강대로102나길 23,37.5487,126.973646,14,0,5,4,242,59,15,(주)신도시토건,HT001,91.45,83.92,92,3,2,3,계단식,287100,671490,57420,326970,0,0,0,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,8,67.0,147.0
5,두리파크빌,91B㎡,서울시 용산구 갈월동,1117010400,6-48,서울시 용산구 한강대로102나길 23,37.5487,126.973646,14,0,5,4,242,59,15,(주)신도시토건,HT001,91.63,84.09,92,3,2,3,계단식,287100,671490,57420,326970,0,0,0,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,8,67.0,147.0
6,두리파크빌,102㎡,서울시 용산구 갈월동,1117010400,6-48,서울시 용산구 한강대로102나길 23,37.5487,126.973646,14,0,5,4,242,59,15,(주)신도시토건,HT001,102.53,94.08,92,3,2,1,계단식,299700,695430,59940,335790,0,0,0,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,8,67.0,147.0
7,두리파크빌,118,서울시 용산구 갈월동,1117010400,6-48,서울시 용산구 한강대로102나길 23,37.5487,126.973646,14,0,5,4,242,59,15,(주)신도시토건,HT001,118.29,108.55,92,3,2,3,계단식,419400,922860,83880,419580,0,0,0,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,8,67.0,147.0
0,"홈즈스튜디오(민간임대,주상복합)",24㎡,서울시 용산구 갈월동,1117010400,98-5,서울시 용산구 한강대로77길 15,37.541659,126.971721,63,63,12,11,562,58,14,주식회사 홍림건설,HT001,24.94,14.84,60,1,1,62,계단식,22500,90000,4500,63000,0,0,0,,,,,,,,,"1,000/75",,"1,000/75",서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,15,67.0,147.0
1,"홈즈스튜디오(민간임대,주상복합)",51,서울시 용산구 갈월동,1117010400,98-5,서울시 용산구 한강대로77길 15,37.541659,126.971721,63,63,12,11,562,58,14,주식회사 홍림건설,HT001,51.45,30.57,59,2,1,1,계단식,57300,190980,11460,122220,0,0,0,,,,,,,,,,,,서울삼광초등학교,B100002381,서울특별시 용산구 후암동 190-2,혁신,단설,19451101,서울특별시교육청,http://seoulsamkwang.sen.es.kr,20230531,17.1,18.2,202,181,20230531,6,34,4,3,3,3,3,4,49,63,64,68,66,,1,6,20,383,2,3,0,0,20230531,11,,0,0.0,20230531,직영,3550,461,453397000,37.54723795,126.97668432,1117010100,서울시,19.8,17.4,용산구,17.0,15.2,15,67.0,147.0
