,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,리버빌,81㎡,서울시 용산구 보광동,1117013600,151,서울시 용산구 보광로5길 40,37.52439,127.00095,242,0,15,10,305,27,247,삼성중공업(주),HT001,81.3,59.7,73,3,1,82,복도식,526050,1093680,105210,462420,0,0,0,,218423,221674,,"14억 8,000",4억,"4억 5,000",,,,,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,17,42.0,99.0
1,리버빌,115,서울시 용산구 보광동,1117013600,151,서울시 용산구 보광로5길 40,37.52439,127.00095,242,0,15,10,305,27,247,삼성중공업(주),HT001,115.42,84.74,73,3,2,160,계단식,1465200,2491560,293040,733320,193536,161280,32256,,310036,314651,"16억 2,000","19억 5,000","7억 5,000",8억,,4억/100,,4억/100,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,17,42.0,99.0
0,신동아,102,서울시 용산구 보광동,1117013600,448,서울시 용산구 보광로 14,37.525868,127.002107,226,0,15,8,0,0,226,신동아건설(주),HT001,102.22,84.93,83,3,2,226,계단식,2075400,3437370,415080,946890,1218672,1015560,203112,,239648,242962,,24억,6억,"6억 5,000","3,000/200",3억/130,"3,000/200",3억/130,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,14,42.0,99.0
0,주미(주상복합),49㎡,서울시 용산구 보광동,1117013600,260-6,서울시 용산구 보광로 40,37.52804,126.99956,54,0,11,11,138,0,0,삼성물산,HT001,49.59,47.9,97,1,1,3,복합식,,,,,,,,,,,,,,,,,,,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,9,42.0,99.0
1,주미(주상복합),59㎡,서울시 용산구 보광동,1117013600,260-6,서울시 용산구 보광로 40,37.52804,126.99956,54,0,11,11,138,0,0,삼성물산,HT001,59.5,57.22,96,1,1,3,복합식,,,,,,,,,,,,,,,,,,,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,9,42.0,99.0
2,주미(주상복합),72D㎡,서울시 용산구 보광동,1117013600,260-6,서울시 용산구 보광로 40,37.52804,126.99956,54,0,11,11,138,0,0,삼성물산,HT001,72.06,69.45,96,2,1,4,복합식,,,,,,,,,,,,,,,,,,,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,9,42.0,99.0
3,주미(주상복합),72B㎡,서울시 용산구 보광동,1117013600,260-6,서울시 용산구 보광로 40,37.52804,126.99956,54,0,11,11,138,0,0,삼성물산,HT001,72.06,69.39,96,2,1,3,계단식,,,,,,,,,,,,,,,,,,,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,9,42.0,99.0
4,주미(주상복합),72A㎡,서울시 용산구 보광동,1117013600,260-6,서울시 용산구 보광로 40,37.52804,126.99956,54,0,11,11,138,0,0,삼성물산,HT001,72.06,69.06,96,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,9,42.0,99.0
5,주미(주상복합),80A㎡,서울시 용산구 보광동,1117013600,260-6,서울시 용산구 보광로 40,37.52804,126.99956,54,0,11,11,138,0,0,삼성물산,HT001,80.66,77.52,96,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,9,42.0,99.0
6,주미(주상복합),80B㎡,서울시 용산구 보광동,1117013600,260-6,서울시 용산구 보광로 40,37.52804,126.99956,54,0,11,11,138,0,0,삼성물산,HT001,80.67,77.59,96,3,2,4,계단식,,,,,,,,,,,,,,,,,,,서울보광초등학교,B100002379,서울특별시 용산구 이태원동 15-13번지,공립,단설,19620622,서울특별시교육청,http://bogwang.sen.es.kr,20230531,12.3,11.8,124,111,20230531,1,34,4,2,3,3,3,3,39,27,40,35,44,,2,8,18,235,2,2,0,0,20230531,21,,0,0.0,20230531,직영,3550,408,414336000,37.53241334,126.99650176,1117013000,서울시,19.8,17.4,용산구,17.0,15.2,9,42.0,99.0
