,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,답십리대우,89㎡,서울시 동대문구 답십리동,1123010500,111,서울시 동대문구 답십리로41길 33,37.57364,127.053352,319,0,22,21,301,19,397,(주)대우건설,HT001,89.12,59.76,67,3,1,109,복합식,349200,789480,69840,370440,0,0,0,,149786,177819,,"7억 5,000",,,,,,,서울전농초등학교,B100001422,서울특별시 동대문구 전농동 306,공립,단설,19420408,서울특별시교육청,http://jeonnong.sen.es.kr,20230531,19.6,21.0,529,523,20230531,5,68,9,9,8,7,8,7,180,194,190,154,176,,2,7,48,1052,3,2,0,0,20230531,44,,0,0.0,20230531,직영,3385,1052,1118685000,37.57446747,127.05457192,1123010400,서울시,19.8,17.4,동대문구,20.0,17.3,1,151.0,268.0,
1,답십리대우,108㎡,서울시 동대문구 답십리동,1123010500,111,서울시 동대문구 답십리로41길 33,37.57364,127.053352,319,0,22,21,301,19,397,(주)대우건설,HT001,108.45,84.99,78,3,2,128,복합식,429975,939960,85995,423990,0,0,0,,213025,252892,"8억 8,000","9억 5,000",,,,,,,서울전농초등학교,B100001422,서울특별시 동대문구 전농동 306,공립,단설,19420408,서울특별시교육청,http://jeonnong.sen.es.kr,20230531,19.6,21.0,529,523,20230531,5,68,9,9,8,7,8,7,180,194,190,154,176,,2,7,48,1052,3,2,0,0,20230531,44,,0,0.0,20230531,직영,3385,1052,1118685000,37.57446747,127.05457192,1123010400,서울시,19.8,17.4,동대문구,20.0,17.3,1,151.0,268.0,
2,답십리대우,141,서울시 동대문구 답십리동,1123010500,111,서울시 동대문구 답십리로41길 33,37.57364,127.053352,319,0,22,21,301,19,397,(주)대우건설,HT001,141.8,114.94,81,4,2,82,복합식,578025,1176840,115605,483210,0,0,0,,288093,342010,"10억 7,000","12억 5,000",,"7억 5,000",,,,,서울전농초등학교,B100001422,서울특별시 동대문구 전농동 306,공립,단설,19420408,서울특별시교육청,http://jeonnong.sen.es.kr,20230531,19.6,21.0,529,523,20230531,5,68,9,9,8,7,8,7,180,194,190,154,176,,2,7,48,1052,3,2,0,0,20230531,44,,0,0.0,20230531,직영,3385,1052,1118685000,37.57446747,127.05457192,1123010400,서울시,19.8,17.4,동대문구,20.0,17.3,1,151.0,268.0,
0,답십리엘림퍼스트,70A㎡,서울시 동대문구 답십리동,1123010500,1015,서울시 동대문구 전농로3길 20,37.568996,127.056348,79,0,15,9,199,25,73,"엘에스건설(주),(주)시온종합건설",HT001,70.28,52.69,75,3,2,39,계단식,,,,,,,,,,,"6억 2,000",7억,,"4억 3,000",,,,,서울답십리초등학교,B100001398,서울특별시 동대문구 답십리동 274번지,공립,단설,19620201,서울특별시교육청,http://dapsimni.sen.es.kr,20230531,17.5,20.7,447,445,20230531,11,57,7,7,7,6,8,6,160,151,165,119,161,,2,7,41,892,4,3,0,0,20230531,21,,0,0.0,20230531,직영,3347,981,968706000,37.56886909,127.05565053,1123010500,서울시,19.8,17.4,동대문구,20.0,17.3,1,129.0,279.0,
1,답십리엘림퍼스트,70B㎡,서울시 동대문구 답십리동,1123010500,1015,서울시 동대문구 전농로3길 20,37.568996,127.056348,79,0,15,9,199,25,73,"엘에스건설(주),(주)시온종합건설",HT001,70.51,52.76,75,2,2,26,계단식,,,,,,,,,,,"6억 2,000",7억,,,,,,,서울답십리초등학교,B100001398,서울특별시 동대문구 답십리동 274번지,공립,단설,19620201,서울특별시교육청,http://dapsimni.sen.es.kr,20230531,17.5,20.7,447,445,20230531,11,57,7,7,7,6,8,6,160,151,165,119,161,,2,7,41,892,4,3,0,0,20230531,21,,0,0.0,20230531,직영,3347,981,968706000,37.56886909,127.05565053,1123010500,서울시,19.8,17.4,동대문구,20.0,17.3,1,129.0,279.0,
2,답십리엘림퍼스트,71C,서울시 동대문구 답십리동,1123010500,1015,서울시 동대문구 전농로3길 20,37.568996,127.056348,79,0,15,9,199,25,73,"엘에스건설(주),(주)시온종합건설",HT001,71.24,52.96,74,2,2,14,계단식,,,,,,,,,,,"6억 5,000","6억 9,500",,,,,,,서울답십리초등학교,B100001398,서울특별시 동대문구 답십리동 274번지,공립,단설,19620201,서울특별시교육청,http://dapsimni.sen.es.kr,20230531,17.5,20.7,447,445,20230531,11,57,7,7,7,6,8,6,160,151,165,119,161,,2,7,41,892,4,3,0,0,20230531,21,,0,0.0,20230531,직영,3347,981,968706000,37.56886909,127.05565053,1123010500,서울시,19.8,17.4,동대문구,20.0,17.3,1,129.0,279.0,
0,답십리청솔우성,78B㎡,서울시 동대문구 답십리동,1123010500,80,서울시 동대문구 전농로10길 20,37.574897,127.059574,1542,432,25,6,258,19,1377,우성건설(주),HT001,78.45,59.89,76,3,1,200,계단식,,,,,,,,,,,"6억 9,000",8억,,"4억 3,000",,,,,서울전동초등학교,B100001423,서울특별시 동대문구 전농동 45-41,공립,단설,19681206,서울특별시교육청,https://jeondong.sen.es.kr,20230531,19.5,20.5,325,332,20230531,4,48,5,5,5,5,5,5,97,99,113,102,113,,2,13,30,657,2,3,0,0,20230531,5,,0,0.0,20230531,직영,3385,820,342166000,37.57895378,127.06138641,1123010400,서울시,19.8,17.4,동대문구,20.0,17.3,11,120.0,121.0,
1,답십리청솔우성,78A㎡,서울시 동대문구 답십리동,1123010500,80,서울시 동대문구 전농로10길 20,37.574897,127.059574,1542,432,25,6,258,19,1377,우성건설(주),HT001,78.25,59.74,76,3,1,196,복도식,,,,,,,,,,,"6억 8,000","7억 5,000",,4억,"5,000/130","1억 5,000/100","5,000/130","1억 5,000/100",서울전동초등학교,B100001423,서울특별시 동대문구 전농동 45-41,공립,단설,19681206,서울특별시교육청,https://jeondong.sen.es.kr,20230531,19.5,20.5,325,332,20230531,4,48,5,5,5,5,5,5,97,99,113,102,113,,2,13,30,657,2,3,0,0,20230531,5,,0,0.0,20230531,직영,3385,820,342166000,37.57895378,127.06138641,1123010400,서울시,19.8,17.4,동대문구,20.0,17.3,11,120.0,121.0,
2,답십리청솔우성,108㎡,서울시 동대문구 답십리동,1123010500,80,서울시 동대문구 전농로10길 20,37.574897,127.059574,1542,432,25,6,258,19,1377,우성건설(주),HT001,108.21,84.94,78,3,2,420,계단식,,,,,,,,,,,"8억 2,000",10억,5억,"5억 3,000",,"3억 8,000/60",,"3억 8,000/60",서울전동초등학교,B100001423,서울특별시 동대문구 전농동 45-41,공립,단설,19681206,서울특별시교육청,https://jeondong.sen.es.kr,20230531,19.5,20.5,325,332,20230531,4,48,5,5,5,5,5,5,97,99,113,102,113,,2,13,30,657,2,3,0,0,20230531,5,,0,0.0,20230531,직영,3385,820,342166000,37.57895378,127.06138641,1123010400,서울시,19.8,17.4,동대문구,20.0,17.3,11,120.0,121.0,
3,답십리청솔우성,140,서울시 동대문구 답십리동,1123010500,80,서울시 동대문구 전농로10길 20,37.574897,127.059574,1542,432,25,6,258,19,1377,우성건설(주),HT001,140.69,114.76,82,4,2,294,계단식,,,,,,,,,,,9억,12억,,6억,1억/180,2억/160,1억/180,2억/160,서울전동초등학교,B100001423,서울특별시 동대문구 전농동 45-41,공립,단설,19681206,서울특별시교육청,https://jeondong.sen.es.kr,20230531,19.5,20.5,325,332,20230531,4,48,5,5,5,5,5,5,97,99,113,102,113,,2,13,30,657,2,3,0,0,20230531,5,,0,0.0,20230531,직영,3385,820,342166000,37.57895378,127.06138641,1123010400,서울시,19.8,17.4,동대문구,20.0,17.3,11,120.0,121.0,
