,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,갯마을신동아,74㎡,서울시 동작구 동작동,1159010600,329,서울시 동작구 동작대로43길 36,37.497125,126.981002,44,0,10,5,197,29,43,(주)신동아종합건설,HT001,74.89,53.97,72,2,1,1,계단식,192600,491940,38520,260820,0,0,0,,,,,"7억 8,000",,,,,,,서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,19,71.0,104.0
1,갯마을신동아,77A㎡,서울시 동작구 동작동,1159010600,329,서울시 동작구 동작대로43길 36,37.497125,126.981002,44,0,10,5,197,29,43,(주)신동아종합건설,HT001,77.99,56.22,72,3,1,5,계단식,227700,558630,45540,285390,0,0,0,,,,,,,,,,,,서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,19,71.0,104.0
2,갯마을신동아,78B㎡,서울시 동작구 동작동,1159010600,329,서울시 동작구 동작대로43길 36,37.497125,126.981002,44,0,10,5,197,29,43,(주)신동아종합건설,HT001,78.23,56.48,72,3,1,15,계단식,230400,563760,46080,287280,0,0,0,,,,"8억 8,000",9억,,,,,,,서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,19,71.0,104.0
3,갯마을신동아,110㎡,서울시 동작구 동작동,1159010600,329,서울시 동작구 동작대로43길 36,37.497125,126.981002,44,0,10,5,197,29,43,(주)신동아종합건설,HT001,110.92,80.55,73,3,2,20,계단식,306000,707400,61200,340200,0,0,0,,,,9억,"10억 5,000",5억,"5억 3,000",,3억/90,,3억/90,서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,19,71.0,104.0
4,갯마을신동아,149,서울시 동작구 동작동,1159010600,329,서울시 동작구 동작대로43길 36,37.497125,126.981002,44,0,10,5,197,29,43,(주)신동아종합건설,HT001,149.66,107.94,72,3,2,3,계단식,359100,808290,71820,377370,0,0,0,,,,,,,,,,,,서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,19,71.0,104.0
0,동작금강KCC,84㎡,서울시 동작구 동작동,1159010600,331,서울시 동작구 동작대로39가길 55,37.494272,126.97827,276,0,23,10,246,18,329,(주)금강종합건설,HT001,84.33,59.72,71,3,2,21,계단식,515025,1076040,103005,458010,0,0,0,,193205,221418,"8억 7,000",9억,,,,,,,서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,6,71.0,104.0
1,동작금강KCC,106㎡,서울시 동작구 동작동,1159010600,331,서울시 동작구 동작대로39가길 55,37.494272,126.97827,276,0,23,10,246,18,329,(주)금강종합건설,HT001,106.53,84.95,80,3,2,223,계단식,1017000,1796850,203400,576450,0,0,0,,274829,314961,"10억 2,000",14억,"5억 9,000",7억,3억/160,"6억 5,000/40",3억/160,"6억 5,000/40",서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,6,71.0,104.0
2,동작금강KCC,137,서울시 동작구 동작동,1159010600,331,서울시 동작구 동작대로39가길 55,37.494272,126.97827,276,0,23,10,246,18,329,(주)금강종합건설,HT001,137.53,115.53,84,4,2,32,계단식,1051200,1849860,210240,588420,0,0,0,,373760,428340,13억,"15억 2,000",,,,,,,서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,6,71.0,104.0
0,이수교KCC스위첸,80㎡,서울시 동작구 동작동,1159010600,332,서울시 동작구 동작대로45길 22,37.497957,126.981353,178,0,15,7,244,24,263,(주)KCC건설,HT001,80.02,59.91,75,3,2,20,계단식,510300,1068480,102060,456120,0,0,0,,190048,188769,,11억,,"5억 5,000",,,,,서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,19,71.0,104.0
1,이수교KCC스위첸,106㎡,서울시 동작구 동작동,1159010600,332,서울시 동작구 동작대로45길 22,37.497957,126.981353,178,0,15,7,244,24,263,(주)KCC건설,HT001,106.26,84.98,80,3,2,72,계단식,1045800,1841490,209160,586530,0,0,0,,269576,267761,13억,16억,,,,,,,서울동작초등학교,B100001588,서울특별시 동작구 사당동 산9-1,혁신,단설,19820707,서울특별시교육청,http://dongjak.sen.es.kr,20230531,17.2,21.1,295,255,20230531,2,39,5,5,4,4,4,3,105,108,93,89,78,,1,6,25,550,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3480,550,586860000,37.4940464,126.97700844,1159010700,서울시,19.8,17.4,동작구,20.0,18.3,19,71.0,104.0
