,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,디큐브시티(주상복합),83A㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,83.27,59.16,71,2,2,21,계단식,344480,780500,68890,367130,0,0,0,,336980,275705,"9억 4,000",10억,,,,,,,서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
1,디큐브시티(주상복합),84B1㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,84.7,59.88,71,2,2,28,계단식,344480,780500,68890,367130,0,0,0,,341081,279060,,,,,,,,,서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
2,디큐브시티(주상복합),85A㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,85.99,59.86,70,2,2,21,계단식,418500,921150,83700,418950,0,0,0,,340967,278967,,"10억 5,000",,,,,,,서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
3,디큐브시티(주상복합),85C1㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,85.63,59.6,70,2,2,7,계단식,344480,780500,68890,367130,0,0,0,,339486,277755,,,,,,,,,서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
4,디큐브시티(주상복합),86B2㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,86.5,59.84,69,2,2,21,계단식,396000,878400,79200,403200,0,0,0,,340853,278874,,"9억 5,000",,,,,,,서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
5,디큐브시티(주상복합),86C2㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,86.64,59.95,69,2,2,7,계단식,396000,878400,79200,403200,0,0,0,,341480,279387,,,,,,,,,서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
6,디큐브시티(주상복합),118㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,118.98,84.96,71,3,2,103,계단식,726070,1413710,145210,542430,0,0,0,,483939,395941,,15억,,,,"7억 5,000/100",,"7억 5,000/100",서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
7,디큐브시티(주상복합),149㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,149.87,105.45,70,3,2,105,계단식,1153800,2008890,230760,624330,0,0,0,,600652,491431,"16억 4,000","17억 5,000",,11억,,,,,서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
8,디큐브시티(주상복합),175㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,175.62,125.36,71,3,2,39,계단식,1278000,2201400,255600,667800,0,0,0,,714061,584218,"16억 5,000",19억,,,,,,,서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
9,디큐브시티(주상복합),181㎡,서울시 구로구 신도림동,1153010100,692,서울시 구로구 경인로 662,37.508346,126.888419,524,0,51,9,0,0,2447,대성산업 주식회사,HT005,181.06,128.41,71,3,2,144,계단식,1278000,2201400,255600,667800,0,0,0,,731434,598433,"16억 8,000","18억 5,000",11억,"12억 5,000",,,,,서울미래초등학교,B100001227,서울특별시 구로구 구로동 3-13 서울미래초등학교,공립,병설,20020301,서울특별시교육청,http://mirae.sen.es.kr,20230531,18.9,21.0,271,275,20230531,3,39,5,5,5,4,4,3,107,102,98,80,88,,0,0,26,546,2,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,630,662805000,37.50504549,126.88800662,1153010200,서울시,19.8,17.4,구로구,19.8,17.5,9,71.0,209.0
