,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,67디벨리움(도시형),24A㎡,서울시 노원구 공릉동,1135010300,670-7,서울시 노원구 화랑로 443,37.618312,127.076572,106,0,17,16,629,56,66,메트로종합건설(주),HT001,24.01,17.27,72,1,1,100,계단식,21930,87710,4380,61400,0,0,0,,,,"1억 6,300","1억 7,500",,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,4,60.0,102.0,
1,67디벨리움(도시형),39B㎡,서울시 노원구 공릉동,1135010300,670-7,서울시 노원구 화랑로 443,37.618312,127.076572,106,0,17,16,629,56,66,메트로종합건설(주),HT001,39.9,28.67,72,1,1,4,계단식,29880,119520,5970,83670,0,0,0,,,,,"2억 5,000",,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,4,60.0,102.0,
2,67디벨리움(도시형),40C,서울시 노원구 공릉동,1135010300,670-7,서울시 노원구 화랑로 443,37.618312,127.076572,106,0,17,16,629,56,66,메트로종합건설(주),HT001,40.24,28.91,72,1,1,2,계단식,30630,121630,6120,84880,0,0,0,,,,,,,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,4,60.0,102.0,
0,AK패밀리(도시형),18A㎡,서울시 노원구 공릉동,1135010300,584-22,서울시 노원구 동일로178길 29-3,37.621526,127.076157,13,0,5,5,198,59,6,,HT001,18.88,14.98,79,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,7,60.0,102.0,
1,AK패밀리(도시형),19㎡,서울시 노원구 공릉동,1135010300,584-22,서울시 노원구 동일로178길 29-3,37.621526,127.076157,13,0,5,5,198,59,6,,HT001,19.85,15.75,79,2,1,3,계단식,,,,,,,,,,,,,,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,7,60.0,102.0,
2,AK패밀리(도시형),19B㎡,서울시 노원구 공릉동,1135010300,584-22,서울시 노원구 동일로178길 29-3,37.621526,127.076157,13,0,5,5,198,59,6,,HT001,19.71,15.64,79,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,7,60.0,102.0,
3,AK패밀리(도시형),26㎡,서울시 노원구 공릉동,1135010300,584-22,서울시 노원구 동일로178길 29-3,37.621526,127.076157,13,0,5,5,198,59,6,,HT001,26.22,20.8,79,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,7,60.0,102.0,
4,AK패밀리(도시형),28㎡,서울시 노원구 공릉동,1135010300,584-22,서울시 노원구 동일로178길 29-3,37.621526,127.076157,13,0,5,5,198,59,6,,HT001,28.13,22.32,79,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,7,60.0,102.0,
5,AK패밀리(도시형),38A㎡,서울시 노원구 공릉동,1135010300,584-22,서울시 노원구 동일로178길 29-3,37.621526,127.076157,13,0,5,5,198,59,6,,HT001,38.11,30.24,79,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,7,60.0,102.0,
6,AK패밀리(도시형),38B㎡,서울시 노원구 공릉동,1135010300,584-22,서울시 노원구 동일로178길 29-3,37.621526,127.076157,13,0,5,5,198,59,6,,HT001,38.52,30.56,79,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울공릉초등학교,B100001736,서울특별시 노원구 공릉동 610 (공대천 1길),공립,단설,19790404,서울특별시교육청,http://gongrung.sen.es.kr,20230531,16.8,19.4,146,184,20230531,4,25,3,2,3,3,3,3,58,39,54,59,60,,0,0,17,330,1,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,372,435815000,37.61908729,127.07431401,1135010300,서울시,19.8,17.4,노원구,18.9,17.3,7,60.0,102.0,
