,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,그린(도시형),18A㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,18.67,12.6,67,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울영화초등학교,B100001604,서울특별시 동작구 대방동 44-3,혁신,단설,19620903,서울특별시교육청,http://younghwa.sen.es.kr,20230531,16.2,20.1,206,215,20230531,3,34,3,3,3,3,3,4,69,61,69,68,71,,2,11,19,421,1,3,0,0,20230531,13,,0,0.0,20230531,직영,3377,510,582399000,37.50930525,126.93293236,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,6,72.0,175.0
1,그린(도시형),18㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,18.11,12.22,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울영화초등학교,B100001604,서울특별시 동작구 대방동 44-3,혁신,단설,19620903,서울특별시교육청,http://younghwa.sen.es.kr,20230531,16.2,20.1,206,215,20230531,3,34,3,3,3,3,3,4,69,61,69,68,71,,2,11,19,421,1,3,0,0,20230531,13,,0,0.0,20230531,직영,3377,510,582399000,37.50930525,126.93293236,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,6,72.0,175.0
2,그린(도시형),20B㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,20.27,13.67,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울영화초등학교,B100001604,서울특별시 동작구 대방동 44-3,혁신,단설,19620903,서울특별시교육청,http://younghwa.sen.es.kr,20230531,16.2,20.1,206,215,20230531,3,34,3,3,3,3,3,4,69,61,69,68,71,,2,11,19,421,1,3,0,0,20230531,13,,0,0.0,20230531,직영,3377,510,582399000,37.50930525,126.93293236,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,6,72.0,175.0
3,그린(도시형),22A㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,22.44,15.14,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울영화초등학교,B100001604,서울특별시 동작구 대방동 44-3,혁신,단설,19620903,서울특별시교육청,http://younghwa.sen.es.kr,20230531,16.2,20.1,206,215,20230531,3,34,3,3,3,3,3,4,69,61,69,68,71,,2,11,19,421,1,3,0,0,20230531,13,,0,0.0,20230531,직영,3377,510,582399000,37.50930525,126.93293236,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,6,72.0,175.0
4,그린(도시형),23C㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,23.8,16.06,67,1,1,12,계단식,,,,,,,,,,,,,,,,,,,서울영화초등학교,B100001604,서울특별시 동작구 대방동 44-3,혁신,단설,19620903,서울특별시교육청,http://younghwa.sen.es.kr,20230531,16.2,20.1,206,215,20230531,3,34,3,3,3,3,3,4,69,61,69,68,71,,2,11,19,421,1,3,0,0,20230531,13,,0,0.0,20230531,직영,3377,510,582399000,37.50930525,126.93293236,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,6,72.0,175.0
5,그린(도시형),23B㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,23.67,15.97,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울영화초등학교,B100001604,서울특별시 동작구 대방동 44-3,혁신,단설,19620903,서울특별시교육청,http://younghwa.sen.es.kr,20230531,16.2,20.1,206,215,20230531,3,34,3,3,3,3,3,4,69,61,69,68,71,,2,11,19,421,1,3,0,0,20230531,13,,0,0.0,20230531,직영,3377,510,582399000,37.50930525,126.93293236,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,6,72.0,175.0
6,그린(도시형),28,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,28.94,19.53,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울영화초등학교,B100001604,서울특별시 동작구 대방동 44-3,혁신,단설,19620903,서울특별시교육청,http://younghwa.sen.es.kr,20230531,16.2,20.1,206,215,20230531,3,34,3,3,3,3,3,4,69,61,69,68,71,,2,11,19,421,1,3,0,0,20230531,13,,0,0.0,20230531,직영,3377,510,582399000,37.50930525,126.93293236,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,6,72.0,175.0
0,그린힐,75㎡,서울시 동작구 대방동,1159010800,381-35,서울시 동작구 여의대방로36길 16,37.504787,126.92359,17,0,5,4,224,50,18,(주)중원종합건설,HT001,75.12,65.43,87,3,1,1,계단식,,,,,,,,,,,,"5억 3,000",,,,,,,서울대림초등학교,B100001587,서울특별시 동작구 대방동 391-62,공립,단설,19730801,서울특별시교육청,http://seouldaelim.sen.es.kr,20230531,21.6,21.0,553,476,20230531,9,64,8,9,7,8,8,8,165,182,153,172,175,,1,5,48,1029,2,3,0,0,20230531,15,,0,0.0,20230531,직영,3347,1235,1035751000,37.50062785,126.92569498,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,9,177.0,191.0
1,그린힐,79㎡,서울시 동작구 대방동,1159010800,381-35,서울시 동작구 여의대방로36길 16,37.504787,126.92359,17,0,5,4,224,50,18,(주)중원종합건설,HT001,79.46,69.21,87,3,1,3,계단식,,,,,,,,,,,,,,,,,,,서울대림초등학교,B100001587,서울특별시 동작구 대방동 391-62,공립,단설,19730801,서울특별시교육청,http://seouldaelim.sen.es.kr,20230531,21.6,21.0,553,476,20230531,9,64,8,9,7,8,8,8,165,182,153,172,175,,1,5,48,1029,2,3,0,0,20230531,15,,0,0.0,20230531,직영,3347,1235,1035751000,37.50062785,126.92569498,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,9,177.0,191.0
2,그린힐,85A㎡,서울시 동작구 대방동,1159010800,381-35,서울시 동작구 여의대방로36길 16,37.504787,126.92359,17,0,5,4,224,50,18,(주)중원종합건설,HT001,85.5,74.47,87,3,2,4,계단식,,,,,,,,,,,,,,,,,,,서울대림초등학교,B100001587,서울특별시 동작구 대방동 391-62,공립,단설,19730801,서울특별시교육청,http://seouldaelim.sen.es.kr,20230531,21.6,21.0,553,476,20230531,9,64,8,9,7,8,8,8,165,182,153,172,175,,1,5,48,1029,2,3,0,0,20230531,15,,0,0.0,20230531,직영,3347,1235,1035751000,37.50062785,126.92569498,1159010800,서울시,19.8,17.4,동작구,20.0,18.3,9,177.0,191.0
