,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,고려(주상복합),113㎡,서울시 마포구 도화동,1144010400,544,서울시 마포구 큰우물로 76,37.540932,126.945961,63,0,15,15,468,41,59,고려개발,HT001,113.08,79.33,70,3,1,9,복도식,223920,551440,44780,282740,0,0,0,,,,,,,,,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,3,224.0,328.0
1,고려(주상복합),116㎡,서울시 마포구 도화동,1144010400,544,서울시 마포구 큰우물로 76,37.540932,126.945961,63,0,15,15,468,41,59,고려개발,HT001,116.49,81.72,70,3,1,9,복도식,237120,576520,47420,291980,0,0,0,,,,,,,"5억 5,000",,5억/20,,5억/20,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,3,224.0,328.0
2,고려(주상복합),120㎡,서울시 마포구 도화동,1144010400,544,서울시 마포구 큰우물로 76,37.540932,126.945961,63,0,15,15,468,41,59,고려개발,HT001,120.48,84.51,70,3,2,27,복도식,256480,613300,51290,305530,0,0,0,,,,,,,,,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,3,224.0,328.0
3,고려(주상복합),121,서울시 마포구 도화동,1144010400,544,서울시 마포구 큰우물로 76,37.540932,126.945961,63,0,15,15,468,41,59,고려개발,HT001,121.1,84.95,70,3,1,18,복도식,256480,613300,51290,305530,0,0,0,,,,,,,,,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,3,224.0,328.0
0,도화3지구우성,75㎡,서울시 마포구 도화동,1144010400,82,서울시 마포구 삼개로 38,37.536774,126.948441,1222,0,15,8,228,19,1230,우성건설(주),HT002,75.66,54.72,72,2,1,68,복도식,268800,636720,53760,314160,0,0,0,,271375,160313,,11억,,,,,,,서울마포초등학교,B100001978,서울특별시 마포구 도화동 347-5,공립,단설,19100624,서울특별시교육청,http://mapo.sen.es.kr,20230531,20.2,21.0,372,322,20230531,4,45,6,5,5,5,5,5,116,123,115,109,124,,2,4,31,694,1,4,0,0,20230531,15,,0,0.0,20230531,직영,3455,871,631854000,37.53858711,126.94960111,1144010400,서울시,19.8,17.4,마포구,20.1,18.0,2,103.0,202.0
1,도화3지구우성,92㎡,서울시 마포구 도화동,1144010400,82,서울시 마포구 삼개로 38,37.536774,126.948441,1222,0,15,8,228,19,1230,우성건설(주),HT002,92.4,68.94,75,2,1,305,복도식,360000,810000,72000,378000,0,0,0,,341897,201973,"11억 7,000","13억 5,000",4억,"4억 5,000",,1억/170,,1억/170,서울마포초등학교,B100001978,서울특별시 마포구 도화동 347-5,공립,단설,19100624,서울특별시교육청,http://mapo.sen.es.kr,20230531,20.2,21.0,372,322,20230531,4,45,6,5,5,5,5,5,116,123,115,109,124,,2,4,31,694,1,4,0,0,20230531,15,,0,0.0,20230531,직영,3455,871,631854000,37.53858711,126.94960111,1144010400,서울시,19.8,17.4,마포구,20.1,18.0,2,103.0,202.0
2,도화3지구우성,107㎡,서울시 마포구 도화동,1144010400,82,서울시 마포구 삼개로 38,37.536774,126.948441,1222,0,15,8,228,19,1230,우성건설(주),HT002,107.34,79.97,75,3,1,299,복도식,413100,910890,82620,415170,0,0,0,,396598,234287,12억,"14억 5,000","5억 2,000","5억 5,000",,,,,서울마포초등학교,B100001978,서울특별시 마포구 도화동 347-5,공립,단설,19100624,서울특별시교육청,http://mapo.sen.es.kr,20230531,20.2,21.0,372,322,20230531,4,45,6,5,5,5,5,5,116,123,115,109,124,,2,4,31,694,1,4,0,0,20230531,15,,0,0.0,20230531,직영,3455,871,631854000,37.53858711,126.94960111,1144010400,서울시,19.8,17.4,마포구,20.1,18.0,2,103.0,202.0
3,도화3지구우성,132㎡,서울시 마포구 도화동,1144010400,82,서울시 마포구 삼개로 38,37.536774,126.948441,1222,0,15,8,228,19,1230,우성건설(주),HT002,132.04,111.72,85,4,2,60,계단식,584320,1186910,116860,485730,0,0,0,,554082,327320,14억,"15억 5,000",,"5억 7,000",,,,,서울마포초등학교,B100001978,서울특별시 마포구 도화동 347-5,공립,단설,19100624,서울특별시교육청,http://mapo.sen.es.kr,20230531,20.2,21.0,372,322,20230531,4,45,6,5,5,5,5,5,116,123,115,109,124,,2,4,31,694,1,4,0,0,20230531,15,,0,0.0,20230531,직영,3455,871,631854000,37.53858711,126.94960111,1144010400,서울시,19.8,17.4,마포구,20.1,18.0,2,103.0,202.0
4,도화3지구우성,149㎡,서울시 마포구 도화동,1144010400,82,서울시 마포구 삼개로 38,37.536774,126.948441,1222,0,15,8,228,19,1230,우성건설(주),HT002,149.83,128.31,86,4,2,210,계단식,708750,1386000,141750,535500,0,0,0,,636358,375923,"16억 3,000","17억 5,000",6억,"7억 5,000",,"4억 9,000/50",,"4억 9,000/50",서울마포초등학교,B100001978,서울특별시 마포구 도화동 347-5,공립,단설,19100624,서울특별시교육청,http://mapo.sen.es.kr,20230531,20.2,21.0,372,322,20230531,4,45,6,5,5,5,5,5,116,123,115,109,124,,2,4,31,694,1,4,0,0,20230531,15,,0,0.0,20230531,직영,3455,871,631854000,37.53858711,126.94960111,1144010400,서울시,19.8,17.4,마포구,20.1,18.0,2,103.0,202.0
5,도화3지구우성,168,서울시 마포구 도화동,1144010400,82,서울시 마포구 삼개로 38,37.536774,126.948441,1222,0,15,8,228,19,1230,우성건설(주),HT002,168.22,141.51,84,5,2,280,계단식,768600,1481760,153720,559440,0,0,0,,701821,414595,15억,20억,6억,"8억 5,000","8,000/300",4억/150,"8,000/300",4억/150,서울마포초등학교,B100001978,서울특별시 마포구 도화동 347-5,공립,단설,19100624,서울특별시교육청,http://mapo.sen.es.kr,20230531,20.2,21.0,372,322,20230531,4,45,6,5,5,5,5,5,116,123,115,109,124,,2,4,31,694,1,4,0,0,20230531,15,,0,0.0,20230531,직영,3455,871,631854000,37.53858711,126.94960111,1144010400,서울시,19.8,17.4,마포구,20.1,18.0,2,103.0,202.0
