,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,대림빌라트,209㎡,서울시 강남구 압구정동,1168011000,444,서울시 강남구 압구정로29길 51,37.530862,127.027124,19,0,11,10,251,30,38,대림산업(주),HT001,209.6,193.33,92,4,2,17,계단식,4959000,7906950,991800,1956150,8367120,6972600,1394520,,,,,,,,,,,,서울압구정초등학교,B100000769,서울특별시 강남구 압구정동 461번지,공립,단설,19760820,서울특별시교육청,http://www.apgujeong.es.kr/,20230531,24.8,23.3,439,423,20230531,4,51,6,6,6,5,7,7,128,145,135,124,174,,0,0,37,862,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3385,1066,554424000,37.53140023,127.03090903,1168011000,서울시,19.8,17.4,강남구,21.6,18.9,8,156.0,49.0
1,대림빌라트,254,서울시 강남구 압구정동,1168011000,444,서울시 강남구 압구정로29길 51,37.530862,127.027124,19,0,11,10,251,30,38,대림산업(주),HT001,254.46,234.75,92,5,3,2,계단식,5844600,9279630,1168920,2266110,12129400,10107840,2021560,,,,,,,,,,,,서울압구정초등학교,B100000769,서울특별시 강남구 압구정동 461번지,공립,단설,19760820,서울특별시교육청,http://www.apgujeong.es.kr/,20230531,24.8,23.3,439,423,20230531,4,51,6,6,6,5,7,7,128,145,135,124,174,,0,0,37,862,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3385,1066,554424000,37.53140023,127.03090903,1168011000,서울시,19.8,17.4,강남구,21.6,18.9,8,156.0,49.0
0,미성1차,111A㎡,서울시 강남구 압구정동,1168011000,414,서울시 강남구 압구정로11길 17,37.525563,127.020506,322,0,14,14,93,13,386,,HT002,111.97,105.62,94,3,1,39,복도식,3344400,5404320,668880,1391040,3071230,2559360,511870,,543265,301191,,40억,,7억,,,,,서울신구초등학교,B100000766,서울특별시 강남구 신사동 550-11번지,공립,단설,19811103,서울특별시교육청,http://shingu.sen.es.kr,20230531,18.2,20.3,234,232,20230531,2,38,3,4,3,4,4,3,60,91,70,75,88,,2,10,21,466,1,3,0,0,20230531,15,,0,0.0,20230531,직영,3377,612,582221000,37.52311979,127.02418602,1168010700,서울시,19.8,17.4,강남구,21.6,18.9,8,72.0,161.0
1,미성1차,112B㎡,서울시 강남구 압구정동,1168011000,414,서울시 강남구 압구정로11길 17,37.525563,127.020506,322,0,14,14,93,13,386,,HT002,112,105.65,94,3,1,78,복도식,3344400,5404320,668880,1391040,3071230,2559360,511870,,543419,301277,35억,40억,,,,1억/300,,1억/300,서울신구초등학교,B100000766,서울특별시 강남구 신사동 550-11번지,공립,단설,19811103,서울특별시교육청,http://shingu.sen.es.kr,20230531,18.2,20.3,234,232,20230531,2,38,3,4,3,4,4,3,60,91,70,75,88,,2,10,21,466,1,3,0,0,20230531,15,,0,0.0,20230531,직영,3377,612,582221000,37.52311979,127.02418602,1168010700,서울시,19.8,17.4,강남구,21.6,18.9,8,72.0,161.0
2,미성1차,112D㎡,서울시 강남구 압구정동,1168011000,414,서울시 강남구 압구정로11길 17,37.525563,127.020506,322,0,14,14,93,13,386,,HT002,112.03,106.48,95,3,1,8,복도식,2903400,4720770,580680,1236690,2136670,1780560,356110,,547688,303644,,,,,,,,,서울신구초등학교,B100000766,서울특별시 강남구 신사동 550-11번지,공립,단설,19811103,서울특별시교육청,http://shingu.sen.es.kr,20230531,18.2,20.3,234,232,20230531,2,38,3,4,3,4,4,3,60,91,70,75,88,,2,10,21,466,1,3,0,0,20230531,15,,0,0.0,20230531,직영,3377,612,582221000,37.52311979,127.02418602,1168010700,서울시,19.8,17.4,강남구,21.6,18.9,8,72.0,161.0
3,미성1차,112C㎡,서울시 강남구 압구정동,1168011000,414,서울시 강남구 압구정로11길 17,37.525563,127.020506,322,0,14,14,93,13,386,,HT002,112,106.45,95,3,1,1,복도식,2903400,4720770,580680,1236690,2136670,1780560,356110,,547534,303558,,,,,,,,,서울신구초등학교,B100000766,서울특별시 강남구 신사동 550-11번지,공립,단설,19811103,서울특별시교육청,http://shingu.sen.es.kr,20230531,18.2,20.3,234,232,20230531,2,38,3,4,3,4,4,3,60,91,70,75,88,,2,10,21,466,1,3,0,0,20230531,15,,0,0.0,20230531,직영,3377,612,582221000,37.52311979,127.02418602,1168010700,서울시,19.8,17.4,강남구,21.6,18.9,8,72.0,161.0
4,미성1차,163D㎡,서울시 강남구 압구정동,1168011000,414,서울시 강남구 압구정로11길 17,37.525563,127.020506,322,0,14,14,93,13,386,,HT002,163.87,153.32,94,4,2,48,계단식,4788000,7641900,957600,1896300,7806240,6505200,1301040,,788613,437215,50억,53억,,"12억 9,000",,,,,서울신구초등학교,B100000766,서울특별시 강남구 신사동 550-11번지,공립,단설,19811103,서울특별시교육청,http://shingu.sen.es.kr,20230531,18.2,20.3,234,232,20230531,2,38,3,4,3,4,4,3,60,91,70,75,88,,2,10,21,466,1,3,0,0,20230531,15,,0,0.0,20230531,직영,3377,612,582221000,37.52311979,127.02418602,1168010700,서울시,19.8,17.4,강남구,21.6,18.9,8,72.0,161.0
5,미성1차,163E㎡,서울시 강남구 압구정동,1168011000,414,서울시 강남구 압구정로11길 17,37.525563,127.020506,322,0,14,14,93,13,386,,HT002,163.9,153.35,94,4,2,46,계단식,4788000,7641900,957600,1896300,7806240,6505200,1301040,,788768,437301,50억,53억,,,,,,,서울신구초등학교,B100000766,서울특별시 강남구 신사동 550-11번지,공립,단설,19811103,서울특별시교육청,http://shingu.sen.es.kr,20230531,18.2,20.3,234,232,20230531,2,38,3,4,3,4,4,3,60,91,70,75,88,,2,10,21,466,1,3,0,0,20230531,15,,0,0.0,20230531,직영,3377,612,582221000,37.52311979,127.02418602,1168010700,서울시,19.8,17.4,강남구,21.6,18.9,8,72.0,161.0
6,미성1차,163C㎡,서울시 강남구 압구정동,1168011000,414,서울시 강남구 압구정로11길 17,37.525563,127.020506,322,0,14,14,93,13,386,,HT002,163.91,153.36,94,4,2,10,계단식,4788000,7641900,957600,1896300,7806240,6505200,1301040,,788819,437329,,,,,,,,,서울신구초등학교,B100000766,서울특별시 강남구 신사동 550-11번지,공립,단설,19811103,서울특별시교육청,http://shingu.sen.es.kr,20230531,18.2,20.3,234,232,20230531,2,38,3,4,3,4,4,3,60,91,70,75,88,,2,10,21,466,1,3,0,0,20230531,15,,0,0.0,20230531,직영,3377,612,582221000,37.52311979,127.02418602,1168010700,서울시,19.8,17.4,강남구,21.6,18.9,8,72.0,161.0
7,미성1차,163㎡,서울시 강남구 압구정동,1168011000,414,서울시 강남구 압구정로11길 17,37.525563,127.020506,322,0,14,14,93,13,386,,HT002,163.8,157.92,96,3,2,7,계단식,4042800,6486840,808560,1635480,5361980,4468320,893660,,812274,450333,,,,,,,,,서울신구초등학교,B100000766,서울특별시 강남구 신사동 550-11번지,공립,단설,19811103,서울특별시교육청,http://shingu.sen.es.kr,20230531,18.2,20.3,234,232,20230531,2,38,3,4,3,4,4,3,60,91,70,75,88,,2,10,21,466,1,3,0,0,20230531,15,,0,0.0,20230531,직영,3377,612,582221000,37.52311979,127.02418602,1168010700,서울시,19.8,17.4,강남구,21.6,18.9,8,72.0,161.0
