,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,GS강동자이,104㎡,서울시 강동구 길동,1174010500,474,서울시 강동구 천호대로 1239,37.537495,127.14862,596,0,24,10,299,20,977,엘지건설 주식회사,HT001,104.46,84.17,81,3,2,10,계단식,384300,856170,76860,395010,0,0,0,,197103,199354,,,,,,,,,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,4,134.0,228.0,
1,GS강동자이,110㎡,서울시 강동구 길동,1174010500,474,서울시 강동구 천호대로 1239,37.537495,127.14862,596,0,24,10,299,20,977,엘지건설 주식회사,HT001,110.62,84.88,77,3,2,262,계단식,469350,1002960,93870,439740,0,0,0,,198765,201036,"10억 5,000",14억,6억,"6억 3,000",3억/110,5억/40,3억/110,5억/40,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,4,134.0,228.0,
2,GS강동자이,150㎡,서울시 강동구 길동,1174010500,474,서울시 강동구 천호대로 1239,37.537495,127.14862,596,0,24,10,299,20,977,엘지건설 주식회사,HT001,150.6,126.43,84,4,2,249,계단식,722920,1408670,144580,541170,0,0,0,,296064,299446,14억,17억,,,,,,,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,4,134.0,228.0,
3,GS강동자이,172,서울시 강동구 길동,1174010500,474,서울시 강동구 천호대로 1239,37.537495,127.14862,596,0,24,10,299,20,977,엘지건설 주식회사,HT001,172.42,147.17,85,4,2,75,계단식,1080000,1894500,216000,598500,0,0,0,,344631,348568,15억,18억,,,,,,,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,4,134.0,228.0,
0,K&G타워(도시형),23㎡,서울시 강동구 길동,1174010500,393-6,서울시 강동구 양재대로114길 25,37.537664,127.141541,28,0,7,5,187,41,9,(주)덩우네트워크,HT001,23.87,15.52,65,1,1,16,계단식,18980,75920,3790,53150,0,0,0,,,,,,,,,,,,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,5,134.0,228.0,
1,K&G타워(도시형),29㎡,서울시 강동구 길동,1174010500,393-6,서울시 강동구 양재대로114길 25,37.537664,127.141541,28,0,7,5,187,41,9,(주)덩우네트워크,HT001,29.49,19.17,65,1,1,4,계단식,22360,89430,4470,62600,0,0,0,,,,,,,,,,,,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,5,134.0,228.0,
2,K&G타워(도시형),29㎡,서울시 강동구 길동,1174010500,393-6,서울시 강동구 양재대로114길 25,37.537664,127.141541,28,0,7,5,187,41,9,(주)덩우네트워크,HT001,29.89,19.43,65,1,1,4,계단식,22570,90290,4510,63210,0,0,0,,,,,,,,,,,,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,5,134.0,228.0,
3,K&G타워(도시형),35㎡,서울시 강동구 길동,1174010500,393-6,서울시 강동구 양재대로114길 25,37.537664,127.141541,28,0,7,5,187,41,9,(주)덩우네트워크,HT001,35.11,22.83,65,1,1,2,계단식,24080,96310,4810,67420,0,0,0,,,,,,,,,,,,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,5,134.0,228.0,
4,K&G타워(도시형),46㎡,서울시 강동구 길동,1174010500,393-6,서울시 강동구 양재대로114길 25,37.537664,127.141541,28,0,7,5,187,41,9,(주)덩우네트워크,HT001,46.42,30.18,65,1,1,1,계단식,30630,121630,6120,84880,0,0,0,,,,,,,,,,,,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,5,134.0,228.0,
5,K&G타워(도시형),92,서울시 강동구 길동,1174010500,393-6,서울시 강동구 양재대로114길 25,37.537664,127.141541,28,0,7,5,187,41,9,(주)덩우네트워크,HT001,92.59,60.2,65,3,2,1,계단식,76210,240140,15240,148690,0,0,0,,,,,,,,,,,,서울길동초등학교,B100000909,서울특별시 강동구 길동 362번지,공립,단설,19730106,서울특별시교육청,http://gildong.sen.es.kr,20230531,17.5,20.6,392,370,20230531,4,59,6,5,6,5,7,6,105,107,142,109,153,,2,12,35,762,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3347,969,915062000,37.53826442,127.14447107,1174010500,서울시,19.8,17.4,강동구,21.0,15.9,5,134.0,228.0,
