,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,e-편한대림,108㎡,서울시 강서구 등촌동,1150010200,561-1,서울시 강서구 등촌로 137,37.54209,126.862865,222,0,16,16,363,27,315,(주)삼호,HT001,108.97,75.64,69,3,2,32,계단식,270560,640060,54110,315390,0,0,0,,211970,227722,,"9억 5,000",,"5억 5,000",,,,,서울등마초등학교,B100005546,서울특별시 강서구 등촌동 강서구 등촌동 산86,공립,단설,20061228,서울특별시교육청,http://dma.sen.es.kr,20230531,19.5,20.5,395,343,20230531,5,49,5,6,6,5,6,6,98,135,125,116,127,,2,13,34,738,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3385,891,849937000,37.5419876,126.86175874,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,1,124.0,136.0,
1,e-편한대림,111N㎡,서울시 강서구 등촌동,1150010200,561-1,서울시 강서구 등촌로 137,37.54209,126.862865,222,0,16,16,363,27,315,(주)삼호,HT001,111.74,84.96,76,3,2,63,계단식,308400,711960,61680,341880,0,0,0,,238087,255781,,10억,5억,6억,,,,,서울등마초등학교,B100005546,서울특별시 강서구 등촌동 강서구 등촌동 산86,공립,단설,20061228,서울특별시교육청,http://dma.sen.es.kr,20230531,19.5,20.5,395,343,20230531,5,49,5,6,6,5,6,6,98,135,125,116,127,,2,13,34,738,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3385,891,849937000,37.5419876,126.86175874,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,1,124.0,136.0,
2,e-편한대림,111S㎡,서울시 강서구 등촌동,1150010200,561-1,서울시 강서구 등촌로 137,37.54209,126.862865,222,0,16,16,363,27,315,(주)삼호,HT001,111.74,84.96,76,3,2,31,계단식,308400,711960,61680,341880,0,0,0,,238087,255781,,11억,,,,,,,서울등마초등학교,B100005546,서울특별시 강서구 등촌동 강서구 등촌동 산86,공립,단설,20061228,서울특별시교육청,http://dma.sen.es.kr,20230531,19.5,20.5,395,343,20230531,5,49,5,6,6,5,6,6,98,135,125,116,127,,2,13,34,738,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3385,891,849937000,37.5419876,126.86175874,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,1,124.0,136.0,
3,e-편한대림,132㎡,서울시 강서구 등촌동,1150010200,561-1,서울시 강서구 등촌로 137,37.54209,126.862865,222,0,16,16,363,27,315,(주)삼호,HT001,132.05,96.73,73,4,2,32,계단식,330400,753760,66080,357280,0,0,0,,271071,291216,10억,"10억 3,000",,7억,,,,,서울등마초등학교,B100005546,서울특별시 강서구 등촌동 강서구 등촌동 산86,공립,단설,20061228,서울특별시교육청,http://dma.sen.es.kr,20230531,19.5,20.5,395,343,20230531,5,49,5,6,6,5,6,6,98,135,125,116,127,,2,13,34,738,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3385,891,849937000,37.5419876,126.86175874,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,1,124.0,136.0,
4,e-편한대림,146,서울시 강서구 등촌동,1150010200,561-1,서울시 강서구 등촌로 137,37.54209,126.862865,222,0,16,16,363,27,315,(주)삼호,HT001,146.02,116.41,80,4,2,64,계단식,414000,912600,82800,415800,0,0,0,,326221,350464,10억,11억,,7억,,,,,서울등마초등학교,B100005546,서울특별시 강서구 등촌동 강서구 등촌동 산86,공립,단설,20061228,서울특별시교육청,http://dma.sen.es.kr,20230531,19.5,20.5,395,343,20230531,5,49,5,6,6,5,6,6,98,135,125,116,127,,2,13,34,738,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3385,891,849937000,37.5419876,126.86175874,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,1,124.0,136.0,
0,가양역두산위브,42㎡,서울시 강서구 등촌동,1150010200,726,서울시 강서구 공항대로45길 15,37.55648,126.854472,220,0,20,19,410,36,286,"두산중공업(주),한강건설(주)",HT001,42.16,31.17,74,2,1,19,계단식,77500,243500,15500,150500,0,0,0,,109660,114549,,,,"4억 5,000",,,,,서울백석초등학교,B100001027,서울특별시 강서구 등촌동 650-14번지,공립,단설,19840522,서울특별시교육청,http://bsbs.sen.es.kr,20230531,15.7,18.5,251,249,20230531,10,29,6,4,4,4,4,4,104,82,82,71,83,,1,6,26,500,1,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,555,647263000,37.55335852,126.86203651,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,12,72.0,125.0,
1,가양역두산위브,65㎡,서울시 강서구 등촌동,1150010200,726,서울시 강서구 공항대로45길 15,37.55648,126.854472,220,0,20,19,410,36,286,"두산중공업(주),한강건설(주)",HT001,65.77,50.09,76,3,2,38,계단식,215120,534720,43020,276580,0,0,0,,176223,184080,,,,,,,,,서울백석초등학교,B100001027,서울특별시 강서구 등촌동 650-14번지,공립,단설,19840522,서울특별시교육청,http://bsbs.sen.es.kr,20230531,15.7,18.5,251,249,20230531,10,29,6,4,4,4,4,4,104,82,82,71,83,,1,6,26,500,1,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,555,647263000,37.55335852,126.86203651,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,12,72.0,125.0,
2,가양역두산위브,78㎡,서울시 강서구 등촌동,1150010200,726,서울시 강서구 공항대로45길 15,37.55648,126.854472,220,0,20,19,410,36,286,"두산중공업(주),한강건설(주)",HT001,78.59,59.98,76,3,2,106,계단식,321600,737040,64320,351120,0,0,0,,211017,220425,"8억 7,000",10억,,"6억 2,000",,,,,서울백석초등학교,B100001027,서울특별시 강서구 등촌동 650-14번지,공립,단설,19840522,서울특별시교육청,http://bsbs.sen.es.kr,20230531,15.7,18.5,251,249,20230531,10,29,6,4,4,4,4,4,104,82,82,71,83,,1,6,26,500,1,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,555,647263000,37.55335852,126.86203651,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,12,72.0,125.0,
3,가양역두산위브,82㎡,서울시 강서구 등촌동,1150010200,726,서울시 강서구 공항대로45길 15,37.55648,126.854472,220,0,20,19,410,36,286,"두산중공업(주),한강건설(주)",HT001,82.73,64.46,78,3,2,18,계단식,347120,785520,69420,368980,0,0,0,,226778,236889,,,,,,,,,서울백석초등학교,B100001027,서울특별시 강서구 등촌동 650-14번지,공립,단설,19840522,서울특별시교육청,http://bsbs.sen.es.kr,20230531,15.7,18.5,251,249,20230531,10,29,6,4,4,4,4,4,104,82,82,71,83,,1,6,26,500,1,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,555,647263000,37.55335852,126.86203651,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,12,72.0,125.0,
4,가양역두산위브,105㎡,서울시 강서구 등촌동,1150010200,726,서울시 강서구 공항대로45길 15,37.55648,126.854472,220,0,20,19,410,36,286,"두산중공업(주),한강건설(주)",HT001,105.15,84.74,81,3,2,38,계단식,423670,929870,84730,421470,0,0,0,,298125,311418,"12억 3,000",14억,,,,"1억 5,000/220",,"1억 5,000/220",서울백석초등학교,B100001027,서울특별시 강서구 등촌동 650-14번지,공립,단설,19840522,서울특별시교육청,http://bsbs.sen.es.kr,20230531,15.7,18.5,251,249,20230531,10,29,6,4,4,4,4,4,104,82,82,71,83,,1,6,26,500,1,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,555,647263000,37.55335852,126.86203651,1150010200,서울시,19.8,17.4,강서구,19.0,17.2,12,72.0,125.0,
