,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,건영2차,93㎡,서울시 노원구 중계동,1135010600,515-2,서울시 노원구 덕릉로 517,37.646732,127.065831,742,0,15,14,242,18,520,(주)건영종합건설,HT005,93.51,75.02,80,3,1,382,계단식,198400,502960,39680,264880,0,0,0,,308055,194003,"6억 9,000","8억 8,000",,4억,"5,000/100",3억/40,"5,000/100",3억/40,서울청계초등학교,B100001787,서울특별시 노원구 중계동 513-1번지,공립,단설,18950901,서울특별시교육청,http://scg.sen.es.kr,20230531,15.6,17.3,143,133,20230531,4,25,2,2,2,2,3,3,36,41,45,40,56,,2,6,14,276,3,2,0,0,20230531,3,,0,0.0,20230531,직영,3530,416,441407000,37.64466926,127.06628552,1135010600,서울시,19.8,17.4,노원구,18.9,17.3,3,52.0,60.0
1,건영2차,104,서울시 노원구 중계동,1135010600,515-2,서울시 노원구 덕릉로 517,37.646732,127.065831,742,0,15,14,242,18,520,(주)건영종합건설,HT005,104.66,84.96,81,3,2,360,계단식,230960,564820,46190,287670,0,0,0,,348872,219708,"7억 7,000","10억 5,000",4억,"4억 5,000",,,,,서울청계초등학교,B100001787,서울특별시 노원구 중계동 513-1번지,공립,단설,18950901,서울특별시교육청,http://scg.sen.es.kr,20230531,15.6,17.3,143,133,20230531,4,25,2,2,2,2,3,3,36,41,45,40,56,,2,6,14,276,3,2,0,0,20230531,3,,0,0.0,20230531,직영,3530,416,441407000,37.64466926,127.06628552,1135010600,서울시,19.8,17.4,노원구,18.9,17.3,3,52.0,60.0
0,건영3차,105,서울시 노원구 중계동,1135010600,360-15,서울시 노원구 노원로22길 71,37.648766,127.07469,948,0,15,12,217,22,1075,(주)건영,HT002,105.77,84.9,80,3,2,948,계단식,372600,833940,74520,386820,0,0,0,,430497,295359,"9억 8,000",13억,"5억 8,000",7억,2억/170,3억/150,2억/170,3억/150,서울을지초등학교,B100001775,서울특별시 노원구 중계동 360번지(무수동길 239번지),공립,단설,19940105,서울특별시교육청,http://eulji.sen.es.kr,20230531,23.8,25.4,801,649,20230531,12,70,6,8,9,9,12,13,158,200,228,233,320,,0,0,57,1450,3,5,0,0,20230531,24,,0,0.0,20230531,직영,3397,1688,1504297000,37.65062266,127.07290856,1135010600,서울시,19.8,17.4,노원구,18.9,17.3,4,311.0,403.0
0,"경남,롯데,상아",61A㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,61.52,50.97,83,2,1,180,계단식,106840,319770,21360,191570,0,0,0,,245860,197231,"5억 2,000","5억 5,000","2억 5,000","2억 7,000",,,,,서울중평초등학교,B100001779,서울특별시 노원구 하계동 271,공립,단설,19880425,서울특별시교육청,http://jungpyong.sen.es.kr,20230531,22.7,22.6,674,657,20230531,17,68,10,8,9,9,11,11,192,194,223,217,246,,1,5,58,1331,4,5,0,0,20230531,15,,0,0.0,20230531,직영,3437,1653,1461178000,37.63730398,127.06417165,1135010400,서울시,19.8,17.4,노원구,18.9,17.3,1,254.0,394.0
1,"경남,롯데,상아",63B㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,63.36,51.29,81,2,1,180,계단식,108160,323210,21630,193420,0,0,0,,247404,198470,"4억 8,000","6억 1,000",,,,1억/70,,1억/70,서울중평초등학교,B100001779,서울특별시 노원구 하계동 271,공립,단설,19880425,서울특별시교육청,http://jungpyong.sen.es.kr,20230531,22.7,22.6,674,657,20230531,17,68,10,8,9,9,11,11,192,194,223,217,246,,1,5,58,1331,4,5,0,0,20230531,15,,0,0.0,20230531,직영,3437,1653,1461178000,37.63730398,127.06417165,1135010400,서울시,19.8,17.4,노원구,18.9,17.3,1,254.0,394.0
2,"경남,롯데,상아",67㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,67.23,54.48,81,2,1,150,계단식,111240,331210,22240,197730,0,0,0,,262791,210813,5억,"6억 5,000",,"2억 4,000","5,000/80","1억 5,000/50","5,000/80","1억 5,000/50",서울중평초등학교,B100001779,서울특별시 노원구 하계동 271,공립,단설,19880425,서울특별시교육청,http://jungpyong.sen.es.kr,20230531,22.7,22.6,674,657,20230531,17,68,10,8,9,9,11,11,192,194,223,217,246,,1,5,58,1331,4,5,0,0,20230531,15,,0,0.0,20230531,직영,3437,1653,1461178000,37.63730398,127.06417165,1135010400,서울시,19.8,17.4,노원구,18.9,17.3,1,254.0,394.0
3,"경남,롯데,상아",89B㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,89.84,72.73,81,3,1,180,계단식,222160,548100,44430,281510,0,0,0,,350822,281433,"7억 2,000","8억 2,000",,,,,,,서울중평초등학교,B100001779,서울특별시 노원구 하계동 271,공립,단설,19880425,서울특별시교육청,http://jungpyong.sen.es.kr,20230531,22.7,22.6,674,657,20230531,17,68,10,8,9,9,11,11,192,194,223,217,246,,1,5,58,1331,4,5,0,0,20230531,15,,0,0.0,20230531,직영,3437,1653,1461178000,37.63730398,127.06417165,1135010400,서울시,19.8,17.4,노원구,18.9,17.3,1,254.0,394.0
4,"경남,롯데,상아",89C㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,89.55,74.2,83,3,1,180,계단식,221280,546420,44250,280890,0,0,0,,357913,287121,"7억 5,000","8억 4,000",,"3억 8,000",,,,,서울중평초등학교,B100001779,서울특별시 노원구 하계동 271,공립,단설,19880425,서울특별시교육청,http://jungpyong.sen.es.kr,20230531,22.7,22.6,674,657,20230531,17,68,10,8,9,9,11,11,192,194,223,217,246,,1,5,58,1331,4,5,0,0,20230531,15,,0,0.0,20230531,직영,3437,1653,1461178000,37.63730398,127.06417165,1135010400,서울시,19.8,17.4,노원구,18.9,17.3,1,254.0,394.0
5,"경남,롯데,상아",89A㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,89.47,72.49,81,3,1,150,계단식,217760,539740,43550,278430,0,0,0,,349665,280504,"7억 1,000","8억 1,000",,"3억 8,000",,,,,서울중평초등학교,B100001779,서울특별시 노원구 하계동 271,공립,단설,19880425,서울특별시교육청,http://jungpyong.sen.es.kr,20230531,22.7,22.6,674,657,20230531,17,68,10,8,9,9,11,11,192,194,223,217,246,,1,5,58,1331,4,5,0,0,20230531,15,,0,0.0,20230531,직영,3437,1653,1461178000,37.63730398,127.06417165,1135010400,서울시,19.8,17.4,노원구,18.9,17.3,1,254.0,394.0
6,"경남,롯데,상아",101㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,101.29,84.97,84,3,2,600,계단식,295200,686880,59040,332640,0,0,0,,409863,328796,"8억 2,000","9억 2,500",5억,"5억 2,000","1억 7,000/100","2억 5,000/90","1억 7,000/100","2억 5,000/90",서울중평초등학교,B100001779,서울특별시 노원구 하계동 271,공립,단설,19880425,서울특별시교육청,http://jungpyong.sen.es.kr,20230531,22.7,22.6,674,657,20230531,17,68,10,8,9,9,11,11,192,194,223,217,246,,1,5,58,1331,4,5,0,0,20230531,15,,0,0.0,20230531,직영,3437,1653,1461178000,37.63730398,127.06417165,1135010400,서울시,19.8,17.4,노원구,18.9,17.3,1,254.0,394.0
