,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,노블레스클래식(도시형),33㎡,서울시 성북구 삼선동5가,1129011500,298-7,서울시 성북구 보문로 171,37.589344,127.015842,20,0,14,14,762,59,11,(주)해마루21 종합건설,HT001,33.99,19.99,59,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,8,119.0,153.0
1,노블레스클래식(도시형),51㎡,서울시 성북구 삼선동5가,1129011500,298-7,서울시 성북구 보문로 171,37.589344,127.015842,20,0,14,14,762,59,11,(주)해마루21 종합건설,HT001,51.52,30.29,59,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,8,119.0,153.0
2,노블레스클래식(도시형),55,서울시 성북구 삼선동5가,1129011500,298-7,서울시 성북구 보문로 171,37.589344,127.015842,20,0,14,14,762,59,11,(주)해마루21 종합건설,HT001,55.74,32.78,59,2,1,8,계단식,,,,,,,,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,8,119.0,153.0
0,삼선,76A㎡,서울시 성북구 삼선동5가,1129011500,68,서울시 성북구 삼선교로20길 15,37.588596,127.013612,10,0,5,5,239,58,12,부안종합건설(주),HT001,76.26,69.12,91,2,1,1,계단식,50840,174170,10160,113170,0,0,0,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,4,119.0,153.0
1,삼선,76B㎡,서울시 성북구 삼선동5가,1129011500,68,서울시 성북구 삼선교로20길 15,37.588596,127.013612,10,0,5,5,239,58,12,부안종합건설(주),HT001,76.46,69.3,91,2,1,1,계단식,50840,174170,10160,113170,0,0,0,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,4,119.0,153.0
2,삼선,86㎡,서울시 성북구 삼선동5가,1129011500,68,서울시 성북구 삼선교로20길 15,37.588596,127.013612,10,0,5,5,239,58,12,부안종합건설(주),HT001,86.62,78.51,91,3,1,1,계단식,62880,205480,12570,130030,0,0,0,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,4,119.0,153.0
3,삼선,99㎡,서울시 성북구 삼선동5가,1129011500,68,서울시 성북구 삼선교로20길 15,37.588596,127.013612,10,0,5,5,239,58,12,부안종합건설(주),HT001,99.83,90.48,91,3,2,1,계단식,79220,247960,15840,152900,0,0,0,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,4,119.0,153.0
4,삼선,101A㎡,서울시 성북구 삼선동5가,1129011500,68,서울시 성북구 삼선교로20길 15,37.588596,127.013612,10,0,5,5,239,58,12,부안종합건설(주),HT001,101.24,91.76,91,3,2,1,계단식,73630,233430,14720,145080,0,0,0,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,4,119.0,153.0
5,삼선,101B㎡,서울시 성북구 삼선동5가,1129011500,68,서울시 성북구 삼선교로20길 15,37.588596,127.013612,10,0,5,5,239,58,12,부안종합건설(주),HT001,101.98,92.43,91,3,2,1,계단식,79220,247960,15840,152900,0,0,0,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,4,119.0,153.0
6,삼선,112A㎡,서울시 성북구 삼선동5가,1129011500,68,서울시 성북구 삼선교로20길 15,37.588596,127.013612,10,0,5,5,239,58,12,부안종합건설(주),HT001,112.3,101.79,91,3,2,1,계단식,82660,256910,16530,157720,0,0,0,,,,,,,,,,,,서울삼선초등학교,B100002300,서울특별시 성북구 삼선동3가 30-4번지,공립,단설,19490901,서울특별시교육청,https://samsun.sen.es.kr,20230531,17.7,20.7,290,270,20230531,12,35,4,4,4,4,5,5,72,79,87,95,107,,1,1,26,560,2,4,0,0,20230531,10,,0,0.0,20230531,직영,3455,840,505505000,37.58631037,127.01255384,1129011300,서울시,19.8,17.4,성북구,20.2,18.2,4,119.0,153.0
