,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,GS프라자,169,서울시 송파구 가락동,1171010700,197-12,서울시 송파구 동남로14길 17-25,37.49307,127.132218,18,0,9,9,0,0,22,,HT001,169.02,155.08,92,4,2,18,계단식,326880,747060,65370,354810,0,0,0,,,,,13억,,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,7,155.0,98.0
0,SD펠리체,88A㎡,서울시 송파구 가락동,1171010700,198-7,서울시 송파구 동남로14길 23-9,37.492402,127.132056,18,0,6,6,199,55,21,에스디종합건설주식회사,HT001,88.6,76.77,87,3,2,8,계단식,156160,422700,31230,235310,0,0,0,,,,,,,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,9,155.0,98.0
1,SD펠리체,88B㎡,서울시 송파구 가락동,1171010700,198-7,서울시 송파구 동남로14길 23-9,37.492402,127.132056,18,0,6,6,199,55,21,에스디종합건설주식회사,HT001,88.96,77.08,87,3,2,4,계단식,156160,422700,31230,235310,0,0,0,,,,,,,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,9,155.0,98.0
2,SD펠리체,89C㎡,서울시 송파구 가락동,1171010700,198-7,서울시 송파구 동남로14길 23-9,37.492402,127.132056,18,0,6,6,199,55,21,에스디종합건설주식회사,HT001,89.17,77.27,87,3,2,4,계단식,156160,422700,31230,235310,0,0,0,,,,,"7억 3,000",,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,9,155.0,98.0
3,SD펠리체,89D㎡,서울시 송파구 가락동,1171010700,198-7,서울시 송파구 동남로14길 23-9,37.492402,127.132056,18,0,6,6,199,55,21,에스디종합건설주식회사,HT001,89.89,77.89,87,3,2,1,계단식,148240,407640,29640,229760,0,0,0,,,,,,,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,9,155.0,98.0
4,SD펠리체,97,서울시 송파구 가락동,1171010700,198-7,서울시 송파구 동남로14길 23-9,37.492402,127.132056,18,0,6,6,199,55,21,에스디종합건설주식회사,HT001,97.39,84.39,87,3,2,1,복합식,181680,471180,36330,253170,0,0,0,,,,,,,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,9,155.0,98.0
0,SK허브파크(주상복합),111A㎡,서울시 송파구 가락동,1171010700,166-2,서울시 송파구 오금로 396,37.498014,127.13423,94,0,18,17,593,58,156,에스케이건설(주),HT005,111.83,84.35,75,3,2,32,계단식,370800,830520,74160,385560,0,0,0,,,,11억,"11억 5,000",,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,7,155.0,98.0
1,SK허브파크(주상복합),112B㎡,서울시 송파구 가락동,1171010700,166-2,서울시 송파구 오금로 396,37.498014,127.13423,94,0,18,17,593,58,156,에스케이건설(주),HT005,112.5,84.85,75,3,2,15,계단식,370800,830520,74160,385560,0,0,0,,,,11억,"11억 5,000",,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,7,155.0,98.0
2,SK허브파크(주상복합),112C㎡,서울시 송파구 가락동,1171010700,166-2,서울시 송파구 오금로 396,37.498014,127.13423,94,0,18,17,593,58,156,에스케이건설(주),HT005,112.54,84.88,75,3,2,15,계단식,370800,830520,74160,385560,0,0,0,,,,,,,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,7,155.0,98.0
3,SK허브파크(주상복합),144,서울시 송파구 가락동,1171010700,166-2,서울시 송파구 오금로 396,37.498014,127.13423,94,0,18,17,593,58,156,에스케이건설(주),HT005,144.28,108.82,75,4,2,32,계단식,453600,977760,90720,433440,0,0,0,,,,"13억 9,000",15억,,,,,,,서울가동초등학교,B100000897,서울특별시 송파구 가락동 163번지,공립,단설,19900425,서울특별시교육청,http://gadong.sen.es.kr,20230531,19.7,22.1,413,382,20230531,4,58,5,5,6,5,7,7,100,125,125,127,162,,1,1,35,795,1,4,0,0,20230531,9,,0,0.0,20230531,직영,3385,987,904378000,37.49714104,127.13036924,1171010700,서울시,19.8,17.4,송파구,21.5,18.0,7,155.0,98.0
