,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,"강남캐슬(민간임대,도시형)",29㎡,서울시 송파구 방이동,1171011100,156,서울시 송파구 백제고분로50길 32,37.513184,127.118038,20,20,6,6,195,58,10,,HT001,29.77,24.12,81,1,1,10,복합식,,,,,,,,,,,,,,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,3,93.0,223.0
1,"강남캐슬(민간임대,도시형)",36A㎡,서울시 송파구 방이동,1171011100,156,서울시 송파구 백제고분로50길 32,37.513184,127.118038,20,20,6,6,195,58,10,,HT001,36.12,29.27,81,1,1,8,복합식,,,,,,,,,,,,,,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,3,93.0,223.0
2,"강남캐슬(민간임대,도시형)",36B,서울시 송파구 방이동,1171011100,156,서울시 송파구 백제고분로50길 32,37.513184,127.118038,20,20,6,6,195,58,10,,HT001,36.39,29.49,81,1,1,2,복합식,,,,,,,,,,,,,,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,3,93.0,223.0
0,광남벨라스,88A㎡,서울시 송파구 방이동,1171011100,154-1,서울시 송파구 백제고분로50길 14,37.513875,127.11631,19,0,7,7,294,48,26,광남건설(주),HT001,88.75,81.02,91,3,2,1,복합식,172000,452800,34400,246400,0,0,0,,,,,,,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,6,93.0,223.0
1,광남벨라스,92B㎡,서울시 송파구 방이동,1171011100,154-1,서울시 송파구 백제고분로50길 14,37.513875,127.11631,19,0,7,7,294,48,26,광남건설(주),HT001,92.12,84.09,91,3,2,6,복합식,211600,528040,42320,274120,0,0,0,,,,,,,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,6,93.0,223.0
2,광남벨라스,110㎡,서울시 송파구 방이동,1171011100,154-1,서울시 송파구 백제고분로50길 14,37.513875,127.11631,19,0,7,7,294,48,26,광남건설(주),HT001,110.23,100.63,91,3,2,2,복합식,223040,549760,44600,282120,0,0,0,,,,,,,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,6,93.0,223.0
3,광남벨라스,125,서울시 송파구 방이동,1171011100,154-1,서울시 송파구 백제고분로50길 14,37.513875,127.11631,19,0,7,7,294,48,26,광남건설(주),HT001,125.03,114.13,91,4,2,10,복합식,276720,651760,55340,319700,0,0,0,,,,,,,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,6,93.0,223.0
0,광명,65㎡,서울시 송파구 방이동,1171011100,120-2,서울시 송파구 백제고분로48나길 7-17,37.509797,127.115623,12,0,7,7,199,35,12,(주)도훈이앤에이,HT001,65.76,56.63,86,2,1,1,계단식,102880,309480,20570,186030,0,0,0,,,,,,,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,11,93.0,223.0
1,광명,81,서울시 송파구 방이동,1171011100,120-2,서울시 송파구 백제고분로48나길 7-17,37.509797,127.115623,12,0,7,7,199,35,12,(주)도훈이앤에이,HT001,81.94,70.55,86,3,2,11,계단식,183440,474520,36680,254400,0,0,0,,,,"7억 4,000","7억 5,000",,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,11,93.0,223.0
0,그린빌(도시형),22A㎡,서울시 송파구 방이동,1171011100,113-17,서울시 송파구 오금로21길 7,37.510146,127.114255,15,0,6,3,198,59,7,(주)스케마종합건설,HT001,22.75,18.15,80,1,1,1,계단식,87900,215520,17580,110040,0,0,0,,,,,,,,,,,,서울방이초등학교,B100000921,서울특별시 송파구 방이동 167번지 서울방이초등학교 ,공립,단설,19810909,서울특별시교육청,http://bangi.sen.es.kr,20230531,16.9,20.3,303,244,20230531,1,44,5,5,4,3,4,4,97,100,93,65,91,,2,8,25,547,1,5,0,0,20230531,21,,0,0.0,20230531,직영,3377,672,677598000,37.51340158,127.12095059,1171011100,서울시,19.8,17.4,송파구,21.5,18.0,13,93.0,223.0
