,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,그린나래(도시형),48㎡,서울시 영등포구 도림동,1156011800,251-2,서울시 영등포구 도신로 71-1,37.506611,126.90037,29,0,9,6,252,40,16,그린산업종합건설(주),HT001,48.97,39.95,82,1,1,5,계단식,,,,,,,,,,,,,,,,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,13,41.0,77.0
1,그린나래(도시형),51A㎡,서울시 영등포구 도림동,1156011800,251-2,서울시 영등포구 도신로 71-1,37.506611,126.90037,29,0,9,6,252,40,16,그린산업종합건설(주),HT001,51.67,41.83,81,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,13,41.0,77.0
2,그린나래(도시형),52B㎡,서울시 영등포구 도림동,1156011800,251-2,서울시 영등포구 도신로 71-1,37.506611,126.90037,29,0,9,6,252,40,16,그린산업종합건설(주),HT001,52.23,42.82,82,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,13,41.0,77.0
3,그린나래(도시형),55A㎡,서울시 영등포구 도림동,1156011800,251-2,서울시 영등포구 도신로 71-1,37.506611,126.90037,29,0,9,6,252,40,16,그린산업종합건설(주),HT001,55.43,45.3,82,1,1,5,계단식,,,,,,,,,,,,,,,,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,13,41.0,77.0
4,그린나래(도시형),56B㎡,서울시 영등포구 도림동,1156011800,251-2,서울시 영등포구 도신로 71-1,37.506611,126.90037,29,0,9,6,252,40,16,그린산업종합건설(주),HT001,56.1,46,82,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,13,41.0,77.0
5,그린나래(도시형),58,서울시 영등포구 도림동,1156011800,251-2,서울시 영등포구 도신로 71-1,37.506611,126.90037,29,0,9,6,252,40,16,그린산업종합건설(주),HT001,58.37,47.85,82,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,13,41.0,77.0
0,도림청구,58B㎡,서울시 영등포구 도림동,1156011800,221-1,서울시 영등포구 도영로7길 7,37.509287,126.895621,200,0,19,12,279,27,207,(주)청구주택(주)호진제강,HT001,58.4,37.81,65,1,1,81,복도식,83090,258020,16610,158320,0,0,0,,96339,100865,"3억 8,000",4억,2억,"2억 1,000",,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,9,41.0,77.0
1,도림청구,58A㎡,서울시 영등포구 도림동,1156011800,221-1,서울시 영등포구 도영로7길 7,37.509287,126.895621,200,0,19,12,279,27,207,(주)청구주택(주)호진제강,HT001,58.13,37.63,65,1,1,18,복도식,83090,258020,16610,158320,0,0,0,,95881,100385,,,,,,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,9,41.0,77.0
2,도림청구,108㎡,서울시 영등포구 도림동,1156011800,221-1,서울시 영등포구 도영로7길 7,37.509287,126.895621,200,0,19,12,279,27,207,(주)청구주택(주)호진제강,HT001,108.58,84.96,78,3,2,66,계단식,259120,618320,51820,307380,0,0,0,,216477,226647,,9억,,,,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,9,41.0,77.0
3,도림청구,160,서울시 영등포구 도림동,1156011800,221-1,서울시 영등포구 도영로7길 7,37.509287,126.895621,200,0,19,12,279,27,207,(주)청구주택(주)호진제강,HT001,160.85,126.65,79,4,2,35,계단식,305760,706940,61150,340030,0,0,0,,322703,337863,,10억,,,,,,,서울영등포초등학교,B100001241,서울특별시 영등포구 문래동1가 35-2번지,혁신,단설,19451101,서울특별시교육청,http://ydp.sen.es.kr,20230531,13.7,17.2,150,125,20230531,6,19,3,3,2,2,2,2,52,53,51,36,36,,2,6,14,275,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,309,451623000,37.51282526,126.89853222,1156011900,서울시,19.8,17.4,영등포구,19.6,16.9,9,41.0,77.0
