,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,DMC SK뷰,84B㎡,서울시 은평구 수색동,1138010100,418,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,294,21,960,에스케이에코플랜트 주식회사,HT001,84.89,59.98,71,3,2,42,계단식,,,,,,,,,,,,"11억 5,000","5억 8,000","9억 5,000",2억/170,"4억 5,000/50",2억/170,"4억 5,000/50",서울증산초등학교,B100002012,서울특별시 은평구 증산동 212번지 (비단길 61),공립,단설,19761126,서울특별시교육청,http://jeungsancho.sen.es.kr,20230531,18.3,20.9,379,332,20230531,9,41,7,6,5,4,5,5,147,128,105,95,116,,2,5,32,711,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3620,791,831557000,37.58243057,126.90449252,1138011000,서울시,19.8,17.4,은평구,19.6,17.9,14,115.0,120.0
1,DMC SK뷰,85A㎡,서울시 은평구 수색동,1138010100,418,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,294,21,960,에스케이에코플랜트 주식회사,HT001,85.22,59.98,70,3,2,164,계단식,,,,,,,,,,,"10억 8,000",16억,"5억 5,000","6억 4,000","5,000/210",4억/100,"5,000/210",4억/100,서울증산초등학교,B100002012,서울특별시 은평구 증산동 212번지 (비단길 61),공립,단설,19761126,서울특별시교육청,http://jeungsancho.sen.es.kr,20230531,18.3,20.9,379,332,20230531,9,41,7,6,5,4,5,5,147,128,105,95,116,,2,5,32,711,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3620,791,831557000,37.58243057,126.90449252,1138011000,서울시,19.8,17.4,은평구,19.6,17.9,14,115.0,120.0
2,DMC SK뷰,114B㎡,서울시 은평구 수색동,1138010100,418,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,294,21,960,에스케이에코플랜트 주식회사,HT001,114.32,84.99,74,3,2,65,계단식,,,,,,,,,,,14억,15억,"6억 8,000","7억 5,000",,,,,서울증산초등학교,B100002012,서울특별시 은평구 증산동 212번지 (비단길 61),공립,단설,19761126,서울특별시교육청,http://jeungsancho.sen.es.kr,20230531,18.3,20.9,379,332,20230531,9,41,7,6,5,4,5,5,147,128,105,95,116,,2,5,32,711,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3620,791,831557000,37.58243057,126.90449252,1138011000,서울시,19.8,17.4,은평구,19.6,17.9,14,115.0,120.0
3,DMC SK뷰,117A㎡,서울시 은평구 수색동,1138010100,418,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,294,21,960,에스케이에코플랜트 주식회사,HT001,117.72,84.99,72,3,2,196,계단식,,,,,,,,,,,"14억 5,000",16억,"6억 6,000","7억 5,000",2억/220,6억/80,2억/220,6억/80,서울증산초등학교,B100002012,서울특별시 은평구 증산동 212번지 (비단길 61),공립,단설,19761126,서울특별시교육청,http://jeungsancho.sen.es.kr,20230531,18.3,20.9,379,332,20230531,9,41,7,6,5,4,5,5,147,128,105,95,116,,2,5,32,711,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3620,791,831557000,37.58243057,126.90449252,1138011000,서울시,19.8,17.4,은평구,19.6,17.9,14,115.0,120.0
4,DMC SK뷰,117E㎡,서울시 은평구 수색동,1138010100,418,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,294,21,960,에스케이에코플랜트 주식회사,HT001,117.52,84.99,72,3,2,35,계단식,,,,,,,,,,,,,,"6억 8,000",,,,,서울증산초등학교,B100002012,서울특별시 은평구 증산동 212번지 (비단길 61),공립,단설,19761126,서울특별시교육청,http://jeungsancho.sen.es.kr,20230531,18.3,20.9,379,332,20230531,9,41,7,6,5,4,5,5,147,128,105,95,116,,2,5,32,711,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3620,791,831557000,37.58243057,126.90449252,1138011000,서울시,19.8,17.4,은평구,19.6,17.9,14,115.0,120.0
5,DMC SK뷰,117D㎡,서울시 은평구 수색동,1138010100,418,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,294,21,960,에스케이에코플랜트 주식회사,HT001,117.66,84.99,72,3,2,32,계단식,,,,,,,,,,,,,,"6억 8,000",,2억/230,,2억/230,서울증산초등학교,B100002012,서울특별시 은평구 증산동 212번지 (비단길 61),공립,단설,19761126,서울특별시교육청,http://jeungsancho.sen.es.kr,20230531,18.3,20.9,379,332,20230531,9,41,7,6,5,4,5,5,147,128,105,95,116,,2,5,32,711,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3620,791,831557000,37.58243057,126.90449252,1138011000,서울시,19.8,17.4,은평구,19.6,17.9,14,115.0,120.0
6,DMC SK뷰,118C㎡,서울시 은평구 수색동,1138010100,418,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,294,21,960,에스케이에코플랜트 주식회사,HT001,118.36,84.99,72,3,2,34,계단식,,,,,,,,,,,,15억,,,,,,,서울증산초등학교,B100002012,서울특별시 은평구 증산동 212번지 (비단길 61),공립,단설,19761126,서울특별시교육청,http://jeungsancho.sen.es.kr,20230531,18.3,20.9,379,332,20230531,9,41,7,6,5,4,5,5,147,128,105,95,116,,2,5,32,711,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3620,791,831557000,37.58243057,126.90449252,1138011000,서울시,19.8,17.4,은평구,19.6,17.9,14,115.0,120.0
7,DMC SK뷰,149,서울시 은평구 수색동,1138010100,418,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,294,21,960,에스케이에코플랜트 주식회사,HT001,149.89,112.87,75,4,2,50,계단식,,,,,,,,,,,,,,"9억 5,000",,,,,서울증산초등학교,B100002012,서울특별시 은평구 증산동 212번지 (비단길 61),공립,단설,19761126,서울특별시교육청,http://jeungsancho.sen.es.kr,20230531,18.3,20.9,379,332,20230531,9,41,7,6,5,4,5,5,147,128,105,95,116,,2,5,32,711,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3620,791,831557000,37.58243057,126.90449252,1138011000,서울시,19.8,17.4,은평구,19.6,17.9,14,115.0,120.0
0,DMCSK뷰아이파크포레,58㎡,서울시 은평구 수색동,1138010100,341-6번지 일원,서울시 은평구,37.585756,126.893091,1466,0,19,8,238,23,1954,"에스케이건설(주),HDC현대산업개발(주)",HT001,58.54,39.97,68,1,1,219,계단식,,,,,,,,,,,,,,,"5,000/120",2억/60,"5,000/120",2억/60,서울수색초등학교,B100001993,서울특별시 은평구 수색동 129번지(수색초교길 39-1),공립,단설,19350401,서울특별시교육청,http://susaek.sen.es.kr,20230531,10.7,11.3,143,128,20230531,5,31,6,4,4,3,3,3,60,52,51,32,33,,1,3,23,271,1,3,0,0,20230531,11,,0,0.0,20230531,직영,3580,364,165936000,37.58496014,126.89549072,1138010100,서울시,19.8,17.4,은평구,19.6,17.9,4,40.0,142.0
1,DMCSK뷰아이파크포레,73㎡,서울시 은평구 수색동,1138010100,341-6번지 일원,서울시 은평구,37.585756,126.893091,1466,0,19,8,238,23,1954,"에스케이건설(주),HDC현대산업개발(주)",HT001,73.67,49.92,68,2,1,177,계단식,,,,,,,,,,,,,,"4억 2,000","5,000/170",1억/150,"5,000/170",1억/150,서울수색초등학교,B100001993,서울특별시 은평구 수색동 129번지(수색초교길 39-1),공립,단설,19350401,서울특별시교육청,http://susaek.sen.es.kr,20230531,10.7,11.3,143,128,20230531,5,31,6,4,4,3,3,3,60,52,51,32,33,,1,3,23,271,1,3,0,0,20230531,11,,0,0.0,20230531,직영,3580,364,165936000,37.58496014,126.89549072,1138010100,서울시,19.8,17.4,은평구,19.6,17.9,4,40.0,142.0
