,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,LH삼성(도시형),44A㎡,서울시 강남구 삼성동,1168010500,109-21,서울시 강남구 영동대로112길 46,37.515499,127.064002,47,34,9,7,247,0,24,케이월드종합건설(주),HT001,44.28,27.75,63,1,1,7,계단식,,,,,,,,,,,,,"3억 3,000",4억,,2억/70,,2억/70,서울봉은초등학교,B100000758,서울특별시 강남구 삼성동 79-2번지,공립,단설,19820407,서울특별시교육청,http://bongeun.sen.es.kr,20230531,19.5,19.9,256,202,20230531,4,41,4,3,4,4,4,4,76,78,71,78,74,,0,0,23,458,1,3,0,0,20230531,14,,0,0.0,20230531,직영,3377,587,577570000,37.52041079,127.06085426,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,18,81.0,172.0
1,LH삼성(도시형),44B㎡,서울시 강남구 삼성동,1168010500,109-21,서울시 강남구 영동대로112길 46,37.515499,127.064002,47,34,9,7,247,0,24,케이월드종합건설(주),HT001,44.28,27.75,63,1,1,3,계단식,,,,,,,,,,,,7억,,2억,,2억/70,,2억/70,서울봉은초등학교,B100000758,서울특별시 강남구 삼성동 79-2번지,공립,단설,19820407,서울특별시교육청,http://bongeun.sen.es.kr,20230531,19.5,19.9,256,202,20230531,4,41,4,3,4,4,4,4,76,78,71,78,74,,0,0,23,458,1,3,0,0,20230531,14,,0,0.0,20230531,직영,3377,587,577570000,37.52041079,127.06085426,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,18,81.0,172.0
2,LH삼성(도시형),46A㎡,서울시 강남구 삼성동,1168010500,109-21,서울시 강남구 영동대로112길 46,37.515499,127.064002,47,34,9,7,247,0,24,케이월드종합건설(주),HT001,46.41,29.08,63,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울봉은초등학교,B100000758,서울특별시 강남구 삼성동 79-2번지,공립,단설,19820407,서울특별시교육청,http://bongeun.sen.es.kr,20230531,19.5,19.9,256,202,20230531,4,41,4,3,4,4,4,4,76,78,71,78,74,,0,0,23,458,1,3,0,0,20230531,14,,0,0.0,20230531,직영,3377,587,577570000,37.52041079,127.06085426,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,18,81.0,172.0
3,LH삼성(도시형),65A,서울시 강남구 삼성동,1168010500,109-21,서울시 강남구 영동대로112길 46,37.515499,127.064002,47,34,9,7,247,0,24,케이월드종합건설(주),HT001,65.73,41.19,63,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울봉은초등학교,B100000758,서울특별시 강남구 삼성동 79-2번지,공립,단설,19820407,서울특별시교육청,http://bongeun.sen.es.kr,20230531,19.5,19.9,256,202,20230531,4,41,4,3,4,4,4,4,76,78,71,78,74,,0,0,23,458,1,3,0,0,20230531,14,,0,0.0,20230531,직영,3377,587,577570000,37.52041079,127.06085426,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,18,81.0,172.0
0,SM드림빌,58A㎡,서울시 강남구 삼성동,1168010500,29-11,서울시 강남구 봉은사로61길 34,37.513364,127.045958,16,0,5,3,241,59,12,승민종합건설(주),HT001,58.04,51.75,89,2,1,6,계단식,182560,472860,36510,253790,0,0,0,,,,,,,,,,,,서울삼릉초등학교,B100000759,서울특별시 강남구 삼성동 42번지,공립,단설,19850429,서울특별시교육청,http://srng.sen.es.kr,20230531,20.4,22.3,296,240,20230531,2,37,4,3,4,4,4,4,93,71,86,78,103,,1,1,23,536,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3377,574,598782000,37.51283423,127.04709858,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,2,104.0,222.0
1,SM드림빌,59B㎡,서울시 강남구 삼성동,1168010500,29-11,서울시 강남구 봉은사로61길 34,37.513364,127.045958,16,0,5,3,241,59,12,승민종합건설(주),HT001,59.2,52.79,89,2,1,6,계단식,180800,469520,36160,252560,0,0,0,,,,,,,,,,,,서울삼릉초등학교,B100000759,서울특별시 강남구 삼성동 42번지,공립,단설,19850429,서울특별시교육청,http://srng.sen.es.kr,20230531,20.4,22.3,296,240,20230531,2,37,4,3,4,4,4,4,93,71,86,78,103,,1,1,23,536,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3377,574,598782000,37.51283423,127.04709858,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,2,104.0,222.0
2,SM드림빌,70㎡,서울시 강남구 삼성동,1168010500,29-11,서울시 강남구 봉은사로61길 34,37.513364,127.045958,16,0,5,3,241,59,12,승민종합건설(주),HT001,70.26,62.64,89,3,1,2,계단식,254720,609960,50940,304300,0,0,0,,,,,,,,,,,,서울삼릉초등학교,B100000759,서울특별시 강남구 삼성동 42번지,공립,단설,19850429,서울특별시교육청,http://srng.sen.es.kr,20230531,20.4,22.3,296,240,20230531,2,37,4,3,4,4,4,4,93,71,86,78,103,,1,1,23,536,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3377,574,598782000,37.51283423,127.04709858,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,2,104.0,222.0
3,SM드림빌,94,서울시 강남구 삼성동,1168010500,29-11,서울시 강남구 봉은사로61길 34,37.513364,127.045958,16,0,5,3,241,59,12,승민종합건설(주),HT001,94.35,84.13,89,3,2,2,계단식,419400,922860,83880,419580,0,0,0,,,,,,,,,,,,서울삼릉초등학교,B100000759,서울특별시 강남구 삼성동 42번지,공립,단설,19850429,서울특별시교육청,http://srng.sen.es.kr,20230531,20.4,22.3,296,240,20230531,2,37,4,3,4,4,4,4,93,71,86,78,103,,1,1,23,536,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3377,574,598782000,37.51283423,127.04709858,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,2,104.0,222.0
0,강변삼부,100㎡,서울시 강남구 삼성동,1168010500,99-12,서울시 강남구 봉은사로113길 25,37.517125,127.06565,48,0,14,11,336,33,70,삼부토건(주),HT001,100.64,81.94,81,3,2,20,계단식,1512000,2564100,302400,749700,0,0,0,,,,,,,,,,,,서울봉은초등학교,B100000758,서울특별시 강남구 삼성동 79-2번지,공립,단설,19820407,서울특별시교육청,http://bongeun.sen.es.kr,20230531,19.5,19.9,256,202,20230531,4,41,4,3,4,4,4,4,76,78,71,78,74,,0,0,23,458,1,3,0,0,20230531,14,,0,0.0,20230531,직영,3377,587,577570000,37.52041079,127.06085426,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,17,81.0,172.0
1,강변삼부,135,서울시 강남구 삼성동,1168010500,99-12,서울시 강남구 봉은사로113길 25,37.517125,127.06565,48,0,14,11,336,33,70,삼부토건(주),HT001,135.66,110.45,81,4,2,28,계단식,1990800,3306240,398160,917280,589820,491520,98300,,,,,,"8억 5,000",9억,1억/400,2억/400,1억/400,2억/400,서울봉은초등학교,B100000758,서울특별시 강남구 삼성동 79-2번지,공립,단설,19820407,서울특별시교육청,http://bongeun.sen.es.kr,20230531,19.5,19.9,256,202,20230531,4,41,4,3,4,4,4,4,76,78,71,78,74,,0,0,23,458,1,3,0,0,20230531,14,,0,0.0,20230531,직영,3377,587,577570000,37.52041079,127.06085426,1168010500,서울시,19.8,17.4,강남구,21.6,18.9,17,81.0,172.0
