,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,DS파크빌(도시형),36㎡,서울시 금천구 시흥동,1154510300,995-34,서울시 금천구 시흥대로61길 46,37.453551,126.898227,8,0,6,6,253,59,4,리치종합건설(주),HT001,36.3,25.73,71,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울문백초등학교,B100001225,서울특별시 금천구 시흥동 564-5번지,혁신,단설,19810713,서울특별시교육청,https://munbaek.sen.es.kr,20230531,17.4,19.1,299,292,20230531,12,34,5,5,5,4,5,5,83,97,98,90,111,,2,8,29,591,3,1,0,0,20230531,9,,0,0.0,20230531,직영,3442,731,609920000,37.44708111,126.89930366,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,18,104.0,81.0,
1,DS파크빌(도시형),39,서울시 금천구 시흥동,1154510300,995-34,서울시 금천구 시흥대로61길 46,37.453551,126.898227,8,0,6,6,253,59,4,리치종합건설(주),HT001,39.65,28.11,71,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울문백초등학교,B100001225,서울특별시 금천구 시흥동 564-5번지,혁신,단설,19810713,서울특별시교육청,https://munbaek.sen.es.kr,20230531,17.4,19.1,299,292,20230531,12,34,5,5,5,4,5,5,83,97,98,90,111,,2,8,29,591,3,1,0,0,20230531,9,,0,0.0,20230531,직영,3442,731,609920000,37.44708111,126.89930366,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,18,104.0,81.0,
0,SM엘루이,90A㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,90.01,71.09,79,3,2,24,계단식,135040,382560,27000,220520,0,0,0,,,,"6억 2,000","6억 5,000",,,,,,,서울문백초등학교,B100001225,서울특별시 금천구 시흥동 564-5번지,혁신,단설,19810713,서울특별시교육청,https://munbaek.sen.es.kr,20230531,17.4,19.1,299,292,20230531,12,34,5,5,5,4,5,5,83,97,98,90,111,,2,8,29,591,3,1,0,0,20230531,9,,0,0.0,20230531,직영,3442,731,609920000,37.44708111,126.89930366,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,9,104.0,81.0,
1,SM엘루이,107B㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.77,84.98,79,3,2,14,계단식,180800,469520,36160,252560,0,0,0,,,,,,,,,,,,서울문백초등학교,B100001225,서울특별시 금천구 시흥동 564-5번지,혁신,단설,19810713,서울특별시교육청,https://munbaek.sen.es.kr,20230531,17.4,19.1,299,292,20230531,12,34,5,5,5,4,5,5,83,97,98,90,111,,2,8,29,591,3,1,0,0,20230531,9,,0,0.0,20230531,직영,3442,731,609920000,37.44708111,126.89930366,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,9,104.0,81.0,
2,SM엘루이,107A㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.45,84.97,79,3,2,12,계단식,180800,469520,36160,252560,0,0,0,,,,7억,"7억 5,000",,,,,,,서울문백초등학교,B100001225,서울특별시 금천구 시흥동 564-5번지,혁신,단설,19810713,서울특별시교육청,https://munbaek.sen.es.kr,20230531,17.4,19.1,299,292,20230531,12,34,5,5,5,4,5,5,83,97,98,90,111,,2,8,29,591,3,1,0,0,20230531,9,,0,0.0,20230531,직영,3442,731,609920000,37.44708111,126.89930366,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,9,104.0,81.0,
3,SM엘루이,107D㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.51,84.98,79,3,2,10,계단식,172880,454460,34570,247010,0,0,0,,,,"6억 6,000","7억 5,000",,,,,,,서울문백초등학교,B100001225,서울특별시 금천구 시흥동 564-5번지,혁신,단설,19810713,서울특별시교육청,https://munbaek.sen.es.kr,20230531,17.4,19.1,299,292,20230531,12,34,5,5,5,4,5,5,83,97,98,90,111,,2,8,29,591,3,1,0,0,20230531,9,,0,0.0,20230531,직영,3442,731,609920000,37.44708111,126.89930366,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,9,104.0,81.0,
4,SM엘루이,107E㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.54,84.94,79,3,2,7,계단식,177280,462820,35450,250090,0,0,0,,,,,7억,,,,,,,서울문백초등학교,B100001225,서울특별시 금천구 시흥동 564-5번지,혁신,단설,19810713,서울특별시교육청,https://munbaek.sen.es.kr,20230531,17.4,19.1,299,292,20230531,12,34,5,5,5,4,5,5,83,97,98,90,111,,2,8,29,591,3,1,0,0,20230531,9,,0,0.0,20230531,직영,3442,731,609920000,37.44708111,126.89930366,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,9,104.0,81.0,
5,SM엘루이,107D-1㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.51,84.98,79,3,2,1,계단식,172880,454460,34570,247010,0,0,0,,,,,,,,,,,,서울문백초등학교,B100001225,서울특별시 금천구 시흥동 564-5번지,혁신,단설,19810713,서울특별시교육청,https://munbaek.sen.es.kr,20230531,17.4,19.1,299,292,20230531,12,34,5,5,5,4,5,5,83,97,98,90,111,,2,8,29,591,3,1,0,0,20230531,9,,0,0.0,20230531,직영,3442,731,609920000,37.44708111,126.89930366,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,9,104.0,81.0,
6,SM엘루이,108C,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,108.3,84.99,78,3,2,14,계단식,177280,462820,35450,250090,0,0,0,,,,"7억 7,000","8억 2,000",,,,,,,서울문백초등학교,B100001225,서울특별시 금천구 시흥동 564-5번지,혁신,단설,19810713,서울특별시교육청,https://munbaek.sen.es.kr,20230531,17.4,19.1,299,292,20230531,12,34,5,5,5,4,5,5,83,97,98,90,111,,2,8,29,591,3,1,0,0,20230531,9,,0,0.0,20230531,직영,3442,731,609920000,37.44708111,126.89930366,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,9,104.0,81.0,
0,거상센스빌(201동),69㎡,서울시 금천구 시흥동,1154510300,956-6,서울시 금천구 시흥대로16길 21,37.440078,126.905374,19,0,5,5,199,44,17,거상종합건설(주),HT001,69.72,63.79,91,3,2,4,계단식,,,,,,,,,,,,,,,,,,,서울금산초등학교,B100001207,서울특별시 금천구 시흥동 산 6-7,공립,단설,19980731,서울특별시교육청,http://gumsan.sen.es.kr,20230531,16.3,20.0,142,138,20230531,5,21,2,2,2,2,3,3,40,52,42,36,60,,0,0,14,280,2,2,0,0,20230531,3,,0,0.0,20230531,직영,3545,345,424479000,37.44164983,126.90819287,1154510300,서울시,19.8,17.4,금천구,17.9,15.4,7,50.0,31.0,
