,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,J스타팰리스(도시형),36A㎡,서울시 노원구 상계동,1135010500,407-16,서울시 노원구 상계로9나길 33-1,37.660862,127.067141,8,0,5,5,199,59,4,(주)라온종합건설,HT001,36.56,29.19,80,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울상계초등학교,B100001749,서울특별시 노원구 상계동 402-1,공립,단설,19460911,서울특별시교육청,http://sanggye.sen.es.kr,20230531,13.4,16.3,123,121,20230531,5,23,2,2,2,2,2,3,31,35,43,36,44,,2,9,13,244,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3560,336,529134000,37.65918606,127.06598563,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,4,46.0,59.0
1,J스타팰리스(도시형),37B㎡,서울시 노원구 상계동,1135010500,407-16,서울시 노원구 상계로9나길 33-1,37.660862,127.067141,8,0,5,5,199,59,4,(주)라온종합건설,HT001,37.51,29.95,80,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울상계초등학교,B100001749,서울특별시 노원구 상계동 402-1,공립,단설,19460911,서울특별시교육청,http://sanggye.sen.es.kr,20230531,13.4,16.3,123,121,20230531,5,23,2,2,2,2,2,3,31,35,43,36,44,,2,9,13,244,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3560,336,529134000,37.65918606,127.06598563,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,4,46.0,59.0
2,J스타팰리스(도시형),44A㎡,서울시 노원구 상계동,1135010500,407-16,서울시 노원구 상계로9나길 33-1,37.660862,127.067141,8,0,5,5,199,59,4,(주)라온종합건설,HT001,44.15,35.25,80,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울상계초등학교,B100001749,서울특별시 노원구 상계동 402-1,공립,단설,19460911,서울특별시교육청,http://sanggye.sen.es.kr,20230531,13.4,16.3,123,121,20230531,5,23,2,2,2,2,2,3,31,35,43,36,44,,2,9,13,244,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3560,336,529134000,37.65918606,127.06598563,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,4,46.0,59.0
3,J스타팰리스(도시형),44B,서울시 노원구 상계동,1135010500,407-16,서울시 노원구 상계로9나길 33-1,37.660862,127.067141,8,0,5,5,199,59,4,(주)라온종합건설,HT001,44.54,35.56,80,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울상계초등학교,B100001749,서울특별시 노원구 상계동 402-1,공립,단설,19460911,서울특별시교육청,http://sanggye.sen.es.kr,20230531,13.4,16.3,123,121,20230531,5,23,2,2,2,2,2,3,31,35,43,36,44,,2,9,13,244,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3560,336,529134000,37.65918606,127.06598563,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,4,46.0,59.0
0,건영,74B㎡,서울시 노원구 상계동,1135010500,1321,서울시 노원구 덕릉로115다길 40,37.66856,127.07795,87,0,15,9,396,59,72,(주)건영,HT001,74.06,59.76,81,2,1,26,복도식,69330,222250,13860,139060,0,0,0,,,,"4억 3,000","4억 5,000","2억 2,000","2억 5,000",,1억/60,,1억/60,서울신상계초등학교,B100001761,서울특별시 노원구 상계동 86-1번지,공립,단설,19700522,서울특별시교육청,http://sinsanggye.sen.es.kr,20230531,14.3,16.0,193,175,20230531,6,28,4,4,3,3,3,4,46,70,58,60,57,,2,11,21,368,1,4,0,0,20230531,5,,0,0.0,20230531,직영,3427,444,524044000,37.66792688,127.07580442,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,3,66.0,120.0
1,건영,74A㎡,서울시 노원구 상계동,1135010500,1321,서울시 노원구 덕릉로115다길 40,37.66856,127.07795,87,0,15,9,396,59,72,(주)건영,HT001,74.24,59.91,81,3,1,16,복도식,74490,235660,14890,146280,0,0,0,,,,"4억 5,000",5억,,"2억 6,000",,,,,서울신상계초등학교,B100001761,서울특별시 노원구 상계동 86-1번지,공립,단설,19700522,서울특별시교육청,http://sinsanggye.sen.es.kr,20230531,14.3,16.0,193,175,20230531,6,28,4,4,3,3,3,4,46,70,58,60,57,,2,11,21,368,1,4,0,0,20230531,5,,0,0.0,20230531,직영,3427,444,524044000,37.66792688,127.07580442,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,3,66.0,120.0
2,건영,105,서울시 노원구 상계동,1135010500,1321,서울시 노원구 덕릉로115다길 40,37.66856,127.07795,87,0,15,9,396,59,72,(주)건영,HT001,105.05,84.77,81,3,2,45,계단식,87390,269200,17470,164340,0,0,0,,,,"5억 1,000","5억 4,000",,,,,,,서울신상계초등학교,B100001761,서울특별시 노원구 상계동 86-1번지,공립,단설,19700522,서울특별시교육청,http://sinsanggye.sen.es.kr,20230531,14.3,16.0,193,175,20230531,6,28,4,4,3,3,3,4,46,70,58,60,57,,2,11,21,368,1,4,0,0,20230531,5,,0,0.0,20230531,직영,3427,444,524044000,37.66792688,127.07580442,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,3,66.0,120.0
0,극동늘푸른,84㎡,서울시 노원구 상계동,1135010500,1128,서울시 노원구 동일로246길 39,37.6774,127.05714,299,0,18,7,243,23,259,극동건설(주),HT001,84.44,59.95,71,3,1,137,복도식,107280,320920,21450,192190,0,0,0,,170868,164979,"4억 8,000","5억 8,000",,3억,,,,,서울노원초등학교,B100001738,서울특별시 노원구 상계동 1014번지,혁신,단설,19720902,서울특별시교육청,http://nowon.sen.es.kr,20230531,14.9,18.9,157,145,20230531,5,22,2,2,2,2,3,3,47,47,48,39,52,,2,10,14,302,2,3,0,0,20230531,1,,0,0.0,20230531,직영,3530,327,522793000,37.67300033,127.05832169,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,9,59.0,22.0
1,극동늘푸른,109,서울시 노원구 상계동,1135010500,1128,서울시 노원구 동일로246길 39,37.6774,127.05714,299,0,18,7,243,23,259,극동건설(주),HT001,109.14,84.51,77,3,2,162,계단식,185200,477880,37040,255640,0,0,0,,240847,232546,"6억 8,000","8억 5,000","3억 7,000","4억 5,000",,,,,서울노원초등학교,B100001738,서울특별시 노원구 상계동 1014번지,혁신,단설,19720902,서울특별시교육청,http://nowon.sen.es.kr,20230531,14.9,18.9,157,145,20230531,5,22,2,2,2,2,3,3,47,47,48,39,52,,2,10,14,302,2,3,0,0,20230531,1,,0,0.0,20230531,직영,3530,327,522793000,37.67300033,127.05832169,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,9,59.0,22.0
0,금호어울림,102S㎡,서울시 노원구 상계동,1135010500,1270,서울시 노원구 한글비석로46나길 10,37.667416,127.068802,230,0,14,11,301,28,217,(주)금호건설,HT001,102.31,84.54,83,3,2,133,계단식,156160,422700,31230,235310,0,0,0,,213700,193955,"5억 6,000","6억 9,000",,,,,,,서울온곡초등학교,B100001769,서울특별시 노원구 상계동 638번지(온곡길93),공립,단설,19880209,서울특별시교육청,http://ongok.sen.es.kr,20230531,18.6,21.3,279,275,20230531,9,31,5,4,4,4,4,5,87,88,88,75,97,,0,0,26,554,2,2,0,0,20230531,4,,0,0.0,20230531,직영,3457,737,667810000,37.6673994,127.06600197,1135010500,서울시,19.8,17.4,노원구,18.9,17.3,3,119.0,58.0
