,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,마포자이,108㎡,서울시 마포구 염리동,1144010900,521,서울시 마포구 독막로42길 2,37.543262,126.944988,534,0,25,18,300,17,892,LG건설(주),HT005,108.04,84.69,78,3,2,228,계단식,1189800,2064690,237960,636930,0,0,0,,333218,231874,"16억 8,000","18억 8,000",,"9억 7,000",,3억/180,,3억/180,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,1,224.0,328.0
1,마포자이,135㎡,서울시 마포구 염리동,1144010900,521,서울시 마포구 독막로42길 2,37.543262,126.944988,534,0,25,18,300,17,892,LG건설(주),HT005,135.54,113.8,84,4,2,166,계단식,1562400,2642220,312480,767340,41470,34560,6910,,447755,311576,,"21억 5,000","11억 5,000","12억 5,000",1억/350,1억/420,1억/350,1억/420,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,1,224.0,328.0
2,마포자이,163㎡,서울시 마포구 염리동,1144010900,521,서울시 마포구 독막로42길 2,37.543262,126.944988,534,0,25,18,300,17,892,LG건설(주),HT005,163.05,135.37,83,4,2,90,계단식,1807200,3021660,361440,853020,354810,295680,59130,,532633,370639,22억,23억,,,,1억/450,,1억/450,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,1,224.0,328.0
3,마포자이,189,서울시 마포구 염리동,1144010900,521,서울시 마포구 독막로42길 2,37.543262,126.944988,534,0,25,18,300,17,892,LG건설(주),HT005,189.8,157.3,83,4,2,50,계단식,2008800,3334140,401760,923580,612860,510720,102140,,618908,430675,23억,25억,,,,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,1,224.0,328.0
0,마포자이더센트리지,82A㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,82.64,59.99,73,3,2,262,계단식,,,,,,,,,201459,202676,"11억 8,000","15억 5,000","7억 3,000","7억 5,000",2억/220,6억/60,2억/220,6억/60,서울용강초등학교,B100002007,서울특별시 마포구 대흥동 51,공립,단설,19160426,서울특별시교육청,http://yonggang.sen.es.kr,20230531,17.0,20.0,258,282,20230531,3,38,4,4,4,4,5,4,86,85,96,81,107,,2,11,25,540,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3377,540,621453000,37.5487996,126.94385686,1144010800,서울시,19.8,17.4,마포구,20.1,18.0,4,74.0,144.0
1,마포자이더센트리지,83C㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,83.51,59.97,72,3,2,12,계단식,,,,,,,,,201398,202615,"13억 2,000","16억 5,000",7억,"7억 3,000",,,,,서울용강초등학교,B100002007,서울특별시 마포구 대흥동 51,공립,단설,19160426,서울특별시교육청,http://yonggang.sen.es.kr,20230531,17.0,20.0,258,282,20230531,3,38,4,4,4,4,5,4,86,85,96,81,107,,2,11,25,540,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3377,540,621453000,37.5487996,126.94385686,1144010800,서울시,19.8,17.4,마포구,20.1,18.0,4,74.0,144.0
2,마포자이더센트리지,83E㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,83.3,59.99,72,3,2,12,계단식,,,,,,,,,201479,202696,,,,,,,,,서울용강초등학교,B100002007,서울특별시 마포구 대흥동 51,공립,단설,19160426,서울특별시교육청,http://yonggang.sen.es.kr,20230531,17.0,20.0,258,282,20230531,3,38,4,4,4,4,5,4,86,85,96,81,107,,2,11,25,540,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3377,540,621453000,37.5487996,126.94385686,1144010800,서울시,19.8,17.4,마포구,20.1,18.0,4,74.0,144.0
3,마포자이더센트리지,84D㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,84.28,59.96,71,3,2,12,계단식,,,,,,,,,201364,202581,,13억,,,,"1억 5,000/240",,"1억 5,000/240",서울용강초등학교,B100002007,서울특별시 마포구 대흥동 51,공립,단설,19160426,서울특별시교육청,http://yonggang.sen.es.kr,20230531,17.0,20.0,258,282,20230531,3,38,4,4,4,4,5,4,86,85,96,81,107,,2,11,25,540,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3377,540,621453000,37.5487996,126.94385686,1144010800,서울시,19.8,17.4,마포구,20.1,18.0,4,74.0,144.0
4,마포자이더센트리지,84B㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,84.25,59.99,71,3,2,8,계단식,,,,,,,,,201472,202689,,,,,,,,,서울용강초등학교,B100002007,서울특별시 마포구 대흥동 51,공립,단설,19160426,서울특별시교육청,http://yonggang.sen.es.kr,20230531,17.0,20.0,258,282,20230531,3,38,4,4,4,4,5,4,86,85,96,81,107,,2,11,25,540,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3377,540,621453000,37.5487996,126.94385686,1144010800,서울시,19.8,17.4,마포구,20.1,18.0,4,74.0,144.0
5,마포자이더센트리지,113A㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,113.9,84.86,75,3,2,258,계단식,,,,,,,,,284997,286719,"15억 5,000",18억,,"9억 5,000",,,,,서울용강초등학교,B100002007,서울특별시 마포구 대흥동 51,공립,단설,19160426,서울특별시교육청,http://yonggang.sen.es.kr,20230531,17.0,20.0,258,282,20230531,3,38,4,4,4,4,5,4,86,85,96,81,107,,2,11,25,540,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3377,540,621453000,37.5487996,126.94385686,1144010800,서울시,19.8,17.4,마포구,20.1,18.0,4,74.0,144.0
