,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,산경,142㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,142.6,124.92,88,4,2,1,계단식,266160,631700,53230,312310,0,0,0,,,,,,,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,5,80.0,185.0
1,산경,143A㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,143.91,126.07,88,4,2,1,계단식,266160,631700,53230,312310,0,0,0,,,,,,,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,5,80.0,185.0
2,산경,147㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,147.63,129.33,88,4,2,5,계단식,285520,668480,57100,325860,0,0,0,,,,,,,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,5,80.0,185.0
3,산경,147B㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,147.03,128.8,88,4,2,4,계단식,285520,668480,57100,325860,0,0,0,,,,10억,11억,,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,5,80.0,185.0
4,산경,152㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,152,133.23,88,4,2,1,계단식,289920,676840,57980,328940,0,0,0,,,,,,,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,5,80.0,185.0
5,산경,154,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,154.04,134.94,88,4,2,7,계단식,322480,738700,64490,351730,0,0,0,,,,,"11억 7,000",,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,5,80.0,185.0
0,천연뜨란채,40㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,40.44,30.17,75,2,1,74,계단식,86530,266970,17300,163140,0,0,0,,93636,88418,"5억 5,000","5억 8,000",,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
1,천연뜨란채,74D㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,74.97,55.82,74,3,1,104,계단식,252960,606620,50590,303070,0,0,0,,173245,163590,"7억 7,000",9억,,"4억 5,000",,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
2,천연뜨란채,75B㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,75.24,56.02,74,3,1,127,복도식,252960,606620,50590,303070,0,0,0,,173865,164176,"7억 6,000",9억,"4억 3,000","4억 8,000",,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
3,천연뜨란채,75E㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,75.01,55.85,74,3,1,102,계단식,252960,606620,50590,303070,0,0,0,,173338,163678,"8억 2,000","8억 7,000","4억 6,000","4억 8,000",,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
4,천연뜨란채,75C㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,75.32,56.08,74,3,1,92,복합식,252960,606620,50590,303070,0,0,0,,174051,164352,"7억 9,500","9억 9,000",,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
5,천연뜨란채,77A㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,77.6,57.78,74,3,2,343,계단식,252960,606620,50590,303070,0,0,0,,179328,169334,"7억 5,000","10억 5,000",,,,"1억 5,000/100",,"1억 5,000/100",서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
6,천연뜨란채,79T㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,79.87,59.47,74,3,1,26,계단식,252960,606620,50590,303070,0,0,0,,184572,174287,,"8억 2,000",,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
7,천연뜨란채,101A㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,101.81,75.8,74,3,2,32,계단식,366300,821970,73260,382410,0,0,0,,235255,222145,"10억 3,000","11억 7,000",,5억,,"4억 4,000/50",,"4억 4,000/50",서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
8,천연뜨란채,101B㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,101.47,75.55,74,3,2,32,계단식,366300,821970,73260,382410,0,0,0,,234479,221412,"8억 5,000",13억,5억,"7억 5,000",,3억/80,,3억/80,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
9,천연뜨란채,101C㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,101.3,75.42,74,3,2,19,계단식,366300,821970,73260,382410,0,0,0,,234075,221031,,,,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
10,천연뜨란채,113A㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,113.81,84.74,74,3,2,24,계단식,405000,895500,81000,409500,0,0,0,,263001,248345,,,,6억,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
11,천연뜨란채,114B,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,114.1,84.95,74,3,2,33,계단식,405000,895500,81000,409500,0,0,0,,263653,248961,,13억,,,,,,,서울금화초등학교,B100001972,서울특별시 서대문구 천연동 13번지,공립,단설,19240324,서울특별시교육청,http://geumhwa.sen.es.kr,20230531,16.7,19.9,211,247,20230531,5,31,4,3,3,4,3,4,83,66,68,79,72,,2,10,21,458,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3245,648,559139000,37.56864581,126.96317142,1141010600,서울시,19.8,17.4,서대문구,19.8,17.1,9,80.0,185.0
