,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,E-아름다운세상,94㎡,서울시 성동구 성수동2가,1120011500,846,서울시 성동구 광나루로6길 7-1,37.547786,127.060831,52,0,14,14,249,26,56,일신공영주식회사,HT001,94.56,70.71,75,3,2,26,계단식,326880,747060,65370,354810,0,0,0,,,,,,,,,,,,서울성수초등학교,B100002179,서울특별시 성동구 성수동2가 277-32번지,공립,단설,19720901,서울특별시교육청,http://sungsu.sen.es.kr,20230531,14.1,13.6,126,119,20230531,6,26,2,2,3,3,3,4,30,33,42,39,45,,1,5,17,245,3,1,0,0,20230531,3,,0,0.0,20230531,직영,3550,407,464192000,37.54424992,127.06342644,1120011500,서울시,19.8,17.4,성동구,17.8,15.9,10,51.0,34.0
1,E-아름다운세상,112,서울시 성동구 성수동2가,1120011500,846,서울시 성동구 광나루로6길 7-1,37.547786,127.060831,52,0,14,14,249,26,56,일신공영주식회사,HT001,112.19,83.35,74,3,2,26,계단식,406800,898920,81360,410760,0,0,0,,,,,,,,,,,,서울성수초등학교,B100002179,서울특별시 성동구 성수동2가 277-32번지,공립,단설,19720901,서울특별시교육청,http://sungsu.sen.es.kr,20230531,14.1,13.6,126,119,20230531,6,26,2,2,3,3,3,4,30,33,42,39,45,,1,5,17,245,3,1,0,0,20230531,3,,0,0.0,20230531,직영,3550,407,464192000,37.54424992,127.06342644,1120011500,서울시,19.8,17.4,성동구,17.8,15.9,10,51.0,34.0
0,그루빌2차,36A㎡,서울시 성동구 성수동2가,1120011500,299-177,서울시 성동구 광나루로2길 24-10,37.548785,127.054075,16,0,6,6,249,59,8,(주)신우산업개발,HT001,36.5,28.42,78,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울경동초등학교,B100002164,서울특별시 성동구 성수동1가 19-1번지,공립,단설,19131001,서울특별시교육청,http://kyungdong.sen.es.kr,20230531,19.1,20.5,431,370,20230531,7,59,7,5,6,6,6,7,129,109,139,123,145,,2,12,37,801,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3417,1090,907943000,37.54305965,127.05043981,1120011400,서울시,19.8,17.4,성동구,17.8,15.9,13,144.0,590.0
1,그루빌2차,37B㎡,서울시 성동구 성수동2가,1120011500,299-177,서울시 성동구 광나루로2길 24-10,37.548785,127.054075,16,0,6,6,249,59,8,(주)신우산업개발,HT001,37.55,29.24,78,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울경동초등학교,B100002164,서울특별시 성동구 성수동1가 19-1번지,공립,단설,19131001,서울특별시교육청,http://kyungdong.sen.es.kr,20230531,19.1,20.5,431,370,20230531,7,59,7,5,6,6,6,7,129,109,139,123,145,,2,12,37,801,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3417,1090,907943000,37.54305965,127.05043981,1120011400,서울시,19.8,17.4,성동구,17.8,15.9,13,144.0,590.0
2,그루빌2차,38,서울시 성동구 성수동2가,1120011500,299-177,서울시 성동구 광나루로2길 24-10,37.548785,127.054075,16,0,6,6,249,59,8,(주)신우산업개발,HT001,38.11,29.67,78,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울경동초등학교,B100002164,서울특별시 성동구 성수동1가 19-1번지,공립,단설,19131001,서울특별시교육청,http://kyungdong.sen.es.kr,20230531,19.1,20.5,431,370,20230531,7,59,7,5,6,6,6,7,129,109,139,123,145,,2,12,37,801,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3417,1090,907943000,37.54305965,127.05043981,1120011400,서울시,19.8,17.4,성동구,17.8,15.9,13,144.0,590.0
0,금호2차,81㎡,서울시 성동구 성수동2가,1120011500,832,서울시 성동구 연무장길 31,37.543573,127.053404,141,0,18,6,313,28,106,금호건설(주),HT001,81.79,59.94,73,3,1,94,복도식,390600,868140,78120,399420,0,0,0,,,,11억,"12억 5,000",,"6억 2,000",,,,,서울경동초등학교,B100002164,서울특별시 성동구 성수동1가 19-1번지,공립,단설,19131001,서울특별시교육청,http://kyungdong.sen.es.kr,20230531,19.1,20.5,431,370,20230531,7,59,7,5,6,6,6,7,129,109,139,123,145,,2,12,37,801,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3417,1090,907943000,37.54305965,127.05043981,1120011400,서울시,19.8,17.4,성동구,17.8,15.9,4,144.0,590.0
1,금호2차,108,서울시 성동구 성수동2가,1120011500,832,서울시 성동구 연무장길 31,37.543573,127.053404,141,0,18,6,313,28,106,금호건설(주),HT001,108.16,84.94,79,3,2,47,계단식,600070,1212110,120010,492030,0,0,0,,,,,14억,"5억 9,000","7억 8,000",,,,,서울경동초등학교,B100002164,서울특별시 성동구 성수동1가 19-1번지,공립,단설,19131001,서울특별시교육청,http://kyungdong.sen.es.kr,20230531,19.1,20.5,431,370,20230531,7,59,7,5,6,6,6,7,129,109,139,123,145,,2,12,37,801,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3417,1090,907943000,37.54305965,127.05043981,1120011400,서울시,19.8,17.4,성동구,17.8,15.9,4,144.0,590.0
0,대명루첸,113A㎡,서울시 성동구 성수동2가,1120011500,840,서울시 성동구 뚝섬로 436,37.537158,127.059154,114,0,13,12,248,27,143,(주)대명종합건설,HT001,113.5,84.95,75,3,2,101,계단식,,,,,,,,,,,17억,18억,,6억,3억/160,4억/110,3억/160,4억/110,서울경수초등학교,B100002165,서울특별시 성동구 성수동2가 268번지,혁신,병설,19820429,서울특별시교육청,http://ks.sen.es.kr,20230531,12.2,15.5,114,103,20230531,3,24,2,2,2,2,2,2,26,33,29,44,37,,2,7,12,217,3,1,0,0,20230531,5,,0,0.0,20230531,직영,3550,329,444290000,37.5401985,127.05833464,1120011500,서울시,19.8,17.4,성동구,17.8,15.9,6,41.0,33.0
1,대명루첸,113B㎡,서울시 성동구 성수동2가,1120011500,840,서울시 성동구 뚝섬로 436,37.537158,127.059154,114,0,13,12,248,27,143,(주)대명종합건설,HT001,113.5,84.95,75,3,2,0,계단식,,,,,,,,,,,,17억,,6억,,,,,서울경수초등학교,B100002165,서울특별시 성동구 성수동2가 268번지,혁신,병설,19820429,서울특별시교육청,http://ks.sen.es.kr,20230531,12.2,15.5,114,103,20230531,3,24,2,2,2,2,2,2,26,33,29,44,37,,2,7,12,217,3,1,0,0,20230531,5,,0,0.0,20230531,직영,3550,329,444290000,37.5401985,127.05833464,1120011500,서울시,19.8,17.4,성동구,17.8,15.9,6,41.0,33.0
2,대명루첸,113C㎡,서울시 성동구 성수동2가,1120011500,840,서울시 성동구 뚝섬로 436,37.537158,127.059154,114,0,13,12,248,27,143,(주)대명종합건설,HT001,113.5,84.95,75,3,2,0,계단식,,,,,,,,,,,,,,,,,,,서울경수초등학교,B100002165,서울특별시 성동구 성수동2가 268번지,혁신,병설,19820429,서울특별시교육청,http://ks.sen.es.kr,20230531,12.2,15.5,114,103,20230531,3,24,2,2,2,2,2,2,26,33,29,44,37,,2,7,12,217,3,1,0,0,20230531,5,,0,0.0,20230531,직영,3550,329,444290000,37.5401985,127.05833464,1120011500,서울시,19.8,17.4,성동구,17.8,15.9,6,41.0,33.0
