,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,동관아트빌,121B㎡,서울시 성북구 안암동3가,1129012300,42-1,서울시 성북구 인촌로12길 38,37.584489,127.022441,9,0,6,5,207,48,11,조호종합건설,HT001,121.73,84.99,70,3,2,1,계단식,78790,246840,15750,152300,0,0,0,,,,,"5억 5,000",,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,5,48.0,116.0
1,동관아트빌,122C㎡,서울시 성북구 안암동3가,1129012300,42-1,서울시 성북구 인촌로12길 38,37.584489,127.022441,9,0,6,5,207,48,11,조호종합건설,HT001,122.21,89.56,73,3,2,6,계단식,82230,255790,16440,157120,0,0,0,,,,,,,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,5,48.0,116.0
2,동관아트빌,123A㎡,서울시 성북구 안암동3가,1129012300,42-1,서울시 성북구 인촌로12길 38,37.584489,127.022441,9,0,6,5,207,48,11,조호종합건설,HT001,123.82,69.07,56,3,2,1,계단식,65890,213300,13170,134240,0,0,0,,,,,,,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,5,48.0,116.0
3,동관아트빌,177,서울시 성북구 안암동3가,1129012300,42-1,서울시 성북구 인촌로12길 38,37.584489,127.022441,9,0,6,5,207,48,11,조호종합건설,HT001,177.16,105.24,59,4,2,1,계단식,,,,,,,,,,,,,,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,5,48.0,116.0
0,동아쉐르빌,44㎡,서울시 성북구 안암동3가,1129012300,79-4,서울시 성북구 고려대로12길 64,37.583391,127.022894,18,0,7,7,222,42,20,(주)동아쉐르빌건설,HT001,44.8,38.45,86,2,1,1,계단식,33210,128340,6640,88490,0,0,0,,,,,,,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,7,48.0,116.0
1,동아쉐르빌,77㎡,서울시 성북구 안암동3가,1129012300,79-4,서울시 성북구 고려대로12길 64,37.583391,127.022894,18,0,7,7,222,42,20,(주)동아쉐르빌건설,HT001,77.4,66.54,86,3,1,1,계단식,69330,222250,13860,139060,0,0,0,,,,,,,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,7,48.0,116.0
2,동아쉐르빌,86㎡,서울시 성북구 안암동3가,1129012300,79-4,서울시 성북구 고려대로12길 64,37.583391,127.022894,18,0,7,7,222,42,20,(주)동아쉐르빌건설,HT001,86.95,74.75,86,3,1,1,계단식,82230,255790,16440,157120,0,0,0,,,,,,,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,7,48.0,116.0
3,동아쉐르빌,88㎡,서울시 성북구 안암동3가,1129012300,79-4,서울시 성북구 고려대로12길 64,37.583391,127.022894,18,0,7,7,222,42,20,(주)동아쉐르빌건설,HT001,88.23,75.85,86,3,1,1,계단식,82230,255790,16440,157120,0,0,0,,,,,,,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,7,48.0,116.0
4,동아쉐르빌,96㎡,서울시 성북구 안암동3가,1129012300,79-4,서울시 성북구 고려대로12길 64,37.583391,127.022894,18,0,7,7,222,42,20,(주)동아쉐르빌건설,HT001,96.42,82.89,86,3,2,5,계단식,90830,278150,18160,169160,0,0,0,,,,,6억,,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,7,48.0,116.0
5,동아쉐르빌,97A㎡,서울시 성북구 안암동3가,1129012300,79-4,서울시 성북구 고려대로12길 64,37.583391,127.022894,18,0,7,7,222,42,20,(주)동아쉐르빌건설,HT001,97.64,83.94,86,3,2,5,계단식,90830,278150,18160,169160,0,0,0,,,,,"6억 3,000",,,,,,,서울안암초등학교,B100002312,서울특별시 성북구 안암동2가 93,혁신,단설,19560324,서울특별시교육청,http://anam.sen.es.kr,20230531,12.8,16.9,145,143,20230531,6,25,3,3,2,2,2,3,50,48,47,44,39,,2,12,15,288,2,2,0,0,20230531,23,,0,0.0,20230531,직영,3550,327,414028000,37.58719545,127.0226307,1129012200,서울시,19.8,17.4,성북구,20.2,18.2,7,48.0,116.0
