,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,JF명오빌,36B㎡,서울시 영등포구 당산동6가,1156011600,237-27,서울시 영등포구 당산로48길 6-13,37.534114,126.903551,12,0,6,6,233,59,6,가나건설(주),HT001,36.83,29.71,81,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,9,207.0,248.0
1,JF명오빌,36A㎡,서울시 영등포구 당산동6가,1156011600,237-27,서울시 영등포구 당산로48길 6-13,37.534114,126.903551,12,0,6,6,233,59,6,가나건설(주),HT001,36.76,29.65,81,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,9,207.0,248.0
2,JF명오빌,36C㎡,서울시 영등포구 당산동6가,1156011600,237-27,서울시 영등포구 당산로48길 6-13,37.534114,126.903551,12,0,6,6,233,59,6,가나건설(주),HT001,36.84,29.72,81,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,9,207.0,248.0
3,JF명오빌,37D,서울시 영등포구 당산동6가,1156011600,237-27,서울시 영등포구 당산로48길 6-13,37.534114,126.903551,12,0,6,6,233,59,6,가나건설(주),HT001,37.01,29.86,81,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,9,207.0,248.0
0,강변리치빌(도시형),19B㎡,서울시 영등포구 당산동6가,1156011600,233-1,서울시 영등포구 당산로46길 15-1,37.533336,126.904061,26,0,7,4,249,59,8,(주)엠케이지종합건설,HT001,19.76,14.13,72,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
1,강변리치빌(도시형),19A㎡,서울시 영등포구 당산동6가,1156011600,233-1,서울시 영등포구 당산로46길 15-1,37.533336,126.904061,26,0,7,4,249,59,8,(주)엠케이지종합건설,HT001,19.72,14.1,72,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
2,강변리치빌(도시형),20D㎡,서울시 영등포구 당산동6가,1156011600,233-1,서울시 영등포구 당산로46길 15-1,37.533336,126.904061,26,0,7,4,249,59,8,(주)엠케이지종합건설,HT001,20.5,14.66,72,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
3,강변리치빌(도시형),20E㎡,서울시 영등포구 당산동6가,1156011600,233-1,서울시 영등포구 당산로46길 15-1,37.533336,126.904061,26,0,7,4,249,59,8,(주)엠케이지종합건설,HT001,20.54,14.69,72,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
4,강변리치빌(도시형),20F㎡,서울시 영등포구 당산동6가,1156011600,233-1,서울시 영등포구 당산로46길 15-1,37.533336,126.904061,26,0,7,4,249,59,8,(주)엠케이지종합건설,HT001,20.56,14.7,71,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
5,강변리치빌(도시형),20C㎡,서울시 영등포구 당산동6가,1156011600,233-1,서울시 영등포구 당산로46길 15-1,37.533336,126.904061,26,0,7,4,249,59,8,(주)엠케이지종합건설,HT001,20.49,14.65,71,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
6,강변리치빌(도시형),23A㎡,서울시 영등포구 당산동6가,1156011600,233-1,서울시 영등포구 당산로46길 15-1,37.533336,126.904061,26,0,7,4,249,59,8,(주)엠케이지종합건설,HT001,23.78,17,71,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
7,강변리치빌(도시형),24B,서울시 영등포구 당산동6가,1156011600,233-1,서울시 영등포구 당산로46길 15-1,37.533336,126.904061,26,0,7,4,249,59,8,(주)엠케이지종합건설,HT001,24.51,17.51,71,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
0,강변리치빌Ⅱ,18㎡,서울시 영등포구 당산동6가,1156011600,216-1,서울시 영등포구 당산로50길 32,37.532856,126.904792,16,0,7,5,249,51,10,(주)엠케이지종합건설,HT001,18.14,14.32,79,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,9,207.0,248.0
1,강변리치빌Ⅱ,37㎡,서울시 영등포구 당산동6가,1156011600,216-1,서울시 영등포구 당산로50길 32,37.532856,126.904792,16,0,7,5,249,51,10,(주)엠케이지종합건설,HT001,37.71,29.76,79,1,1,4,계단식,,,,,,,,,,,,"3억 9,000",,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,9,207.0,248.0
2,강변리치빌Ⅱ,40A㎡,서울시 영등포구 당산동6가,1156011600,216-1,서울시 영등포구 당산로50길 32,37.532856,126.904792,16,0,7,5,249,51,10,(주)엠케이지종합건설,HT001,40.33,31.83,79,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,9,207.0,248.0
3,강변리치빌Ⅱ,41B,서울시 영등포구 당산동6가,1156011600,216-1,서울시 영등포구 당산로50길 32,37.532856,126.904792,16,0,7,5,249,51,10,(주)엠케이지종합건설,HT001,41.21,32.52,79,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,9,207.0,248.0
0,골드라인(도시형),29A㎡,서울시 영등포구 당산동6가,1156011600,335-3,서울시 영등포구 당산로49길 9,37.535596,126.901946,42,0,9,8,317,53,29,소미건설(주),HT001,29.12,25.03,86,1,1,6,계단식,,,,,,,,,,,,,,,,"5,000/100",,"5,000/100",서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173,160,20230531,4,25,3,3,3,2,3,3,56,64,53,43,58,,1,5,17,333,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,459,516141000,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,13,54.0,55.0
1,골드라인(도시형),29B㎡,서울시 영등포구 당산동6가,1156011600,335-3,서울시 영등포구 당산로49길 9,37.535596,126.901946,42,0,9,8,317,53,29,소미건설(주),HT001,29.23,25.12,86,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173,160,20230531,4,25,3,3,3,2,3,3,56,64,53,43,58,,1,5,17,333,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,459,516141000,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,13,54.0,55.0
2,골드라인(도시형),31A㎡,서울시 영등포구 당산동6가,1156011600,335-3,서울시 영등포구 당산로49길 9,37.535596,126.901946,42,0,9,8,317,53,29,소미건설(주),HT001,31.52,27.09,86,1,1,12,계단식,,,,,,,,,,,,,"2억 7,000","2억 7,510",,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173,160,20230531,4,25,3,3,3,2,3,3,56,64,53,43,58,,1,5,17,333,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,459,516141000,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,13,54.0,55.0
3,골드라인(도시형),31C㎡,서울시 영등포구 당산동6가,1156011600,335-3,서울시 영등포구 당산로49길 9,37.535596,126.901946,42,0,9,8,317,53,29,소미건설(주),HT001,31.38,26.97,86,1,1,6,계단식,,,,,,,,,,,,"3억 4,000",,,,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173,160,20230531,4,25,3,3,3,2,3,3,56,64,53,43,58,,1,5,17,333,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,459,516141000,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,13,54.0,55.0
4,골드라인(도시형),32B,서울시 영등포구 당산동6가,1156011600,335-3,서울시 영등포구 당산로49길 9,37.535596,126.901946,42,0,9,8,317,53,29,소미건설(주),HT001,32.34,27.8,86,1,1,12,계단식,,,,,,,,,,,,,,"2억 7,000",,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173,160,20230531,4,25,3,3,3,2,3,3,56,64,53,43,58,,1,5,17,333,1,3,0,0,20230531,5,,0,0.0,20230531,직영,3550,459,516141000,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,13,54.0,55.0
0,금광찬빌(도시형),22A㎡,서울시 영등포구 당산동6가,1156011600,237-12,서울시 영등포구 당산로46가길 4,37.533662,126.903892,18,0,5,4,198,59,8,인석디앤씨(주),HT001,22.21,15.64,70,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
1,금광찬빌(도시형),23B㎡,서울시 영등포구 당산동6가,1156011600,237-12,서울시 영등포구 당산로46가길 4,37.533662,126.903892,18,0,5,4,198,59,8,인석디앤씨(주),HT001,23.18,16.32,70,1,1,12,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
2,금광찬빌(도시형),45,서울시 영등포구 당산동6가,1156011600,237-12,서울시 영등포구 당산로46가길 4,37.533662,126.903892,18,0,5,4,198,59,8,인석디앤씨(주),HT001,45.68,32.16,70,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울당서초등학교,B100001210,서울특별시 영등포구 당산동5가 5-3,공립,단설,19840730,서울특별시교육청,http://dangseo.sen.es.kr,20230531,20.8,25.3,613,626,20230531,8,71,9,8,8,8,8,8,203,213,207,201,208,,0,0,49,1239,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3417,1253,2035622000,37.53166781,126.89945253,1156011500,서울시,19.8,17.4,영등포구,19.6,16.9,8,207.0,248.0
0,"다빈치(민간임대,도시형)",19㎡,서울시 영등포구 당산동6가,1156011600,3-5,서울시 영등포구 양평로 8,37.532557,126.905196,21,21,13,11,532,59,12,(주)한양종합건설,HT001,19.52,13.37,68,1,1,11,복도식,,,,,,,,,,,,,,,,"1억 1,000/69",,"1억 1,000/69",서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,12,69.0,163.0
