,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,디아인스,32A㎡,서울시 영등포구 문래동3가,1156012100,82-10,서울시 영등포구 문래북로 58-7,37.520178,126.891729,14,0,8,7,246,43,9,하나그린건설(주),HT001,32.15,26.53,83,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,4,179.0,230.0,
1,디아인스,33C㎡,서울시 영등포구 문래동3가,1156012100,82-10,서울시 영등포구 문래북로 58-7,37.520178,126.891729,14,0,8,7,246,43,9,하나그린건설(주),HT001,33.58,27.71,83,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,4,179.0,230.0,
2,디아인스,33B,서울시 영등포구 문래동3가,1156012100,82-10,서울시 영등포구 문래북로 58-7,37.520178,126.891729,14,0,8,7,246,43,9,하나그린건설(주),HT001,33.07,27.3,83,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,4,179.0,230.0,
0,문래건영,76㎡,서울시 영등포구 문래동3가,1156012100,93-1,서울시 영등포구 문래로 94-7,37.51838,126.89234,141,0,16,9,292,27,143,(주)건영,HT001,76.93,59.4,77,3,1,69,복도식,232720,568160,46540,288900,0,0,0,,,,8억,9억,,"4억 7,000",,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,3,179.0,230.0,
1,문래건영,100㎡,서울시 영등포구 문래동3가,1156012100,93-1,서울시 영등포구 문래로 94-7,37.51838,126.89234,141,0,16,9,292,27,143,(주)건영,HT001,100.65,84.87,84,3,2,31,계단식,345360,782180,69070,367750,0,0,0,,,,,,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,3,179.0,230.0,
2,문래건영,109㎡,서울시 영등포구 문래동3가,1156012100,93-1,서울시 영등포구 문래로 94-7,37.51838,126.89234,141,0,16,9,292,27,143,(주)건영,HT001,109.8,84.78,77,3,2,9,계단식,332160,757100,66430,358510,0,0,0,,,,,,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,3,179.0,230.0,
3,문래건영,130,서울시 영등포구 문래동3가,1156012100,93-1,서울시 영등포구 문래로 94-7,37.51838,126.89234,141,0,16,9,292,27,143,(주)건영,HT001,130.83,114.72,88,4,2,32,계단식,372600,833940,74520,386820,0,0,0,,,,"12억 5,000",13억,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,3,179.0,230.0,
0,문래공원한신,80㎡,서울시 영등포구 문래동3가,1156012100,77-2,서울시 영등포구 문래로20길 14,37.517623,126.892851,367,0,15,13,234,19,246,한신공영(주),HT001,80.24,58.96,73,2,1,225,복도식,267920,635040,53580,313540,0,0,0,,146733,153299,"8억 5,000",9억,"4억 1,000","4억 5,000","5,000/120","2억 5,000/100","5,000/120","2억 5,000/100",서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,1,179.0,230.0,
1,문래공원한신,96㎡,서울시 영등포구 문래동3가,1156012100,77-2,서울시 영등포구 문래로20길 14,37.517623,126.892851,367,0,15,13,234,19,246,한신공영(주),HT001,96.78,79.46,82,3,2,127,계단식,363600,816840,72720,380520,0,0,0,,197751,206600,"10억 8,000","12억 2,000",,"5억 5,000",,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,1,179.0,230.0,
2,문래공원한신,102,서울시 영등포구 문래동3가,1156012100,77-2,서울시 영등포구 문래로20길 14,37.517623,126.892851,367,0,15,13,234,19,246,한신공영(주),HT001,102.27,83.96,82,3,2,15,계단식,369000,827100,73800,384300,0,0,0,,208950,218300,12억,"12억 5,000",,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,1,179.0,230.0,
