,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,삼성래미안,76㎡,서울시 영등포구 양평동2가,1156012600,38-1,서울시 영등포구 영등포로3길 9,37.524753,126.882632,388,0,22,20,361,24,401,삼성물산(주)건설부문,HT001,76.5,59.4,78,3,1,86,복도식,234480,571500,46890,290130,0,0,0,,142831,146453,"8억 5,000",9억,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,11,94.0,115.0
1,삼성래미안,82㎡,서울시 영등포구 양평동2가,1156012600,38-1,서울시 영등포구 영등포로3길 9,37.524753,126.882632,388,0,22,20,361,24,401,삼성물산(주)건설부문,HT001,82.29,59.4,72,3,1,88,복합식,234480,571500,46890,290130,0,0,0,,142831,146453,"8억 5,000",9억,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,11,94.0,115.0
2,삼성래미안,109㎡,서울시 영등포구 양평동2가,1156012600,38-1,서울시 영등포구 영등포로3길 9,37.524753,126.882632,388,0,22,20,361,24,401,삼성물산(주)건설부문,HT001,109.07,84.69,78,3,2,130,계단식,299600,695240,59920,335720,0,0,0,,203643,208806,"10억 5,000","11억 5,000",,,,"1억 8,000/180",,"1억 8,000/180",서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,11,94.0,115.0
3,삼성래미안,141,서울시 영등포구 양평동2가,1156012600,38-1,서울시 영등포구 영등포로3길 9,37.524753,126.882632,388,0,22,20,361,24,401,삼성물산(주)건설부문,HT001,141.56,114.63,81,4,2,84,계단식,382500,852750,76500,393750,0,0,0,,275636,282624,,13억,,6억,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,11,94.0,115.0
0,상록수,76B㎡,서울시 영등포구 양평동2가,1156012600,45,서울시 영등포구 영등포로 17,37.523797,126.883427,176,70,20,8,384,29,48,(주)건영,HT001,76.86,59.67,78,3,1,57,복도식,,,,,,,,,172186,170748,,"5억 6,000",,"3억 3,000",,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,12,94.0,115.0
1,상록수,76A㎡,서울시 영등포구 양평동2가,1156012600,45,서울시 영등포구 영등포로 17,37.523797,126.883427,176,70,20,8,384,29,48,(주)건영,HT001,76.69,59.54,78,3,1,11,계단식,,,,,,,,,171811,170376,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,12,94.0,115.0
2,상록수,77C,서울시 영등포구 양평동2가,1156012600,45,서울시 영등포구 영등포로 17,37.523797,126.883427,176,70,20,8,384,29,48,(주)건영,HT001,77.27,59.99,78,3,1,38,계단식,,,,,,,,,173110,171664,"5억 8,000","6억 5,000",,,,"5,000/130",,"5,000/130",서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,12,94.0,115.0
0,양평,57㎡,서울시 영등포구 양평동2가,1156012600,30-5,서울시 영등포구 선유서로 91,37.523997,126.885562,12,0,7,7,249,45,10,,HT001,57.14,48.66,85,2,1,1,계단식,73630,233430,14720,145080,0,0,0,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,8,94.0,115.0
1,양평,64㎡,서울시 영등포구 양평동2가,1156012600,30-5,서울시 영등포구 선유서로 91,37.523997,126.885562,12,0,7,7,249,45,10,,HT001,64.43,54.87,85,3,1,6,계단식,98570,298270,19710,179990,0,0,0,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,8,94.0,115.0
2,양평,65,서울시 영등포구 양평동2가,1156012600,30-5,서울시 영등포구 선유서로 91,37.523997,126.885562,12,0,7,7,249,45,10,,HT001,65.21,55.53,85,3,1,5,계단식,98570,298270,19710,179990,0,0,0,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,8,94.0,115.0
