,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,거성파스텔,80㎡,서울시 영등포구 양평동3가,1156012700,90-1,서울시 영등포구 선유로43가길 24,37.531536,126.891967,532,0,23,16,365,24,693,(주)거성주택,HT001,80.54,59.96,74,3,2,111,계단식,253840,608280,50760,303680,0,0,0,,150891,155463,"8억 8,000",9억,,,,,,,서울선유초등학교,B100005372,서울특별시 영등포구 양평동3가 91,공립,단설,20070301,서울특별시교육청,http://seonyu.sen.es.kr,20230531,15.5,19.6,163,171,20230531,5,23,2,4,2,3,3,3,46,72,43,59,62,,0,0,17,334,1,3,0,0,20230531,4,,0,0.0,20230531,직영,3550,442,656859000,37.53264932,126.8926493,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,52.0,132.0,
1,거성파스텔,92㎡,서울시 영등포구 양평동3가,1156012700,90-1,서울시 영등포구 선유로43가길 24,37.531536,126.891967,532,0,23,16,365,24,693,(주)거성주택,HT001,92.74,71.1,77,3,2,23,계단식,262640,625000,52520,309840,0,0,0,,178924,184347,,"9억 5,000",,,,,,,서울선유초등학교,B100005372,서울특별시 영등포구 양평동3가 91,공립,단설,20070301,서울특별시교육청,http://seonyu.sen.es.kr,20230531,15.5,19.6,163,171,20230531,5,23,2,4,2,3,3,3,46,72,43,59,62,,0,0,17,334,1,3,0,0,20230531,4,,0,0.0,20230531,직영,3550,442,656859000,37.53264932,126.8926493,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,52.0,132.0,
2,거성파스텔,107㎡,서울시 영등포구 양평동3가,1156012700,90-1,서울시 영등포구 선유로43가길 24,37.531536,126.891967,532,0,23,16,365,24,693,(주)거성주택,HT001,107.99,84.99,79,3,2,260,계단식,394200,874980,78840,401940,0,0,0,,213879,220361,"10억 3,000",13억,"5억 5,000",6억,,,,,서울선유초등학교,B100005372,서울특별시 영등포구 양평동3가 91,공립,단설,20070301,서울특별시교육청,http://seonyu.sen.es.kr,20230531,15.5,19.6,163,171,20230531,5,23,2,4,2,3,3,3,46,72,43,59,62,,0,0,17,334,1,3,0,0,20230531,4,,0,0.0,20230531,직영,3550,442,656859000,37.53264932,126.8926493,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,52.0,132.0,
3,거성파스텔,158,서울시 영등포구 양평동3가,1156012700,90-1,서울시 영등포구 선유로43가길 24,37.531536,126.891967,532,0,23,16,365,24,693,(주)거성주택,HT001,158.82,131.34,83,4,2,138,계단식,515020,1076030,103000,458010,0,0,0,,330520,340536,"11억 5,000","12억 6,000",8억,"8억 5,000",,,,,서울선유초등학교,B100005372,서울특별시 영등포구 양평동3가 91,공립,단설,20070301,서울특별시교육청,http://seonyu.sen.es.kr,20230531,15.5,19.6,163,171,20230531,5,23,2,4,2,3,3,3,46,72,43,59,62,,0,0,17,334,1,3,0,0,20230531,4,,0,0.0,20230531,직영,3550,442,656859000,37.53264932,126.8926493,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,52.0,132.0,
0,경남아너스빌,81㎡,서울시 영등포구 양평동3가,1156012700,55-1,서울시 영등포구 선유로33길 22,37.527376,126.888442,179,0,18,17,399,31,187,경남기업(주),HT001,81.69,59.9,73,3,1,108,복도식,179920,467840,35980,251940,0,0,0,,145614,146909,"7억 2,000","7억 5,000",,"4억 7,000",,"5,000/140",,"5,000/140",서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,94.0,115.0,
1,경남아너스빌,108,서울시 영등포구 양평동3가,1156012700,55-1,서울시 영등포구 선유로33길 22,37.527376,126.888442,179,0,18,17,399,31,187,경남기업(주),HT001,108.11,84.92,79,3,2,71,계단식,290800,678520,58160,329560,0,0,0,,206436,208272,"9억 1,500",10억,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,94.0,115.0,
0,그랜드타워(주상복합),20C㎡,서울시 영등포구 양평동3가,1156012700,37-1,서울시 영등포구 양산로9길 15,37.526779,126.888573,14,0,11,11,409,53,7,(주)라온종합건설,HT001,20.06,15.8,79,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,94.0,115.0,
1,그랜드타워(주상복합),20A㎡,서울시 영등포구 양평동3가,1156012700,37-1,서울시 영등포구 양산로9길 15,37.526779,126.888573,14,0,11,11,409,53,7,(주)라온종합건설,HT001,20.46,16.1,79,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,94.0,115.0,
2,그랜드타워(주상복합),20B㎡,서울시 영등포구 양평동3가,1156012700,37-1,서울시 영등포구 양산로9길 15,37.526779,126.888573,14,0,11,11,409,53,7,(주)라온종합건설,HT001,20.7,16.3,79,1,1,2,계단식,,,,,,,,,,,,,,"3억 4,000",,2억/64,,2억/64,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,94.0,115.0,
3,그랜드타워(주상복합),21D㎡,서울시 영등포구 양평동3가,1156012700,37-1,서울시 영등포구 양산로9길 15,37.526779,126.888573,14,0,11,11,409,53,7,(주)라온종합건설,HT001,21.19,16.68,79,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,2,94.0,115.0,
