,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,건덕,121㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,121.14,121.14,100,3,2,1,계단식,661200,1245360,132240,451920,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
1,건덕,134A㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,134.61,117.2,87,3,2,2,계단식,603600,1156080,120720,431760,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
2,건덕,136B㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,136.6,136.6,100,3,2,2,계단식,1018800,1799640,203760,577080,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
3,건덕,136C㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,136.64,136.64,100,3,2,2,계단식,1018800,1799640,203760,577080,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
4,건덕,149㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,149.49,149.49,100,3,2,1,계단식,920400,1647120,184080,542640,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
5,건덕,193㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,193.3,182.5,94,4,2,2,계단식,1045200,1840560,209040,586320,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
6,건덕,196㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,196.79,185.79,94,4,2,2,계단식,1074000,1885200,214800,596400,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
7,건덕,202㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,202.01,202.01,100,4,2,2,계단식,1470000,2499000,294000,735000,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
8,건덕,206㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,206.28,206.28,100,4,2,2,계단식,1470000,2499000,294000,735000,0,0,0,,,,,22억,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
9,건덕,208A㎡,서울시 종로구 구기동,1111018200,160-3,서울시 종로구 비봉4길 40,37.613112,126.957771,78,0,3,3,0,0,0,,HT001,208.6,196.94,94,4,2,2,계단식,1165200,2026560,233040,628320,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,20,124.0,175.0,
