,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,경희궁의아침2단지(주상복합),143㎡,서울시 종로구 내수동,1111011800,71,서울시 종로구 사직로8길 24,37.573924,126.971025,90,0,16,16,658,53,73,쌍용건설(주),HT001,143.36,124.17,87,3,2,30,계단식,1400400,2391120,280080,710640,0,0,0,,,,19억,"19억 5,000",,,,,,,서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,14,54.0,77.0
1,경희궁의아침2단지(주상복합),162A㎡,서울시 종로구 내수동,1111011800,71,서울시 종로구 사직로8길 24,37.573924,126.971025,90,0,16,16,658,53,73,쌍용건설(주),HT001,162.53,140.78,87,3,2,15,계단식,1521000,2578050,304200,752850,0,0,0,,,,,20억,,,,,,,서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,14,54.0,77.0
2,경희궁의아침2단지(주상복합),162B㎡,서울시 종로구 내수동,1111011800,71,서울시 종로구 사직로8길 24,37.573924,126.971025,90,0,16,16,658,53,73,쌍용건설(주),HT001,162.53,140.78,87,4,2,15,계단식,1521000,2578050,304200,752850,0,0,0,,,,,20억,,,,,,,서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,14,54.0,77.0
3,경희궁의아침2단지(주상복합),201,서울시 종로구 내수동,1111011800,71,서울시 종로구 사직로8길 24,37.573924,126.971025,90,0,16,16,658,53,73,쌍용건설(주),HT001,201.52,174.55,87,5,2,30,계단식,1828800,3055140,365760,860580,382460,318720,63740,,,,,,,,,"1,200/600",,"1,200/600",서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,14,54.0,77.0
0,경희궁의아침3단지(주상복합),141㎡,서울시 종로구 내수동,1111011800,72,서울시 종로구 사직로8길 34,37.573599,126.971957,150,0,16,16,590,47,128,쌍용건설(주),HT001,141.61,123.13,87,4,2,15,계단식,1396800,2385540,279360,709380,0,0,0,,475109,506568,,,,12억,,,,,서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,12,54.0,77.0
1,경희궁의아침3단지(주상복합),142㎡,서울시 종로구 내수동,1111011800,72,서울시 종로구 사직로8길 34,37.573599,126.971957,150,0,16,16,590,47,128,쌍용건설(주),HT001,142.81,124.17,87,3,2,15,계단식,1396800,2385540,279360,709380,0,0,0,,479122,510847,,,,,,,,,서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,12,54.0,77.0
2,경희궁의아침3단지(주상복합),171㎡,서울시 종로구 내수동,1111011800,72,서울시 종로구 사직로8길 34,37.573599,126.971957,150,0,16,16,590,47,128,쌍용건설(주),HT001,171.37,149,87,5,2,30,계단식,1537200,2603160,307440,758520,9210,7680,1530,,574931,612999,"20억 8,000",21억,,,,,,,서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,12,54.0,77.0
3,경희궁의아침3단지(주상복합),173㎡,서울시 종로구 내수동,1111011800,72,서울시 종로구 사직로8길 34,37.573599,126.971957,150,0,16,16,590,47,128,쌍용건설(주),HT001,173.07,150.48,87,5,2,60,계단식,1537200,2603160,307440,758520,9210,7680,1530,,580642,619088,21억,22억,,,,1억/550,,1억/550,서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,12,54.0,77.0
4,경희궁의아침3단지(주상복합),200,서울시 종로구 내수동,1111011800,72,서울시 종로구 사직로8길 34,37.573599,126.971957,150,0,16,16,590,47,128,쌍용건설(주),HT001,200.75,174.55,87,5,2,30,계단식,1828800,3055140,365760,860580,382460,318720,63740,,673519,718114,,,,,,,,,서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,12,54.0,77.0
0,경희궁의아침4단지(주상복합),145㎡,서울시 종로구 내수동,1111011800,73,서울시 종로구 새문안로3길 23,37.572707,126.972004,120,0,16,16,637,55,128,쌍용건설(주),HT001,145.02,124.17,86,4,2,75,계단식,,,,,,,,,,,,,,,,,,,서울덕수초등학교,B100002375,서울특별시 중구 정동 1-76번지,혁신,병설,19120401,서울특별시교육청,http://deoksoo.sen.es.kr,20230531,16.9,20.7,237,219,20230531,3,38,4,4,3,4,3,3,81,88,73,87,70,,1,3,21,456,2,4,0,0,20230531,2,,0,0.0,20230531,직영,3427,511,643865000,37.5685479,126.97454965,1114016700,서울시,19.8,17.4,중구,17.9,14.8,10,54.0,77.0
