,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,J노블하우스,196㎡,서울시 중구 신당동,1114016200,407-17,서울시 중구 동호로20길 16,37.558812,127.00873,9,0,7,5,276,55,25,(주)파라다이스건설산업,HT001,196.79,172.34,88,4,2,1,계단식,1339200,2296260,267840,689220,0,0,0,,,,,,,,,,,,서울장충초등학교,B100002390,서울특별시 중구 신당동 386,공립,단설,19531021,서울특별시교육청,http://jangchung.sen.es.kr,20230531,14.6,16.8,183,169,20230531,3,32,4,3,3,3,3,3,72,59,44,42,66,,2,6,19,352,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3590,524,691947000,37.5594969,127.01118213,1114016200,서울시,19.8,17.4,중구,17.9,14.8,5,63.0,201.0
1,J노블하우스,206㎡,서울시 중구 신당동,1114016200,407-17,서울시 중구 동호로20길 16,37.558812,127.00873,9,0,7,5,276,55,25,(주)파라다이스건설산업,HT001,206.39,181.12,88,4,2,5,계단식,1413000,2410650,282600,715050,0,0,0,,,,,,,,,,,,서울장충초등학교,B100002390,서울특별시 중구 신당동 386,공립,단설,19531021,서울특별시교육청,http://jangchung.sen.es.kr,20230531,14.6,16.8,183,169,20230531,3,32,4,3,3,3,3,3,72,59,44,42,66,,2,6,19,352,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3590,524,691947000,37.5594969,127.01118213,1114016200,서울시,19.8,17.4,중구,17.9,14.8,5,63.0,201.0
2,J노블하우스,274㎡,서울시 중구 신당동,1114016200,407-17,서울시 중구 동호로20길 16,37.558812,127.00873,9,0,7,5,276,55,25,(주)파라다이스건설산업,HT001,274,244.48,89,6,3,1,계단식,1945800,3236490,389160,901530,532220,443520,88700,,,,,,,,,,,,서울장충초등학교,B100002390,서울특별시 중구 신당동 386,공립,단설,19531021,서울특별시교육청,http://jangchung.sen.es.kr,20230531,14.6,16.8,183,169,20230531,3,32,4,3,3,3,3,3,72,59,44,42,66,,2,6,19,352,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3590,524,691947000,37.5594969,127.01118213,1114016200,서울시,19.8,17.4,중구,17.9,14.8,5,63.0,201.0
3,J노블하우스,302,서울시 중구 신당동,1114016200,407-17,서울시 중구 동호로20길 16,37.558812,127.00873,9,0,7,5,276,55,25,(주)파라다이스건설산업,HT001,302.91,273.82,90,7,3,2,계단식,2417400,3967470,483480,1066590,1135870,946560,189310,,,,,,,,,,,,서울장충초등학교,B100002390,서울특별시 중구 신당동 386,공립,단설,19531021,서울특별시교육청,http://jangchung.sen.es.kr,20230531,14.6,16.8,183,169,20230531,3,32,4,3,3,3,3,3,72,59,44,42,66,,2,6,19,352,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3590,524,691947000,37.5594969,127.01118213,1114016200,서울시,19.8,17.4,중구,17.9,14.8,5,63.0,201.0
0,그린빌,68A㎡,서울시 중구 신당동,1114016200,122-1,서울시 중구 다산로42길 34,37.56443,127.018077,28,0,6,5,278,59,28,토담토건(주),HT001,68.37,61.49,90,3,1,3,계단식,102000,307200,20400,184800,0,0,0,,,,,,,,,,,,서울흥인초등학교,B100002402,서울특별시 중구 신당동 292-66,혁신,단설,19461114,서울특별시교육청,http://heungin.sen.es.kr,20230531,14.8,19.5,189,181,20230531,7,28,3,3,3,3,3,3,74,53,54,71,48,,1,6,18,370,3,1,0,0,20230531,26,,0,0.0,20230531,직영,3530,393,485445000,37.5609009,127.0145753,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,64.0,267.0
1,그린빌,68B㎡,서울시 중구 신당동,1114016200,122-1,서울시 중구 다산로42길 34,37.56443,127.018077,28,0,6,5,278,59,28,토담토건(주),HT001,68.78,61.86,90,3,1,1,계단식,98570,298270,19710,179990,0,0,0,,,,,,,,,,,,서울흥인초등학교,B100002402,서울특별시 중구 신당동 292-66,혁신,단설,19461114,서울특별시교육청,http://heungin.sen.es.kr,20230531,14.8,19.5,189,181,20230531,7,28,3,3,3,3,3,3,74,53,54,71,48,,1,6,18,370,3,1,0,0,20230531,26,,0,0.0,20230531,직영,3530,393,485445000,37.5609009,127.0145753,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,64.0,267.0
2,그린빌,68C㎡,서울시 중구 신당동,1114016200,122-1,서울시 중구 다산로42길 34,37.56443,127.018077,28,0,6,5,278,59,28,토담토건(주),HT001,68.95,62.15,90,3,1,1,계단식,102000,307200,20400,184800,0,0,0,,,,,,,,,,,,서울흥인초등학교,B100002402,서울특별시 중구 신당동 292-66,혁신,단설,19461114,서울특별시교육청,http://heungin.sen.es.kr,20230531,14.8,19.5,189,181,20230531,7,28,3,3,3,3,3,3,74,53,54,71,48,,1,6,18,370,3,1,0,0,20230531,26,,0,0.0,20230531,직영,3530,393,485445000,37.5609009,127.0145753,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,64.0,267.0
3,그린빌,70D㎡,서울시 중구 신당동,1114016200,122-1,서울시 중구 다산로42길 34,37.56443,127.018077,28,0,6,5,278,59,28,토담토건(주),HT001,70.78,63.8,90,3,1,3,계단식,109040,325490,21800,194650,0,0,0,,,,,,,,,,,,서울흥인초등학교,B100002402,서울특별시 중구 신당동 292-66,혁신,단설,19461114,서울특별시교육청,http://heungin.sen.es.kr,20230531,14.8,19.5,189,181,20230531,7,28,3,3,3,3,3,3,74,53,54,71,48,,1,6,18,370,3,1,0,0,20230531,26,,0,0.0,20230531,직영,3530,393,485445000,37.5609009,127.0145753,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,64.0,267.0
4,그린빌,70E㎡,서울시 중구 신당동,1114016200,122-1,서울시 중구 다산로42길 34,37.56443,127.018077,28,0,6,5,278,59,28,토담토건(주),HT001,70.98,63.84,90,3,1,1,계단식,105960,317490,21190,190340,0,0,0,,,,,,,,,,,,서울흥인초등학교,B100002402,서울특별시 중구 신당동 292-66,혁신,단설,19461114,서울특별시교육청,http://heungin.sen.es.kr,20230531,14.8,19.5,189,181,20230531,7,28,3,3,3,3,3,3,74,53,54,71,48,,1,6,18,370,3,1,0,0,20230531,26,,0,0.0,20230531,직영,3530,393,485445000,37.5609009,127.0145753,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,64.0,267.0
5,그린빌,72㎡,서울시 중구 신당동,1114016200,122-1,서울시 중구 다산로42길 34,37.56443,127.018077,28,0,6,5,278,59,28,토담토건(주),HT001,72.05,64.94,90,3,1,1,계단식,107720,322060,21540,192800,0,0,0,,,,,,,,,,,,서울흥인초등학교,B100002402,서울특별시 중구 신당동 292-66,혁신,단설,19461114,서울특별시교육청,http://heungin.sen.es.kr,20230531,14.8,19.5,189,181,20230531,7,28,3,3,3,3,3,3,74,53,54,71,48,,1,6,18,370,3,1,0,0,20230531,26,,0,0.0,20230531,직영,3530,393,485445000,37.5609009,127.0145753,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,64.0,267.0
6,그린빌,75A㎡,서울시 중구 신당동,1114016200,122-1,서울시 중구 다산로42길 34,37.56443,127.018077,28,0,6,5,278,59,28,토담토건(주),HT001,75.94,68.45,90,3,1,1,계단식,116960,346090,23390,205740,0,0,0,,,,,,,,,,,,서울흥인초등학교,B100002402,서울특별시 중구 신당동 292-66,혁신,단설,19461114,서울특별시교육청,http://heungin.sen.es.kr,20230531,14.8,19.5,189,181,20230531,7,28,3,3,3,3,3,3,74,53,54,71,48,,1,6,18,370,3,1,0,0,20230531,26,,0,0.0,20230531,직영,3530,393,485445000,37.5609009,127.0145753,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,64.0,267.0
7,그린빌,76B㎡,서울시 중구 신당동,1114016200,122-1,서울시 중구 다산로42길 34,37.56443,127.018077,28,0,6,5,278,59,28,토담토건(주),HT001,76.77,69.2,90,3,1,3,계단식,121840,357480,24360,211280,0,0,0,,,,,,,,,,,,서울흥인초등학교,B100002402,서울특별시 중구 신당동 292-66,혁신,단설,19461114,서울특별시교육청,http://heungin.sen.es.kr,20230531,14.8,19.5,189,181,20230531,7,28,3,3,3,3,3,3,74,53,54,71,48,,1,6,18,370,3,1,0,0,20230531,26,,0,0.0,20230531,직영,3530,393,485445000,37.5609009,127.0145753,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,64.0,267.0
8,그린빌,80A㎡,서울시 중구 신당동,1114016200,122-1,서울시 중구 다산로42길 34,37.56443,127.018077,28,0,6,5,278,59,28,토담토건(주),HT001,80.08,72.02,90,3,1,1,계단식,126240,365840,25240,214360,0,0,0,,,,,,,,,,,,서울흥인초등학교,B100002402,서울특별시 중구 신당동 292-66,혁신,단설,19461114,서울특별시교육청,http://heungin.sen.es.kr,20230531,14.8,19.5,189,181,20230531,7,28,3,3,3,3,3,3,74,53,54,71,48,,1,6,18,370,3,1,0,0,20230531,26,,0,0.0,20230531,직영,3530,393,485445000,37.5609009,127.0145753,1114016200,서울시,19.8,17.4,중구,17.9,14.8,11,64.0,267.0
