,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,장충,28㎡,서울시 중구 장충동2가,1114014400,193-29,서울시 중구 동호로25길 36,37.55925,127.0017,49,0,7,4,0,0,0,,HT001,28.89,28.69,99,2,1,1,복도식,12380,49520,2470,34670,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,6,33.0,114.0
1,장충,31㎡,서울시 중구 장충동2가,1114014400,193-29,서울시 중구 동호로25길 36,37.55925,127.0017,49,0,7,4,0,0,0,,HT001,31.44,31.24,99,2,1,41,복도식,13760,55030,2750,38520,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,6,33.0,114.0
2,장충,62,서울시 중구 장충동2가,1114014400,193-29,서울시 중구 동호로25길 36,37.55925,127.0017,49,0,7,4,0,0,0,,HT001,62.68,62.48,100,3,1,7,복도식,24290,97160,4850,68020,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,6,33.0,114.0
0,"파크원빌(민간임대,도시형)",15A㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,15.68,11.83,75,1,1,1,계단식,10750,43000,2150,30100,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
1,"파크원빌(민간임대,도시형)",15B㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,15.91,12,75,1,1,1,계단식,10750,43000,2150,30100,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
2,"파크원빌(민간임대,도시형)",17C㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,17.64,13.31,75,1,1,1,계단식,12060,48240,2410,33770,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
3,"파크원빌(민간임대,도시형)",18A㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,18.79,12.31,66,1,1,1,계단식,18330,73340,3660,51350,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
4,"파크원빌(민간임대,도시형)",19B㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,19.25,12.61,66,1,1,1,계단식,18740,74970,3740,52490,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
5,"파크원빌(민간임대,도시형)",19H㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,19.37,14.61,75,1,1,1,계단식,13170,52700,2630,36900,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
6,"파크원빌(민간임대,도시형)",20D㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,20.62,13.51,66,1,1,38,계단식,20030,80130,4000,56100,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
7,"파크원빌(민간임대,도시형)",20C㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,20.03,13.12,66,1,1,14,계단식,19620,78500,3920,54960,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
8,"파크원빌(민간임대,도시형)",20E㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,20.7,13.56,66,1,1,1,계단식,20180,80730,4030,56520,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
9,"파크원빌(민간임대,도시형)",21B㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,21.8,14.28,66,1,1,7,계단식,21090,84350,4210,59050,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
10,"파크원빌(민간임대,도시형)",21A㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,21.71,14.22,65,1,1,6,계단식,21090,84350,4210,59050,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
11,"파크원빌(민간임대,도시형)",21F㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,21.05,13.79,66,1,1,1,계단식,20460,81860,4090,57310,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
12,"파크원빌(민간임대,도시형)",21G㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,21.46,14.06,66,1,1,1,계단식,20870,83490,4170,58450,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
13,"파크원빌(민간임대,도시형)",21I㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,21,15.84,75,1,1,1,계단식,14530,58120,2900,40690,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
14,"파크원빌(민간임대,도시형)",27㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,27.6,18.08,66,1,1,1,계단식,26010,104050,5200,72840,0,0,0,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,11,33.0,114.0
