,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,리하우스(민간임대),43㎡,서울시 중구 중림동,1114017100,1153,서울시 중구 서소문로6길 21,37.560004,126.966369,98,98,10,5,0,0,86,씨제이건설(주),HT001,43.85,30.35,69,1,1,5,복도식,44820,158520,8960,104740,0,0,0,,,,,,,,,1억/56,,1억/56,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,13,54.0,225.0
1,리하우스(민간임대),48A㎡,서울시 중구 중림동,1114017100,1153,서울시 중구 서소문로6길 21,37.560004,126.966369,98,98,10,5,0,0,86,씨제이건설(주),HT001,48.86,33.99,70,1,1,14,복도식,53420,180880,10680,116780,0,0,0,,,,,,,,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,13,54.0,225.0
2,리하우스(민간임대),49B㎡,서울시 중구 중림동,1114017100,1153,서울시 중구 서소문로6길 21,37.560004,126.966369,98,98,10,5,0,0,86,씨제이건설(주),HT001,49.69,34.67,70,1,1,2,복도식,53420,180880,10680,116780,0,0,0,,,,,,,,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,13,54.0,225.0
3,리하우스(민간임대),57㎡,서울시 중구 중림동,1114017100,1153,서울시 중구 서소문로6길 21,37.560004,126.966369,98,98,10,5,0,0,86,씨제이건설(주),HT001,57.46,40.23,70,1,1,5,복도식,65030,211070,13000,133040,0,0,0,,,,,,,,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,13,54.0,225.0
4,리하우스(민간임대),61㎡,서울시 중구 중림동,1114017100,1153,서울시 중구 서소문로6길 21,37.560004,126.966369,98,98,10,5,0,0,86,씨제이건설(주),HT001,61.35,43.05,70,1,1,62,복도식,72770,231190,14550,143870,0,0,0,,,,,,,,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,13,54.0,225.0
5,리하우스(민간임대),71,서울시 중구 중림동,1114017100,1153,서울시 중구 서소문로6길 21,37.560004,126.966369,98,98,10,5,0,0,86,씨제이건설(주),HT001,71.23,49.28,69,1,1,10,복도식,80940,252430,16180,155310,0,0,0,,,,,,,,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,13,54.0,225.0
0,브라운스톤서울(주상복합),103㎡,서울시 중구 중림동,1114017100,355,서울시 중구 청파로 464,37.56087,126.968193,110,0,39,35,960,53,138,이수건설(주),HT001,103.38,84.87,82,2,2,27,복합식,470920,1005470,94180,440370,0,0,0,,,,,"11억 8,000",,,,"5,000/350",,"5,000/350",서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,12,54.0,225.0
1,브라운스톤서울(주상복합),137㎡,서울시 중구 중림동,1114017100,355,서울시 중구 청파로 464,37.56087,126.968193,110,0,39,35,960,53,138,이수건설(주),HT001,137.06,112.52,82,3,2,28,복합식,652050,1295280,130410,512820,0,0,0,,,,,18억,,11억,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,12,54.0,225.0
2,브라운스톤서울(주상복합),143㎡,서울시 중구 중림동,1114017100,355,서울시 중구 청파로 464,37.56087,126.968193,110,0,39,35,960,53,138,이수건설(주),HT001,143.41,117.74,82,3,2,27,복합식,669370,1322990,133870,519750,0,0,0,,,,,16억,,11억,,"5,000/450",,"5,000/450",서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,12,54.0,225.0
3,브라운스톤서울(주상복합),169,서울시 중구 중림동,1114017100,355,서울시 중구 청파로 464,37.56087,126.968193,110,0,39,35,960,53,138,이수건설(주),HT001,169.99,139.56,82,3,2,28,복합식,757570,1464110,151510,555030,0,0,0,,,,20억,21억,11억,12억,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228,194,20230531,5,33,4,4,3,3,4,3,90,73,53,68,74,,2,10,21,422,2,4,0,0,20230531,7,,0,0.0,20230531,직영,3733,422,332128000,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,12,54.0,225.0
