,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,경원,72㎡,서울시 중랑구 신내동,1126010600,449-1,서울시 중랑구 봉화산로56길 73,37.60558,127.09848,80,0,5,5,0,0,0,경원주택,HT001,72.54,55.89,77,2,1,40,계단식,49980,171940,9990,111970,0,0,0,,,,,3억,,,,"5,000/70",,"5,000/70",서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,3,127.0,169.0
1,경원,76,서울시 중랑구 신내동,1126010600,449-1,서울시 중랑구 봉화산로56길 73,37.60558,127.09848,80,0,5,5,0,0,0,경원주택,HT001,76.68,59.4,77,2,1,40,계단식,55140,185350,11020,119190,0,0,0,,,,3억,"3억 3,500",,,,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,3,127.0,169.0
0,광남,51㎡,서울시 중랑구 신내동,1126010600,799,서울시 중랑구 용마산로129길 22,37.60752,127.0999,42,0,8,7,261,47,31,광남건설(주),HT001,51.82,36.47,70,2,1,1,복합식,45250,159650,9050,105350,0,0,0,,,,,,,,,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,5,127.0,169.0
1,광남,53㎡,서울시 중랑구 신내동,1126010600,799,서울시 중랑구 용마산로129길 22,37.60752,127.0999,42,0,8,7,261,47,31,광남건설(주),HT001,53.62,37.74,70,2,1,1,복합식,45250,159650,9050,105350,0,0,0,,,,,3억,,2억,,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,5,127.0,169.0
2,광남,59㎡,서울시 중랑구 신내동,1126010600,799,서울시 중랑구 용마산로129길 22,37.60752,127.0999,42,0,8,7,261,47,31,광남건설(주),HT001,59.04,41.55,70,2,1,2,복합식,50840,174170,10160,113170,0,0,0,,,,,,,,,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,5,127.0,169.0
3,광남,60㎡,서울시 중랑구 신내동,1126010600,799,서울시 중랑구 용마산로129길 22,37.60752,127.0999,42,0,8,7,261,47,31,광남건설(주),HT001,60.57,42.63,70,2,1,1,복합식,51700,176420,10340,114380,0,0,0,,,,,,,,,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,5,127.0,169.0
4,광남,63㎡,서울시 중랑구 신내동,1126010600,799,서울시 중랑구 용마산로129길 22,37.60752,127.0999,42,0,8,7,261,47,31,광남건설(주),HT001,63.15,44.45,70,3,1,23,복합식,56430,188710,11280,121000,0,0,0,,,,"3억 6,000","3억 7,000",,"2억 4,000",,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,5,127.0,169.0
5,광남,70㎡,서울시 중랑구 신내동,1126010600,799,서울시 중랑구 용마산로129길 22,37.60752,127.0999,42,0,8,7,261,47,31,광남건설(주),HT001,70.6,49.69,70,3,1,1,복합식,57720,192060,11540,122800,0,0,0,,,,,,,,,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,5,127.0,169.0
6,광남,71㎡,서울시 중랑구 신내동,1126010600,799,서울시 중랑구 용마산로129길 22,37.60752,127.0999,42,0,8,7,261,47,31,광남건설(주),HT001,71.19,50.11,70,3,2,1,복합식,58580,194300,11710,124010,0,0,0,,,,,,,,,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,5,127.0,169.0
7,광남,75㎡,서울시 중랑구 신내동,1126010600,799,서울시 중랑구 용마산로129길 22,37.60752,127.0999,42,0,8,7,261,47,31,광남건설(주),HT001,75.99,53.48,70,3,1,6,복합식,63740,207710,12740,131230,0,0,0,,,,,"4억 6,000",,,,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,5,127.0,169.0
8,광남,77,서울시 중랑구 신내동,1126010600,799,서울시 중랑구 용마산로129길 22,37.60752,127.0999,42,0,8,7,261,47,31,광남건설(주),HT001,77.21,54.34,70,3,1,6,복합식,63740,207710,12740,131230,0,0,0,,,,,,,,,,,,서울신내초등학교,B100001412,서울특별시 중랑구 신내동 444번지,공립,단설,19940105,서울특별시교육청,http://sinne.sen.es.kr,20230531,20.8,20.5,319,337,20230531,7,44,5,5,4,4,6,6,102,106,88,95,132,,2,6,30,656,3,2,0,0,20230531,14,,0,0.0,20230531,직영,3611,993,733987000,37.60423808,127.09996559,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,5,127.0,169.0
0,다우훼밀리,77㎡,서울시 중랑구 신내동,1126010600,796,서울시 중랑구 송림길 18,37.600548,127.096306,152,0,22,15,359,27,165,(주)다우종합건설,HT001,77.43,59.96,77,3,1,66,복도식,105520,316340,21100,189720,0,0,0,,152060,150718,"4억 7,000","5억 6,000",,"3억 7,000",,,,,서울중화초등학교,B100001428,서울특별시 중랑구 신내동 531,공립,단설,19461107,서울특별시교육청,http://junghwa.sen.es.kr,20230531,22.9,22.9,581,540,20230531,12,63,7,7,7,8,9,9,163,186,166,185,213,,2,10,47,1121,2,4,0,0,20230531,15,,0,0.0,20230531,직영,3347,1504,1218840000,37.6029919,127.0946278,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,7,198.0,223.0
1,다우훼밀리,109㎡,서울시 중랑구 신내동,1126010600,796,서울시 중랑구 송림길 18,37.600548,127.096306,152,0,22,15,359,27,165,(주)다우종합건설,HT001,109.6,84.87,77,3,2,73,계단식,164960,439420,32990,241470,0,0,0,,215232,213333,,"5억 8,000",,,,,,,서울중화초등학교,B100001428,서울특별시 중랑구 신내동 531,공립,단설,19461107,서울특별시교육청,http://junghwa.sen.es.kr,20230531,22.9,22.9,581,540,20230531,12,63,7,7,7,8,9,9,163,186,166,185,213,,2,10,47,1121,2,4,0,0,20230531,15,,0,0.0,20230531,직영,3347,1504,1218840000,37.6029919,127.0946278,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,7,198.0,223.0
