,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,강남LH1단지(e편한세상),81A㎡,서울시 강남구 세곡동,1168011100,579,서울시 강남구 헌릉로571길 20,37.466828,127.102801,809,0,15,10,173,19,998,대림건설,HT005,81.87,59.89,73,3,2,197,계단식,666220,1317950,133240,518490,0,0,0,,286610,210191,"11억 9,000","13억 5,000",,"5억 8,000",,,,,서울세명초등학교,B100005832,서울특별시 강남구 세곡동 464-9,혁신,단설,20120830,서울특별시교육청,http://semyung.sen.es.kr,20230531,22.9,20.5,432,448,20230531,6,59,5,6,6,7,9,8,98,118,123,153,206,,2,7,41,880,2,4,0,0,20230531,14,,0,0.0,20230531,직영,3347,1146,1055605000,37.46860155,127.09099452,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,16,175.0,190.0
1,강남LH1단지(e편한세상),81C㎡,서울시 강남구 세곡동,1168011100,579,서울시 강남구 헌릉로571길 20,37.466828,127.102801,809,0,15,10,173,19,998,대림건설,HT005,81.83,59.86,73,3,2,35,계단식,666220,1317950,133240,518490,0,0,0,,286467,210086,,,,6억,,,,,서울세명초등학교,B100005832,서울특별시 강남구 세곡동 464-9,혁신,단설,20120830,서울특별시교육청,http://semyung.sen.es.kr,20230531,22.9,20.5,432,448,20230531,6,59,5,6,6,7,9,8,98,118,123,153,206,,2,7,41,880,2,4,0,0,20230531,14,,0,0.0,20230531,직영,3347,1146,1055605000,37.46860155,127.09099452,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,16,175.0,190.0
2,강남LH1단지(e편한세상),81AN㎡,서울시 강남구 세곡동,1168011100,579,서울시 강남구 헌릉로571길 20,37.466828,127.102801,809,0,15,10,173,19,998,대림건설,HT005,81.87,59.89,73,3,2,12,계단식,666220,1317950,133240,518490,0,0,0,,286610,210191,"12억 3,000","12억 8,000",,,,,,,서울세명초등학교,B100005832,서울특별시 강남구 세곡동 464-9,혁신,단설,20120830,서울특별시교육청,http://semyung.sen.es.kr,20230531,22.9,20.5,432,448,20230531,6,59,5,6,6,7,9,8,98,118,123,153,206,,2,7,41,880,2,4,0,0,20230531,14,,0,0.0,20230531,직영,3347,1146,1055605000,37.46860155,127.09099452,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,16,175.0,190.0
3,강남LH1단지(e편한세상),82B㎡,서울시 강남구 세곡동,1168011100,579,서울시 강남구 헌릉로571길 20,37.466828,127.102801,809,0,15,10,173,19,998,대림건설,HT005,82,59.99,73,3,2,80,계단식,666220,1317950,133240,518490,0,0,0,,287089,210542,"12억 2,000",13억,"5억 9,000",6억,,,,,서울세명초등학교,B100005832,서울특별시 강남구 세곡동 464-9,혁신,단설,20120830,서울특별시교육청,http://semyung.sen.es.kr,20230531,22.9,20.5,432,448,20230531,6,59,5,6,6,7,9,8,98,118,123,153,206,,2,7,41,880,2,4,0,0,20230531,14,,0,0.0,20230531,직영,3347,1146,1055605000,37.46860155,127.09099452,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,16,175.0,190.0
4,강남LH1단지(e편한세상),102A㎡,서울시 강남구 세곡동,1168011100,579,서울시 강남구 헌릉로571길 20,37.466828,127.102801,809,0,15,10,173,19,998,대림건설,HT005,102.17,74.74,73,3,2,160,계단식,1060200,1863810,212040,591570,0,0,0,,357676,262309,13억,"17억 5,000","6억 5,000",7억,4억/100,5억/60,4억/100,5억/60,서울세명초등학교,B100005832,서울특별시 강남구 세곡동 464-9,혁신,단설,20120830,서울특별시교육청,http://semyung.sen.es.kr,20230531,22.9,20.5,432,448,20230531,6,59,5,6,6,7,9,8,98,118,123,153,206,,2,7,41,880,2,4,0,0,20230531,14,,0,0.0,20230531,직영,3347,1146,1055605000,37.46860155,127.09099452,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,16,175.0,190.0
5,강남LH1단지(e편한세상),115B㎡,서울시 강남구 세곡동,1168011100,579,서울시 강남구 헌릉로571길 20,37.466828,127.102801,809,0,15,10,173,19,998,대림건설,HT005,115.96,84.83,73,3,2,150,계단식,1215000,2103750,243000,645750,0,0,0,,405964,297721,14억,"18억 3,000","6억 8,000",7억,,,,,서울세명초등학교,B100005832,서울특별시 강남구 세곡동 464-9,혁신,단설,20120830,서울특별시교육청,http://semyung.sen.es.kr,20230531,22.9,20.5,432,448,20230531,6,59,5,6,6,7,9,8,98,118,123,153,206,,2,7,41,880,2,4,0,0,20230531,14,,0,0.0,20230531,직영,3347,1146,1055605000,37.46860155,127.09099452,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,16,175.0,190.0
6,강남LH1단지(e편한세상),115C㎡,서울시 강남구 세곡동,1168011100,579,서울시 강남구 헌릉로571길 20,37.466828,127.102801,809,0,15,10,173,19,998,대림건설,HT005,115.97,84.84,73,3,2,130,계단식,1215000,2103750,243000,645750,0,0,0,,406011,297756,,16억,,,,,,,서울세명초등학교,B100005832,서울특별시 강남구 세곡동 464-9,혁신,단설,20120830,서울특별시교육청,http://semyung.sen.es.kr,20230531,22.9,20.5,432,448,20230531,6,59,5,6,6,7,9,8,98,118,123,153,206,,2,7,41,880,2,4,0,0,20230531,14,,0,0.0,20230531,직영,3347,1146,1055605000,37.46860155,127.09099452,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,16,175.0,190.0
7,강남LH1단지(e편한세상),115A㎡,서울시 강남구 세곡동,1168011100,579,서울시 강남구 헌릉로571길 20,37.466828,127.102801,809,0,15,10,173,19,998,대림건설,HT005,115.95,84.82,73,3,2,30,계단식,1215000,2103750,243000,645750,0,0,0,,405915,297686,,,,,,,,,서울세명초등학교,B100005832,서울특별시 강남구 세곡동 464-9,혁신,단설,20120830,서울특별시교육청,http://semyung.sen.es.kr,20230531,22.9,20.5,432,448,20230531,6,59,5,6,6,7,9,8,98,118,123,153,206,,2,7,41,880,2,4,0,0,20230531,14,,0,0.0,20230531,직영,3347,1146,1055605000,37.46860155,127.09099452,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,16,175.0,190.0
8,강남LH1단지(e편한세상),115CN,서울시 강남구 세곡동,1168011100,579,서울시 강남구 헌릉로571길 20,37.466828,127.102801,809,0,15,10,173,19,998,대림건설,HT005,115.97,84.84,73,3,2,15,계단식,1215000,2103750,243000,645750,0,0,0,,406011,297756,,,,,,,,,서울세명초등학교,B100005832,서울특별시 강남구 세곡동 464-9,혁신,단설,20120830,서울특별시교육청,http://semyung.sen.es.kr,20230531,22.9,20.5,432,448,20230531,6,59,5,6,6,7,9,8,98,118,123,153,206,,2,7,41,880,2,4,0,0,20230531,14,,0,0.0,20230531,직영,3347,1146,1055605000,37.46860155,127.09099452,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,16,175.0,190.0
0,강남데시앙파크,108C㎡,서울시 강남구 세곡동,1168011100,525,서울시 강남구 헌릉로590길 63,37.460324,127.101224,546,211,12,9,169,25,850,(주)태영건설,HT001,108.54,84.95,78,3,2,95,계단식,,,,,,,,,203139,203555,,12억,,,,,,,서울대왕초등학교,B100000746,서울특별시 강남구 세곡동 122-2,공립,단설,19321125,서울특별시교육청,http://daewang.sen.es.kr,20230531,18.8,20.1,290,272,20230531,4,51,4,4,4,4,4,6,71,85,76,91,95,,2,6,26,562,1,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,935,622499000,37.46443039,127.10553946,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,11,138.0,311.0
1,강남데시앙파크,109B㎡,서울시 강남구 세곡동,1168011100,525,서울시 강남구 헌릉로590길 63,37.460324,127.101224,546,211,12,9,169,25,850,(주)태영건설,HT001,109.96,84.97,77,3,2,104,계단식,,,,,,,,,203187,203603,14억,"16억 7,000",,,,,,,서울대왕초등학교,B100000746,서울특별시 강남구 세곡동 122-2,공립,단설,19321125,서울특별시교육청,http://daewang.sen.es.kr,20230531,18.8,20.1,290,272,20230531,4,51,4,4,4,4,4,6,71,85,76,91,95,,2,6,26,562,1,4,0,0,20230531,12,,0,0.0,20230531,직영,3385,935,622499000,37.46443039,127.10553946,1168011100,서울시,19.8,17.4,강남구,21.6,18.9,11,138.0,311.0
