,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,강서월드메르디앙,76㎡,서울시 강서구 내발산동,1150010600,659-1,서울시 강서구 공항대로42길 54-26,37.556402,126.842864,160,0,15,10,249,25,247,월드건설(주),HT001,76.21,59.6,78,3,2,20,계단식,202800,511320,40560,267960,0,0,0,,151389,168589,,,,,,,,,서울가곡초등학교,B100001004,서울특별시 강서구 마곡동 153-7번지,공립,단설,19920715,서울특별시교육청,http://gagok.sen.es.kr,20230531,24.4,22.1,348,382,20230531,6,42,5,4,5,5,7,7,84,94,128,118,151,,0,0,33,730,1,3,0,0,20230531,14,,0,0.0,20230531,직영,3385,917,838341000,37.5553901,126.83584449,1150010500,서울시,19.8,17.4,강서구,19.0,17.2,11,155.0,138.0
1,강서월드메르디앙,107㎡,서울시 강서구 내발산동,1150010600,659-1,서울시 강서구 공항대로42길 54-26,37.556402,126.842864,160,0,15,10,249,25,247,월드건설(주),HT001,107.48,84.89,79,3,2,111,계단식,323360,740380,64670,352350,0,0,0,,215632,240131,9억,11억,6억,"6억 5,000",,,,,서울가곡초등학교,B100001004,서울특별시 강서구 마곡동 153-7번지,공립,단설,19920715,서울특별시교육청,http://gagok.sen.es.kr,20230531,24.4,22.1,348,382,20230531,6,42,5,4,5,5,7,7,84,94,128,118,151,,0,0,33,730,1,3,0,0,20230531,14,,0,0.0,20230531,직영,3385,917,838341000,37.5553901,126.83584449,1150010500,서울시,19.8,17.4,강서구,19.0,17.2,11,155.0,138.0
2,강서월드메르디앙,141,서울시 강서구 내발산동,1150010600,659-1,서울시 강서구 공항대로42길 54-26,37.556402,126.842864,160,0,15,10,249,25,247,월드건설(주),HT001,141.38,112.69,80,4,2,29,계단식,409500,904050,81900,412650,0,0,0,,286240,318762,"10억 4,000","12억 7,000",,,,,,,서울가곡초등학교,B100001004,서울특별시 강서구 마곡동 153-7번지,공립,단설,19920715,서울특별시교육청,http://gagok.sen.es.kr,20230531,24.4,22.1,348,382,20230531,6,42,5,4,5,5,7,7,84,94,128,118,151,,0,0,33,730,1,3,0,0,20230531,14,,0,0.0,20230531,직영,3385,917,838341000,37.5553901,126.83584449,1150010500,서울시,19.8,17.4,강서구,19.0,17.2,11,155.0,138.0
0,강성레스트빌,74A㎡,서울시 강서구 내발산동,1150010600,717-20,서울시 강서구 강서로45라길 52,37.549906,126.834692,36,0,11,7,239,30,41,강성종합건설(주),HT001,74.88,59.09,79,3,2,11,계단식,84380,261380,16870,160130,0,0,0,,,,,"5억 2,000",,,,,,,서울발산초등학교,B100001025,서울특별시 강서구 내발산동 산412,공립,단설,19791018,서울특별시교육청,http://balsan.sen.es.kr,20230531,21.7,22.0,549,483,20230531,7,69,7,6,6,8,9,9,139,144,148,178,212,,2,7,45,1032,2,4,0,0,20230531,25,,0,0.0,20230531,직영,3347,1235,1168045000,37.54983285,126.83080953,1150010600,서울시,19.8,17.4,강서구,19.0,17.2,4,204.0,392.0
1,강성레스트빌,76B㎡,서울시 강서구 내발산동,1150010600,717-20,서울시 강서구 강서로45라길 52,37.549906,126.834692,36,0,11,7,239,30,41,강성종합건설(주),HT001,76.22,59.92,79,3,2,2,계단식,86100,265860,17220,162540,0,0,0,,,,,,,,,,,,서울발산초등학교,B100001025,서울특별시 강서구 내발산동 산412,공립,단설,19791018,서울특별시교육청,http://balsan.sen.es.kr,20230531,21.7,22.0,549,483,20230531,7,69,7,6,6,8,9,9,139,144,148,178,212,,2,7,45,1032,2,4,0,0,20230531,25,,0,0.0,20230531,직영,3347,1235,1168045000,37.54983285,126.83080953,1150010600,서울시,19.8,17.4,강서구,19.0,17.2,4,204.0,392.0
2,강성레스트빌,89㎡,서울시 강서구 내발산동,1150010600,717-20,서울시 강서구 강서로45라길 52,37.549906,126.834692,36,0,11,7,239,30,41,강성종합건설(주),HT001,89.43,71.32,80,3,2,3,계단식,106400,318640,21280,190960,0,0,0,,,,,,,,,,,,서울발산초등학교,B100001025,서울특별시 강서구 내발산동 산412,공립,단설,19791018,서울특별시교육청,http://balsan.sen.es.kr,20230531,21.7,22.0,549,483,20230531,7,69,7,6,6,8,9,9,139,144,148,178,212,,2,7,45,1032,2,4,0,0,20230531,25,,0,0.0,20230531,직영,3347,1235,1168045000,37.54983285,126.83080953,1150010600,서울시,19.8,17.4,강서구,19.0,17.2,4,204.0,392.0
3,강성레스트빌,106,서울시 강서구 내발산동,1150010600,717-20,서울시 강서구 강서로45라길 52,37.549906,126.834692,36,0,11,7,239,30,41,강성종합건설(주),HT001,106.07,84.76,80,3,2,20,계단식,153520,417680,30700,233460,0,0,0,,,,,"6억 7,000",,,,,,,서울발산초등학교,B100001025,서울특별시 강서구 내발산동 산412,공립,단설,19791018,서울특별시교육청,http://balsan.sen.es.kr,20230531,21.7,22.0,549,483,20230531,7,69,7,6,6,8,9,9,139,144,148,178,212,,2,7,45,1032,2,4,0,0,20230531,25,,0,0.0,20230531,직영,3347,1235,1168045000,37.54983285,126.83080953,1150010600,서울시,19.8,17.4,강서구,19.0,17.2,4,204.0,392.0
0,광남,59㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,59.36,52.03,88,2,1,1,복도식,52130,177530,10420,114980,0,0,0,,,,,,,,,,,,서울발산초등학교,B100001025,서울특별시 강서구 내발산동 산412,공립,단설,19791018,서울특별시교육청,http://balsan.sen.es.kr,20230531,21.7,22.0,549,483,20230531,7,69,7,6,6,8,9,9,139,144,148,178,212,,2,7,45,1032,2,4,0,0,20230531,25,,0,0.0,20230531,직영,3347,1235,1168045000,37.54983285,126.83080953,1150010600,서울시,19.8,17.4,강서구,19.0,17.2,7,204.0,392.0
1,광남,80A㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,80.11,70.21,88,3,2,1,복도식,77500,243500,15500,150500,0,0,0,,,,,,,,,,,,서울발산초등학교,B100001025,서울특별시 강서구 내발산동 산412,공립,단설,19791018,서울특별시교육청,http://balsan.sen.es.kr,20230531,21.7,22.0,549,483,20230531,7,69,7,6,6,8,9,9,139,144,148,178,212,,2,7,45,1032,2,4,0,0,20230531,25,,0,0.0,20230531,직영,3347,1235,1168045000,37.54983285,126.83080953,1150010600,서울시,19.8,17.4,강서구,19.0,17.2,7,204.0,392.0
2,광남,81A㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,81.22,71.18,88,3,2,1,복도식,80940,252430,16180,155310,0,0,0,,,,,,,,,,,,서울발산초등학교,B100001025,서울특별시 강서구 내발산동 산412,공립,단설,19791018,서울특별시교육청,http://balsan.sen.es.kr,20230531,21.7,22.0,549,483,20230531,7,69,7,6,6,8,9,9,139,144,148,178,212,,2,7,45,1032,2,4,0,0,20230531,25,,0,0.0,20230531,직영,3347,1235,1168045000,37.54983285,126.83080953,1150010600,서울시,19.8,17.4,강서구,19.0,17.2,7,204.0,392.0
