,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,광나루현대,103C㎡,서울시 광진구 광장동,1121510400,567,서울시 광진구 아차산로76길 31,37.547082,127.108314,380,0,22,11,303,22,354,현대산업개발(주),HT001,103.72,84.59,82,3,2,21,계단식,378900,845910,75780,391230,0,0,0,,251797,264268,11억,"13억 5,000",,,,,,,서울광장초등학교,B100002168,서울특별시 광진구 광장동 389번지(광장학교길 19),혁신,단설,19461110,서울특별시교육청,http://kwangjang.sen.es.kr,20230531,13.8,18.8,179,140,20230531,4,26,2,3,2,2,3,3,46,54,48,42,50,,2,12,15,319,1,3,0,0,20230531,0,,0,0.0,20230531,직영,3545,333,591957000,37.54816262,127.10135271,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,11,67.0,0.0
1,광나루현대,103A㎡,서울시 광진구 광장동,1121510400,567,서울시 광진구 아차산로76길 31,37.547082,127.108314,380,0,22,11,303,22,354,현대산업개발(주),HT001,103.92,84.59,81,3,2,1,계단식,346240,783840,69240,368360,0,0,0,,251797,264268,,,,,,,,,서울광장초등학교,B100002168,서울특별시 광진구 광장동 389번지(광장학교길 19),혁신,단설,19461110,서울특별시교육청,http://kwangjang.sen.es.kr,20230531,13.8,18.8,179,140,20230531,4,26,2,3,2,2,3,3,46,54,48,42,50,,2,12,15,319,1,3,0,0,20230531,0,,0,0.0,20230531,직영,3545,333,591957000,37.54816262,127.10135271,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,11,67.0,0.0
2,광나루현대,104B,서울시 광진구 광장동,1121510400,567,서울시 광진구 아차산로76길 31,37.547082,127.108314,380,0,22,11,303,22,354,현대산업개발(주),HT001,104.14,84.92,82,3,2,358,계단식,379800,847620,75960,391860,0,0,0,,252779,265299,11억,15억,,"6억 5,000",,5억/20,,5억/20,서울광장초등학교,B100002168,서울특별시 광진구 광장동 389번지(광장학교길 19),혁신,단설,19461110,서울특별시교육청,http://kwangjang.sen.es.kr,20230531,13.8,18.8,179,140,20230531,4,26,2,3,2,2,3,3,46,54,48,42,50,,2,12,15,319,1,3,0,0,20230531,0,,0,0.0,20230531,직영,3545,333,591957000,37.54816262,127.10135271,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,11,67.0,0.0
0,광장극동2차,92㎡,서울시 광진구 광장동,1121510400,218-1,서울시 광진구 아차산로 552,37.54374,127.104913,896,0,14,14,0,0,795,극동건설,HT002,92.66,75.55,82,3,1,280,계단식,773320,1489310,154660,561330,0,0,0,,392900,238677,14억,"15억 9,000",,"6억 5,000",1억/180,3억/100,1억/180,3억/100,서울광남초등학교,B100002167,서울특별시 광진구 광장동 554번지,공립,단설,19900120,서울특별시교육청,http://gwangnam.sen.es.kr,20230531,22.7,25.7,666,619,20230531,10,66,6,8,7,9,10,10,156,193,193,232,254,,0,0,50,1285,2,5,0,0,20230531,7,,0,0.0,20230531,직영,3422,1520,1329474000,37.54081443,127.10093542,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,6,257.0,88.0
1,광장극동2차,104㎡,서울시 광진구 광장동,1121510400,218-1,서울시 광진구 아차산로 552,37.54374,127.104913,896,0,14,14,0,0,795,극동건설,HT002,104.15,84.55,81,3,1,476,계단식,1225800,2120490,245160,649530,0,0,0,,439705,267110,"15억 7,000",17억,"5억 6,000",7억,,,,,서울광남초등학교,B100002167,서울특별시 광진구 광장동 554번지,공립,단설,19900120,서울특별시교육청,http://gwangnam.sen.es.kr,20230531,22.7,25.7,666,619,20230531,10,66,6,8,7,9,10,10,156,193,193,232,254,,0,0,50,1285,2,5,0,0,20230531,7,,0,0.0,20230531,직영,3422,1520,1329474000,37.54081443,127.10093542,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,6,257.0,88.0
2,광장극동2차,120㎡,서울시 광진구 광장동,1121510400,218-1,서울시 광진구 아차산로 552,37.54374,127.104913,896,0,14,14,0,0,795,극동건설,HT002,120.96,102.61,85,3,2,28,계단식,1485000,2522250,297000,740250,0,0,0,,533626,324165,,22억,,8억,,,,,서울광남초등학교,B100002167,서울특별시 광진구 광장동 554번지,공립,단설,19900120,서울특별시교육청,http://gwangnam.sen.es.kr,20230531,22.7,25.7,666,619,20230531,10,66,6,8,7,9,10,10,156,193,193,232,254,,0,0,50,1285,2,5,0,0,20230531,7,,0,0.0,20230531,직영,3422,1520,1329474000,37.54081443,127.10093542,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,6,257.0,88.0
3,광장극동2차,149㎡,서울시 광진구 광장동,1121510400,218-1,서울시 광진구 아차산로 552,37.54374,127.104913,896,0,14,14,0,0,795,극동건설,HT002,149.64,126.94,85,4,2,56,계단식,1699200,2854260,339840,815220,216570,180480,36090,,660156,401028,,23억,"7억 8,000",8억,,,,,서울광남초등학교,B100002167,서울특별시 광진구 광장동 554번지,공립,단설,19900120,서울특별시교육청,http://gwangnam.sen.es.kr,20230531,22.7,25.7,666,619,20230531,10,66,6,8,7,9,10,10,156,193,193,232,254,,0,0,50,1285,2,5,0,0,20230531,7,,0,0.0,20230531,직영,3422,1520,1329474000,37.54081443,127.10093542,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,6,257.0,88.0
4,광장극동2차,179,서울시 광진구 광장동,1121510400,218-1,서울시 광진구 아차산로 552,37.54374,127.104913,896,0,14,14,0,0,795,극동건설,HT002,179.36,156.91,87,5,2,56,계단식,1897200,3161160,379440,884520,470010,391680,78330,,816015,495710,,26억,,,,,,,서울광남초등학교,B100002167,서울특별시 광진구 광장동 554번지,공립,단설,19900120,서울특별시교육청,http://gwangnam.sen.es.kr,20230531,22.7,25.7,666,619,20230531,10,66,6,8,7,9,10,10,156,193,193,232,254,,0,0,50,1285,2,5,0,0,20230531,7,,0,0.0,20230531,직영,3422,1520,1329474000,37.54081443,127.10093542,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,6,257.0,88.0
0,광장금호베스트빌,81㎡,서울시 광진구 광장동,1121510400,578,서울시 광진구 광나루로 579,37.54375,127.09398,242,0,20,13,276,23,250,금호개발(주),HT001,81.14,59.93,74,3,1,76,계단식,336560,765460,67310,361590,0,0,0,,192022,199464,,"10억 5,000",,"6억 5,000",,"4억 4,000/30",,"4억 4,000/30",서울양진초등학교,B100005241,서울특별시 광진구 광장동 워커힐길 32,공립,단설,20050301,서울특별시교육청,http://yjs.sen.es.kr,20230531,23.8,25.9,690,709,20230531,9,79,7,8,8,10,10,11,174,225,205,264,264,,0,0,54,1399,3,5,0,0,20230531,15,,0,0.0,20230531,직영,3422,1610,1480459000,37.54452521,127.09824729,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,7,267.0,391.0
1,광장금호베스트빌,108,서울시 광진구 광장동,1121510400,578,서울시 광진구 광나루로 579,37.54375,127.09398,242,0,20,13,276,23,250,금호개발(주),HT001,108.34,84.91,78,3,2,166,계단식,659920,1307870,131980,515970,0,0,0,,272060,282605,"12억 5,000",13억,,,,,,,서울양진초등학교,B100005241,서울특별시 광진구 광장동 워커힐길 32,공립,단설,20050301,서울특별시교육청,http://yjs.sen.es.kr,20230531,23.8,25.9,690,709,20230531,9,79,7,8,8,10,10,11,174,225,205,264,264,,0,0,54,1399,3,5,0,0,20230531,15,,0,0.0,20230531,직영,3422,1610,1480459000,37.54452521,127.09824729,1121510400,서울시,19.8,17.4,광진구,19.3,16.6,7,267.0,391.0
