,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,KY동부빌(도시형),65,서울시 광진구 화양동,1121510700,19-53,서울시 광진구 광나루로16길 18,37.546914,127.069092,20,0,6,6,216,57,16,(주)광양토건,HT001,65.99,55.86,85,2,1,20,계단식,193200,440160,38640,208320,0,0,0,,,,,,,,,,,,서울화양초등학교,B100002195,서울특별시 광진구 군자로 9,혁신,단설,19830701,서울특별시성동광진교육지원청,http://hy.sen.es.kr,20220501,5.3,10.5,43,41,20220501,4,12,1,1,1,1,2,2,7,6,12,19,22,,0,0,8,84,2,4,539,194,20220501,6,,21934,261.0,20220501,직영급식,3850,117,236610000,37.54419863,127.07121155,1121510700,서울시,19.8,17.4,광진구,19.3,16.6,5,18.0,134.0
0,광진스위트엠,103A㎡,서울시 광진구 화양동,1121510700,532,서울시 광진구 광나루로20길 23,37.545881,127.074547,48,0,14,13,0,0,62,혁지종합건설㈜,HT001,103.72,83.18,80,2,2,1,계단식,,,,,,,,,,,,,,,,,,,서울구의초등학교,B100002170,서울특별시 광진구 화양동 303-9 서울구의초등학교,공립,단설,19811226,서울특별시교육청,http://guui.sen.es.kr,20230531,17.5,19.6,285,243,20230531,11,34,4,5,4,4,5,3,88,103,82,75,99,,2,14,25,528,2,3,0,0,20230531,3,,0,0.0,20230531,직영,3452,599,697334000,37.5427872,127.08036212,1121510700,서울시,19.8,17.4,광진구,19.3,16.6,15,67.0,44.0
1,광진스위트엠,105D㎡,서울시 광진구 화양동,1121510700,532,서울시 광진구 광나루로20길 23,37.545881,127.074547,48,0,14,13,0,0,62,혁지종합건설㈜,HT001,105.97,84.99,80,3,2,33,계단식,,,,,,,,,,,,10억,,,"5,000/250",2억/180,"5,000/250",2억/180,서울구의초등학교,B100002170,서울특별시 광진구 화양동 303-9 서울구의초등학교,공립,단설,19811226,서울특별시교육청,http://guui.sen.es.kr,20230531,17.5,19.6,285,243,20230531,11,34,4,5,4,4,5,3,88,103,82,75,99,,2,14,25,528,2,3,0,0,20230531,3,,0,0.0,20230531,직영,3452,599,697334000,37.5427872,127.08036212,1121510700,서울시,19.8,17.4,광진구,19.3,16.6,15,67.0,44.0
2,광진스위트엠,105C㎡,서울시 광진구 화양동,1121510700,532,서울시 광진구 광나루로20길 23,37.545881,127.074547,48,0,14,13,0,0,62,혁지종합건설㈜,HT001,105.38,84.51,80,3,3,11,계단식,,,,,,,,,,,10억,"10억 5,000",,,,,,,서울구의초등학교,B100002170,서울특별시 광진구 화양동 303-9 서울구의초등학교,공립,단설,19811226,서울특별시교육청,http://guui.sen.es.kr,20230531,17.5,19.6,285,243,20230531,11,34,4,5,4,4,5,3,88,103,82,75,99,,2,14,25,528,2,3,0,0,20230531,3,,0,0.0,20230531,직영,3452,599,697334000,37.5427872,127.08036212,1121510700,서울시,19.8,17.4,광진구,19.3,16.6,15,67.0,44.0
3,광진스위트엠,135B,서울시 광진구 화양동,1121510700,532,서울시 광진구 광나루로20길 23,37.545881,127.074547,48,0,14,13,0,0,62,혁지종합건설㈜,HT001,135.71,103.84,77,4,3,3,계단식,,,,,,,,,,,,,,,,,,,서울구의초등학교,B100002170,서울특별시 광진구 화양동 303-9 서울구의초등학교,공립,단설,19811226,서울특별시교육청,http://guui.sen.es.kr,20230531,17.5,19.6,285,243,20230531,11,34,4,5,4,4,5,3,88,103,82,75,99,,2,14,25,528,2,3,0,0,20230531,3,,0,0.0,20230531,직영,3452,599,697334000,37.5427872,127.08036212,1121510700,서울시,19.8,17.4,광진구,19.3,16.6,15,67.0,44.0
0,광진안틸리아(도시형),29A㎡,서울시 광진구 화양동,1121510700,20-5,서울시 광진구 광나루로12길 7,37.547232,127.067947,40,0,12,12,0,0,30,주식회사글로벌대명,HT001,29.4,24.7,84,1,1,20,계단식,,,,,,,,,,,,,,3억 500,,,,,서울성수초등학교,B100002179,서울특별시 성동구 성수동2가 277-32번지,공립,단설,19720901,서울특별시교육청,http://sungsu.sen.es.kr,20230531,14.1,13.6,126,119,20230531,6,26,2,2,3,3,3,4,30,33,42,39,45,,1,5,17,245,3,1,0,0,20230531,3,,0,0.0,20230531,직영,3550,407,464192000,37.54424992,127.06342644,1120011500,서울시,19.8,17.4,성동구,17.8,15.9,9,51.0,34.0
1,광진안틸리아(도시형),30B㎡,서울시 광진구 화양동,1121510700,20-5,서울시 광진구 광나루로12길 7,37.547232,127.067947,40,0,12,12,0,0,30,주식회사글로벌대명,HT001,30.55,25.67,84,1,1,10,계단식,,,,,,,,,,,,,,"3억 2,000",,,,,서울성수초등학교,B100002179,서울특별시 성동구 성수동2가 277-32번지,공립,단설,19720901,서울특별시교육청,http://sungsu.sen.es.kr,20230531,14.1,13.6,126,119,20230531,6,26,2,2,3,3,3,4,30,33,42,39,45,,1,5,17,245,3,1,0,0,20230531,3,,0,0.0,20230531,직영,3550,407,464192000,37.54424992,127.06342644,1120011500,서울시,19.8,17.4,성동구,17.8,15.9,9,51.0,34.0
2,광진안틸리아(도시형),31C,서울시 광진구 화양동,1121510700,20-5,서울시 광진구 광나루로12길 7,37.547232,127.067947,40,0,12,12,0,0,30,주식회사글로벌대명,HT001,31.11,26.15,84,1,1,10,계단식,,,,,,,,,,,,,,,,,,,서울성수초등학교,B100002179,서울특별시 성동구 성수동2가 277-32번지,공립,단설,19720901,서울특별시교육청,http://sungsu.sen.es.kr,20230531,14.1,13.6,126,119,20230531,6,26,2,2,3,3,3,4,30,33,42,39,45,,1,5,17,245,3,1,0,0,20230531,3,,0,0.0,20230531,직영,3550,407,464192000,37.54424992,127.06342644,1120011500,서울시,19.8,17.4,성동구,17.8,15.9,9,51.0,34.0
0,광진코지웰(도시형),19F㎡,서울시 광진구 화양동,1121510700,113-1,서울시 광진구 능동로19길 35,37.547116,127.071885,296,0,14,12,617,59,82,"(주)포스코ICT,대창기업(주),주영종합건설(주)",HT001,19.35,13.83,71,1,1,39,복도식,16270,65090,3250,45570,0,0,0,,,,,"1억 5,600",,,,,,,서울화양초등학교,B100002195,서울특별시 광진구 군자로 9,혁신,단설,19830701,서울특별시성동광진교육지원청,http://hy.sen.es.kr,20220501,5.3,10.5,43,41,20220501,4,12,1,1,1,1,2,2,7,6,12,19,22,,0,0,8,84,2,4,539,194,20220501,6,,21934,261.0,20220501,직영급식,3850,117,236610000,37.54419863,127.07121155,1121510700,서울시,19.8,17.4,광진구,19.3,16.6,6,18.0,134.0
1,광진코지웰(도시형),19F-1㎡,서울시 광진구 화양동,1121510700,113-1,서울시 광진구 능동로19길 35,37.547116,127.071885,296,0,14,12,617,59,82,"(주)포스코ICT,대창기업(주),주영종합건설(주)",HT001,19.59,14,71,1,1,8,복도식,16490,65950,3290,46170,0,0,0,,,,,,,,,,,,서울화양초등학교,B100002195,서울특별시 광진구 군자로 9,혁신,단설,19830701,서울특별시성동광진교육지원청,http://hy.sen.es.kr,20220501,5.3,10.5,43,41,20220501,4,12,1,1,1,1,2,2,7,6,12,19,22,,0,0,8,84,2,4,539,194,20220501,6,,21934,261.0,20220501,직영급식,3850,117,236610000,37.54419863,127.07121155,1121510700,서울시,19.8,17.4,광진구,19.3,16.6,6,18.0,134.0
