,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,S-타워(주상복합),246,서울시 강남구 대치동,1168010600,983-1,서울시 강남구 영동대로 325,37.503447,127.065572,19,0,17,11,445,63,140,(주)삼성중공업,HT001,246.25,204.38,83,5,2,19,계단식,1837800,3069090,367560,863730,393980,328320,65660,,,,,28억,,,,,,,서울대현초등학교,B100000750,서울특별시 강남구 대치동 969번지,공립,단설,19841205,서울특별시교육청,http://daehyun.sen.es.kr,20230531,19.3,24.8,518,324,20230531,3,54,4,4,4,5,6,9,91,107,122,129,172,,2,6,32,842,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3385,842,813098000,37.50357484,127.06385797,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,1,215.0,145.0
0,"개포우성1,2차",101㎡,서울시 강남구 대치동,1168010600,503,서울시 강남구 선릉로 120,37.491425,127.059778,1140,0,15,15,0,0,1200,우성건설,HT002,101.09,94.74,94,3,1,120,계단식,,,,,,,,,,,31억,32억,10억,13억,8억/140,8억/220,8억/140,8억/220,서울대치초등학교,B100000749,서울특별시 강남구 대치동 505,공립,단설,19840509,서울특별시교육청,http://daechi.sen.es.kr/,20230531,26.1,30.4,798,663,20230531,5,75,6,5,6,9,10,12,159,150,196,275,317,,0,0,48,1461,4,2,0,0,20230531,1,,0,0.0,20230531,직영,3347,1734,1350903000,37.4906572,127.061988,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,1,364.0,23.0
1,"개포우성1,2차",102㎡,서울시 강남구 대치동,1168010600,503,서울시 강남구 선릉로 120,37.491425,127.059778,1140,0,15,15,0,0,1200,우성건설,HT002,102.48,84.81,83,3,1,210,계단식,,,,,,,,,,,31억,32억,"9억 7,000",13억,1억/350,15억/80,1억/350,15억/80,서울대치초등학교,B100000749,서울특별시 강남구 대치동 505,공립,단설,19840509,서울특별시교육청,http://daechi.sen.es.kr/,20230531,26.1,30.4,798,663,20230531,5,75,6,5,6,9,10,12,159,150,196,275,317,,0,0,48,1461,4,2,0,0,20230531,1,,0,0.0,20230531,직영,3347,1734,1350903000,37.4906572,127.061988,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,1,364.0,23.0
2,"개포우성1,2차",146㎡,서울시 강남구 대치동,1168010600,503,서울시 강남구 선릉로 120,37.491425,127.059778,1140,0,15,15,0,0,1200,우성건설,HT002,146.6,137.36,94,4,2,270,계단식,,,,,,,,,,,38억,43억,"13억 5,000",16억,1억/200,10억/160,1억/200,10억/160,서울대치초등학교,B100000749,서울특별시 강남구 대치동 505,공립,단설,19840509,서울특별시교육청,http://daechi.sen.es.kr/,20230531,26.1,30.4,798,663,20230531,5,75,6,5,6,9,10,12,159,150,196,275,317,,0,0,48,1461,4,2,0,0,20230531,1,,0,0.0,20230531,직영,3347,1734,1350903000,37.4906572,127.061988,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,1,364.0,23.0
3,"개포우성1,2차",148㎡,서울시 강남구 대치동,1168010600,503,서울시 강남구 선릉로 120,37.491425,127.059778,1140,0,15,15,0,0,1200,우성건설,HT002,148.76,127.61,86,4,2,330,계단식,,,,,,,,,,,38억,43억,"13억 5,000",15억,"7억 5,000/230","14억 5,000/70","7억 5,000/230","14억 5,000/70",서울대치초등학교,B100000749,서울특별시 강남구 대치동 505,공립,단설,19840509,서울특별시교육청,http://daechi.sen.es.kr/,20230531,26.1,30.4,798,663,20230531,5,75,6,5,6,9,10,12,159,150,196,275,317,,0,0,48,1461,4,2,0,0,20230531,1,,0,0.0,20230531,직영,3347,1734,1350903000,37.4906572,127.061988,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,1,364.0,23.0
4,"개포우성1,2차",180㎡,서울시 강남구 대치동,1168010600,503,서울시 강남구 선릉로 120,37.491425,127.059778,1140,0,15,15,0,0,1200,우성건설,HT002,180.54,169.18,94,5,2,60,계단식,,,,,,,,,,,,45억,17억,18억,12억/250,15억/80,12억/250,15억/80,서울대치초등학교,B100000749,서울특별시 강남구 대치동 505,공립,단설,19840509,서울특별시교육청,http://daechi.sen.es.kr/,20230531,26.1,30.4,798,663,20230531,5,75,6,5,6,9,10,12,159,150,196,275,317,,0,0,48,1461,4,2,0,0,20230531,1,,0,0.0,20230531,직영,3347,1734,1350903000,37.4906572,127.061988,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,1,364.0,23.0
5,"개포우성1,2차",181㎡,서울시 강남구 대치동,1168010600,503,서울시 강남구 선릉로 120,37.491425,127.059778,1140,0,15,15,0,0,1200,우성건설,HT002,181.82,158.54,87,5,2,90,계단식,,,,,,,,,,,45억,50억,17억,19억,12억/300,15억/80,12억/300,15억/80,서울대치초등학교,B100000749,서울특별시 강남구 대치동 505,공립,단설,19840509,서울특별시교육청,http://daechi.sen.es.kr/,20230531,26.1,30.4,798,663,20230531,5,75,6,5,6,9,10,12,159,150,196,275,317,,0,0,48,1461,4,2,0,0,20230531,1,,0,0.0,20230531,직영,3347,1734,1350903000,37.4906572,127.061988,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,1,364.0,23.0
6,"개포우성1,2차",214,서울시 강남구 대치동,1168010600,503,서울시 강남구 선릉로 120,37.491425,127.059778,1140,0,15,15,0,0,1200,우성건설,HT002,214.88,189.98,88,6,2,60,계단식,,,,,,,,,,,52억,55억,,,,,,,서울대치초등학교,B100000749,서울특별시 강남구 대치동 505,공립,단설,19840509,서울특별시교육청,http://daechi.sen.es.kr/,20230531,26.1,30.4,798,663,20230531,5,75,6,5,6,9,10,12,159,150,196,275,317,,0,0,48,1461,4,2,0,0,20230531,1,,0,0.0,20230531,직영,3347,1734,1350903000,37.4906572,127.061988,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,1,364.0,23.0
0,노빌리티빌리지,125㎡,서울시 강남구 대치동,1168010600,1017-1,서울시 강남구 삼성로51길 10-13,37.497441,127.060433,14,0,8,8,254,41,29,신구종합건설(주),HT001,125.06,106.69,85,3,2,1,계단식,1033200,1821960,206640,582120,0,0,0,,,,,,,,,,,,서울대치초등학교,B100000749,서울특별시 강남구 대치동 505,공립,단설,19840509,서울특별시교육청,http://daechi.sen.es.kr/,20230531,26.1,30.4,798,663,20230531,5,75,6,5,6,9,10,12,159,150,196,275,317,,0,0,48,1461,4,2,0,0,20230531,1,,0,0.0,20230531,직영,3347,1734,1350903000,37.4906572,127.061988,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,15,364.0,23.0
1,노빌리티빌리지,164㎡,서울시 강남구 대치동,1168010600,1017-1,서울시 강남구 삼성로51길 10-13,37.497441,127.060433,14,0,8,8,254,41,29,신구종합건설(주),HT001,164.03,139.93,85,3,2,1,계단식,1447200,2463660,289440,727020,0,0,0,,,,,,,,,,,,서울대치초등학교,B100000749,서울특별시 강남구 대치동 505,공립,단설,19840509,서울특별시교육청,http://daechi.sen.es.kr/,20230531,26.1,30.4,798,663,20230531,5,75,6,5,6,9,10,12,159,150,196,275,317,,0,0,48,1461,4,2,0,0,20230531,1,,0,0.0,20230531,직영,3347,1734,1350903000,37.4906572,127.061988,1168010600,서울시,19.8,17.4,강남구,21.6,18.9,15,364.0,23.0
