,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,J&M하우스(도시형),20B㎡,서울시 강남구 청담동,1168010400,26-35,서울시 강남구 학동로59길 29-5,37.51941,127.044033,12,0,4,2,157,56,6,(주)에스앤제이종합건설,HT001,20.47,16.02,78,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울언북초등학교,B100000773,서울특별시 강남구 청담동 27번지,공립,단설,19450401,서울특별시교육청,http://eonbuk.sen.es.kr,20230531,25.4,27.2,877,782,20230531,6,90,8,9,9,10,12,11,216,247,280,279,332,,2,10,59,1659,2,3,0,0,20230531,40,,0,0.0,20230531,직영,3347,1895,1619128000,37.51997075,127.04562798,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,2,295.0,450.0
1,J&M하우스(도시형),20A㎡,서울시 강남구 청담동,1168010400,26-35,서울시 강남구 학동로59길 29-5,37.51941,127.044033,12,0,4,2,157,56,6,(주)에스앤제이종합건설,HT001,20.06,15.7,78,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울언북초등학교,B100000773,서울특별시 강남구 청담동 27번지,공립,단설,19450401,서울특별시교육청,http://eonbuk.sen.es.kr,20230531,25.4,27.2,877,782,20230531,6,90,8,9,9,10,12,11,216,247,280,279,332,,2,10,59,1659,2,3,0,0,20230531,40,,0,0.0,20230531,직영,3347,1895,1619128000,37.51997075,127.04562798,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,2,295.0,450.0
2,J&M하우스(도시형),22C㎡,서울시 강남구 청담동,1168010400,26-35,서울시 강남구 학동로59길 29-5,37.51941,127.044033,12,0,4,2,157,56,6,(주)에스앤제이종합건설,HT001,22.03,17.24,78,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울언북초등학교,B100000773,서울특별시 강남구 청담동 27번지,공립,단설,19450401,서울특별시교육청,http://eonbuk.sen.es.kr,20230531,25.4,27.2,877,782,20230531,6,90,8,9,9,10,12,11,216,247,280,279,332,,2,10,59,1659,2,3,0,0,20230531,40,,0,0.0,20230531,직영,3347,1895,1619128000,37.51997075,127.04562798,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,2,295.0,450.0
3,J&M하우스(도시형),56,서울시 강남구 청담동,1168010400,26-35,서울시 강남구 학동로59길 29-5,37.51941,127.044033,12,0,4,2,157,56,6,(주)에스앤제이종합건설,HT001,56.16,43.95,78,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울언북초등학교,B100000773,서울특별시 강남구 청담동 27번지,공립,단설,19450401,서울특별시교육청,http://eonbuk.sen.es.kr,20230531,25.4,27.2,877,782,20230531,6,90,8,9,9,10,12,11,216,247,280,279,332,,2,10,59,1659,2,3,0,0,20230531,40,,0,0.0,20230531,직영,3347,1895,1619128000,37.51997075,127.04562798,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,2,295.0,450.0
0,LG,263,서울시 강남구 청담동,1168010400,104-2,서울시 강남구 압구정로75길 40,37.528287,127.048213,11,0,7,6,248,46,24,엘지건설(주),HT001,263.42,244.73,93,5,3,11,계단식,3776400,6073920,755280,1542240,4488190,3740160,748030,,,,,,,,,,,,서울청담초등학교,B100000784,서울특별시 강남구 압구정동 142번지,공립,단설,19800301,서울특별시교육청,http://cheongdam.sen.es.kr,20230531,17.6,21.8,249,230,20230531,3,33,4,4,3,4,3,4,90,89,75,79,66,,0,0,22,479,0,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,533,566184000,37.52798269,127.04503553,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,5,80.0,139.0
0,PH129,332㎡,서울시 강남구 청담동,1168010400,129,서울시 강남구 압구정로79길 88,37.526054,127.054312,29,0,20,19,365,38,162,현대건설(주),HT001,332.88,273.96,82,5,3,27,계단식,17712000,27674100,3542400,6419700,74604960,62170800,12434160,,,,129억,160억,100억,120억,"6,900/6900",100억/1000,"6,900/6900",100억/1000,서울청담초등학교,B100000784,서울특별시 강남구 압구정동 142번지,공립,단설,19800301,서울특별시교육청,http://cheongdam.sen.es.kr,20230531,17.6,21.8,249,230,20230531,3,33,4,4,3,4,3,4,90,89,75,79,66,,0,0,22,479,0,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,533,566184000,37.52798269,127.04503553,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,15,80.0,139.0
1,PH129,495,서울시 강남구 청담동,1168010400,129,서울시 강남구 압구정로79길 88,37.526054,127.054312,29,0,20,19,365,38,162,현대건설(주),HT001,495.42,407.71,82,5,3,2,계단식,28602000,44553600,5720400,10231200,153884160,128236800,25647360,,,,,,,,,,,,서울청담초등학교,B100000784,서울특별시 강남구 압구정동 142번지,공립,단설,19800301,서울특별시교육청,http://cheongdam.sen.es.kr,20230531,17.6,21.8,249,230,20230531,3,33,4,4,3,4,3,4,90,89,75,79,66,,0,0,22,479,0,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,533,566184000,37.52798269,127.04503553,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,15,80.0,139.0
0,T.S.,176㎡,서울시 강남구 청담동,1168010400,115-5,서울시 강남구 압구정로73길 32,37.527971,127.047144,8,0,4,4,198,57,15,(주)티에스건설,HT001,176.7,176.7,100,4,2,1,계단식,1882800,3138840,376560,879480,412770,343980,68790,,,,,34억,,,,,,,서울청담초등학교,B100000784,서울특별시 강남구 압구정동 142번지,공립,단설,19800301,서울특별시교육청,http://cheongdam.sen.es.kr,20230531,17.6,21.8,249,230,20230531,3,33,4,4,3,4,3,4,90,89,75,79,66,,0,0,22,479,0,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,533,566184000,37.52798269,127.04503553,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,5,80.0,139.0
1,T.S.,180㎡,서울시 강남구 청담동,1168010400,115-5,서울시 강남구 압구정로73길 32,37.527971,127.047144,8,0,4,4,198,57,15,(주)티에스건설,HT001,180.43,180.43,100,4,2,1,계단식,2158800,3566640,431760,976080,735690,613080,122610,,,,,,,,,,,,서울청담초등학교,B100000784,서울특별시 강남구 압구정동 142번지,공립,단설,19800301,서울특별시교육청,http://cheongdam.sen.es.kr,20230531,17.6,21.8,249,230,20230531,3,33,4,4,3,4,3,4,90,89,75,79,66,,0,0,22,479,0,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,533,566184000,37.52798269,127.04503553,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,5,80.0,139.0
2,T.S.,202A㎡,서울시 강남구 청담동,1168010400,115-5,서울시 강남구 압구정로73길 32,37.527971,127.047144,8,0,4,4,198,57,15,(주)티에스건설,HT001,202.03,202.03,100,4,2,1,계단식,2646000,4321800,529200,1146600,1590120,1325100,265020,,,,,,,,,,,,서울청담초등학교,B100000784,서울특별시 강남구 압구정동 142번지,공립,단설,19800301,서울특별시교육청,http://cheongdam.sen.es.kr,20230531,17.6,21.8,249,230,20230531,3,33,4,4,3,4,3,4,90,89,75,79,66,,0,0,22,479,0,3,0,0,20230531,12,,0,0.0,20230531,직영,3377,533,566184000,37.52798269,127.04503553,1168010400,서울시,19.8,17.4,강남구,21.6,18.9,5,80.0,139.0
