,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,강남그린,69㎡,서울시 구로구 궁동,1153010900,178-13,서울시 구로구 오리로20길 28,37.497189,126.831086,10,0,6,6,199,51,10,(주)도훈이엔에이,HT001,69.94,59.98,86,3,1,1,계단식,39660,145110,7930,97520,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,15,144.0,186.0
1,강남그린,72㎡,서울시 구로구 궁동,1153010900,178-13,서울시 구로구 오리로20길 28,37.497189,126.831086,10,0,6,6,199,51,10,(주)도훈이엔에이,HT001,72.8,62.43,86,3,1,1,계단식,39660,145110,7930,97520,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,15,144.0,186.0
2,강남그린,85㎡,서울시 구로구 궁동,1153010900,178-13,서울시 구로구 오리로20길 28,37.497189,126.831086,10,0,6,6,199,51,10,(주)도훈이엔에이,HT001,85.44,73.27,86,3,2,4,계단식,47400,165240,9480,108360,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,15,144.0,186.0
3,강남그린,88,서울시 구로구 궁동,1153010900,178-13,서울시 구로구 오리로20길 28,37.497189,126.831086,10,0,6,6,199,51,10,(주)도훈이엔에이,HT001,88.97,76.3,86,3,2,4,계단식,50410,173060,10080,112570,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,15,144.0,186.0
0,궁동신생,64A㎡,서울시 구로구 궁동,1153010900,197-1,서울시 구로구 부일로19길 34,37.494825,126.836441,184,0,3,3,91,30,0,신생종합건설,HT001,64.12,43.44,68,3,1,30,계단식,87000,213600,17400,109200,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,20,144.0,186.0
1,궁동신생,67B㎡,서울시 구로구 궁동,1153010900,197-1,서울시 구로구 부일로19길 34,37.494825,126.836441,184,0,3,3,91,30,0,신생종합건설,HT001,67.2,45.75,68,3,1,96,계단식,94200,228960,18840,115920,0,0,0,,,,,"3억 2,000",,2억,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,20,144.0,186.0
2,궁동신생,73㎡,서울시 구로구 궁동,1153010900,197-1,서울시 구로구 부일로19길 34,37.494825,126.836441,184,0,3,3,91,30,0,신생종합건설,HT001,73.36,50.37,69,3,1,54,계단식,105000,252000,21000,126000,0,0,0,,,,,"3억 8,500",,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,20,144.0,186.0
3,궁동신생,86,서울시 구로구 궁동,1153010900,197-1,서울시 구로구 부일로19길 34,37.494825,126.836441,184,0,3,3,91,30,0,신생종합건설,HT001,86.7,52.68,61,3,1,4,계단식,112200,267360,22440,132720,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,20,144.0,186.0
0,궁동우남푸르미아,107A㎡,서울시 구로구 궁동,1153010900,290,서울시 구로구 부일로 927,37.49351,126.8293,84,0,7,7,193,31,99,우남건설주식회사,HT001,107.83,84.94,79,3,2,42,계단식,119160,351810,23830,208820,0,0,0,,,,"6억 5,000",7억,,"4억 2,000",,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,8,144.0,186.0
1,궁동우남푸르미아,108B㎡,서울시 구로구 궁동,1153010900,290,서울시 구로구 부일로 927,37.49351,126.8293,84,0,7,7,193,31,99,우남건설주식회사,HT001,108.37,84.95,78,3,2,28,계단식,119160,351810,23830,208820,0,0,0,,,,,"6억 5,000",,"3억 5,000",,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,8,144.0,186.0
2,궁동우남푸르미아,113,서울시 구로구 궁동,1153010900,290,서울시 구로구 부일로 927,37.49351,126.8293,84,0,7,7,193,31,99,우남건설주식회사,HT001,113.13,84.97,75,3,2,14,계단식,119160,351810,23830,208820,0,0,0,,,,,"6억 5,000",,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,8,144.0,186.0
0,뉴파인,84㎡,서울시 구로구 궁동,1153010900,236-4,서울시 구로구 오리로21길 90,37.49646,126.825854,18,0,7,7,199,44,18,이황토종합건설(주),HT001,84.1,71.43,85,3,2,5,계단식,56000,187600,11200,120400,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,4,144.0,186.0
1,뉴파인,87A㎡,서울시 구로구 궁동,1153010900,236-4,서울시 구로구 오리로21길 90,37.49646,126.825854,18,0,7,7,199,44,18,이황토종합건설(주),HT001,87.27,74.11,85,3,2,1,계단식,73200,232320,14640,144480,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,4,144.0,186.0
2,뉴파인,87B㎡,서울시 구로구 궁동,1153010900,236-4,서울시 구로구 오리로21길 90,37.49646,126.825854,18,0,7,7,199,44,18,이황토종합건설(주),HT001,87.43,74.25,85,3,2,1,계단식,73200,232320,14640,144480,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,4,144.0,186.0
3,뉴파인,89A㎡,서울시 구로구 궁동,1153010900,236-4,서울시 구로구 오리로21길 90,37.49646,126.825854,18,0,7,7,199,44,18,이황토종합건설(주),HT001,89.41,75.94,85,3,2,5,계단식,66750,215550,13350,135450,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,4,144.0,186.0
4,뉴파인,89B㎡,서울시 구로구 궁동,1153010900,236-4,서울시 구로구 오리로21길 90,37.49646,126.825854,18,0,7,7,199,44,18,이황토종합건설(주),HT001,89.69,76.17,85,3,2,5,계단식,66750,215550,13350,135450,0,0,0,,,,,4억,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,4,144.0,186.0
5,뉴파인,90C,서울시 구로구 궁동,1153010900,236-4,서울시 구로구 오리로21길 90,37.49646,126.825854,18,0,7,7,199,44,18,이황토종합건설(주),HT001,90.35,76.73,85,3,2,1,계단식,75780,239020,15150,148090,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,4,144.0,186.0
0,다청림(143-1),92㎡,서울시 구로구 궁동,1153010900,143-1,서울시 구로구 오리로22나길 16-9,37.500287,126.830821,38,0,7,6,198,38,48,보강건설(주),HT001,92.86,82.73,89,3,2,1,계단식,96850,293810,19370,177590,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,15,144.0,186.0
1,다청림(143-1),94A㎡,서울시 구로구 궁동,1153010900,143-1,서울시 구로구 오리로22나길 16-9,37.500287,126.830821,38,0,7,6,198,38,48,보강건설(주),HT001,94.38,84.09,89,3,2,10,계단식,87390,269200,17470,164340,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,15,144.0,186.0
2,다청림(143-1),94C㎡,서울시 구로구 궁동,1153010900,143-1,서울시 구로구 오리로22나길 16-9,37.500287,126.830821,38,0,7,6,198,38,48,보강건설(주),HT001,94.49,84.19,89,3,2,6,계단식,89110,273680,17820,166750,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,15,144.0,186.0
3,다청림(143-1),95D㎡,서울시 구로구 궁동,1153010900,143-1,서울시 구로구 오리로22나길 16-9,37.500287,126.830821,38,0,7,6,198,38,48,보강건설(주),HT001,95.63,84.21,88,3,2,10,계단식,89110,273680,17820,166750,0,0,0,,,,,,,,,,,,서울온수초등학교,B100001251,서울특별시 구로구 온수동 산2-8번지(온수동길 100),공립,단설,19840127,서울특별시교육청,http://onsu.sen.es.kr,20230531,18.7,20.8,412,400,20230531,10,45,6,5,6,7,6,7,120,113,129,154,142,,2,10,37,812,1,3,0,0,20230531,35,,0,0.0,20230531,직영,3589,1140,928856000,37.49385577,126.82609153,1153011000,서울시,19.8,17.4,구로구,19.8,17.5,15,144.0,186.0
