,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,금호어울림,80㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,80.45,59.97,75,3,1,37,계단식,289040,675160,57800,328320,0,0,0,,146335,152841,,10억,,,,,,,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,9,82.0,195.0
1,금호어울림,96㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,96.29,74.46,77,3,2,24,계단식,395100,876690,79020,402570,0,0,0,,181693,189770,,,,,,,,,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,9,82.0,195.0
2,금호어울림,106B㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,106.66,83.65,78,3,2,1,계단식,497700,1048320,99540,451080,0,0,0,,204118,213192,,,,,,,,,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,9,82.0,195.0
3,금호어울림,107A㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,107.68,84.97,79,3,2,221,계단식,562270,1151630,112450,476910,0,0,0,,207339,216556,"12억 5,000",15억,,,,,,,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,9,82.0,195.0
4,금호어울림,123㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,123.84,101.96,82,3,2,1,계단식,562270,1151630,112450,476910,0,0,0,,248797,259857,,,,,,,,,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,9,82.0,195.0
5,금호어울림,136B㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,136.35,114.97,84,4,2,1,계단식,652050,1295280,130410,512820,0,0,0,,280543,293015,,,,,,,,,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,9,82.0,195.0
6,금호어울림,137A,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,137.75,114.97,83,4,2,82,계단식,678820,1338110,135760,523530,0,0,0,,280543,293015,14억,17억,,,,,,,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,9,82.0,195.0
0,대성유니드,77㎡,서울시 성동구 마장동,1120010500,825,서울시 성동구 마장로37길 7,37.56704,127.03838,248,0,22,20,241,15,280,대성산업(주),HT001,77.27,59.7,77,3,2,100,계단식,300480,696900,60090,336330,0,0,0,,163131,170342,"8억 8,000","9억 5,000",5억,"5억 4,000",,4억/40,,4억/40,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,6,82.0,195.0
1,대성유니드,104㎡,서울시 성동구 마장동,1120010500,825,서울시 성동구 마장로37길 7,37.56704,127.03838,248,0,22,20,241,15,280,대성산업(주),HT001,104.61,84.71,81,3,2,104,계단식,414000,912600,82800,415800,0,0,0,,231471,241703,,,,6억,"4억 5,000/22",5억/50,"4억 5,000/22",5억/50,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,6,82.0,195.0
2,대성유니드,134,서울시 성동구 마장동,1120010500,825,서울시 성동구 마장로37길 7,37.56704,127.03838,248,0,22,20,241,15,280,대성산업(주),HT001,134.9,114.52,85,4,2,44,계단식,518170,1081070,103630,459270,0,0,0,,312927,326760,"12억 5,000",13억,,8억,,,,,서울마장초등학교,B100005244,서울특별시 성동구 마장동 766-49 서울마장초등학교,혁신,단설,20050301,서울특별시교육청,http://majang.sen.es.kr,20230531,15.4,18.5,234,228,20230531,2,37,4,4,4,4,4,4,79,76,68,72,83,,1,2,24,462,1,4,0,0,20230531,19,,0,0.0,20230531,직영,3447,672,622541000,37.56796275,127.0424839,1120010500,서울시,19.8,17.4,성동구,17.8,15.9,6,82.0,195.0
