,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,길음뉴타운11단지롯데캐슬골든힐스,82A㎡,서울시 성북구 길음동,1129013400,1287-1,서울시 성북구 서경로 60,37.608913,127.016146,399,40,24,9,241,20,486,롯데건설(주),HT001,82.04,59.92,73,3,2,70,계단식,231840,566480,46360,288280,0,0,0,,177055,197068,8억,9억,,5억,,,,,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,1,235.0,345.0
1,길음뉴타운11단지롯데캐슬골든힐스,82C㎡,서울시 성북구 길음동,1129013400,1287-1,서울시 성북구 서경로 60,37.608913,127.016146,399,40,24,9,241,20,486,롯데건설(주),HT001,82.04,59.92,73,3,2,11,계단식,231840,566480,46360,288280,0,0,0,,177055,197068,,"8억 1,000",,,,,,,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,1,235.0,345.0
2,길음뉴타운11단지롯데캐슬골든힐스,82B㎡,서울시 성북구 길음동,1129013400,1287-1,서울시 성북구 서경로 60,37.608913,127.016146,399,40,24,9,241,20,486,롯데건설(주),HT001,82.61,59.97,73,3,2,10,계단식,231840,566480,46360,288280,0,0,0,,177185,197213,,,,,,,,,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,1,235.0,345.0
3,길음뉴타운11단지롯데캐슬골든힐스,82T㎡,서울시 성북구 길음동,1129013400,1287-1,서울시 성북구 서경로 60,37.608913,127.016146,399,40,24,9,241,20,486,롯데건설(주),HT001,82.58,59.89,73,3,2,5,계단식,192240,491240,38440,260560,0,0,0,,176955,196957,,"9억 5,000",,,,,,,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,1,235.0,345.0
4,길음뉴타운11단지롯데캐슬골든힐스,100㎡,서울시 성북구 길음동,1129013400,1287-1,서울시 성북구 서경로 60,37.608913,127.016146,399,40,24,9,241,20,486,롯데건설(주),HT001,100.5,73.97,74,3,2,34,계단식,268800,636720,53760,314160,0,0,0,,218545,243247,"8억 8,000",10억,,,,,,,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,1,235.0,345.0
5,길음뉴타운11단지롯데캐슬골든힐스,114A㎡,서울시 성북구 길음동,1129013400,1287-1,서울시 성북구 서경로 60,37.608913,127.016146,399,40,24,9,241,20,486,롯데건설(주),HT001,114.79,84.93,74,3,2,168,계단식,340080,772140,68010,364050,0,0,0,,250927,279290,"9억 4,000","12억 5,000",6억,"6억 5,000",,,,,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,1,235.0,345.0
6,길음뉴타운11단지롯데캐슬골든힐스,115B,서울시 성북구 길음동,1129013400,1287-1,서울시 성북구 서경로 60,37.608913,127.016146,399,40,24,9,241,20,486,롯데건설(주),HT001,115.37,84.93,74,3,2,61,계단식,340080,772140,68010,364050,0,0,0,,250922,279284,10억,11억,,,,5억/60,,5억/60,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,1,235.0,345.0
0,길음뉴타운2단지푸르지오,77B㎡,서울시 성북구 길음동,1129013400,1280,서울시 성북구 길음로 119,37.611669,127.016592,1634,0,18,14,254,17,2088,(주)대우건설,HT001,77.66,59.99,77,3,2,105,계단식,158800,427720,31760,237160,0,0,0,,159399,160624,"6억 9,000","8억 5,000",,,,,,,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,2,235.0,345.0
1,길음뉴타운2단지푸르지오,77C㎡,서울시 성북구 길음동,1129013400,1280,서울시 성북구 길음로 119,37.611669,127.016592,1634,0,18,14,254,17,2088,(주)대우건설,HT001,77.49,59.77,77,3,2,72,복도식,150000,411000,30000,231000,0,0,0,,158815,160035,"6억 7,000","7억 2,000",,"4억 3,000",,,,,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,2,235.0,345.0
2,길음뉴타운2단지푸르지오,78A㎡,서울시 성북구 길음동,1129013400,1280,서울시 성북구 길음로 119,37.611669,127.016592,1634,0,18,14,254,17,2088,(주)대우건설,HT001,78.94,59.99,76,3,2,134,계단식,160560,431060,32110,238390,0,0,0,,159399,160624,"6억 8,000","7억 2,000",,,,,,,서울길원초등학교,B100005272,서울특별시 성북구 길음동 1280-4,공립,병설,20060105,서울특별시교육청,http://gilwon.sen.es.kr,20230531,22.5,24.4,634,609,20230531,13,68,8,8,8,8,8,9,185,205,198,200,209,,2,11,49,1243,3,6,0,0,20230531,23,,0,0.0,20230531,직영,3417,1281,1234921000,37.60906121,127.0168721,1129013400,서울시,19.8,17.4,성북구,20.2,18.2,2,235.0,345.0
