,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,KLC,73,서울시 송파구 석촌동,1171010500,251-16,서울시 송파구 가락로5길 4-26,37.500345,127.10369,10,0,6,6,299,59,8,(주)강남종합건설,HT001,73.9,64.3,87,3,2,10,계단식,165840,441080,33160,242080,0,0,0,,,,,"6억 5,000",,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,5,121.0,122.0
0,다성리치빌,79㎡,서울시 송파구 석촌동,1171010500,77-7,서울시 송파구 백제고분로37길 12,37.504004,127.103277,19,0,5,4,226,50,22,다성건설(주),HT001,79.06,73.75,93,3,2,2,계단식,,,,,,,,,,,,"7억 5,000",,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,4,121.0,122.0
1,다성리치빌,91㎡,서울시 송파구 석촌동,1171010500,77-7,서울시 송파구 백제고분로37길 12,37.504004,127.103277,19,0,5,4,226,50,22,다성건설(주),HT001,91.06,84.94,93,3,2,12,계단식,,,,,,,,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,4,121.0,122.0
2,다성리치빌,128A㎡,서울시 송파구 석촌동,1171010500,77-7,서울시 송파구 백제고분로37길 12,37.504004,127.103277,19,0,5,4,226,50,22,다성건설(주),HT001,128.2,119.58,93,5,3,4,계단식,,,,,,,,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,4,121.0,122.0
3,다성리치빌,130B,서울시 송파구 석촌동,1171010500,77-7,서울시 송파구 백제고분로37길 12,37.504004,127.103277,19,0,5,4,226,50,22,다성건설(주),HT001,130.15,121.41,93,5,3,1,계단식,,,,,,,,,,,,"9억 5,000",,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,4,121.0,122.0
0,미켈란호수가(주상복합),154㎡,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,154.02,129.45,84,3,2,46,계단식,1193400,2070270,238680,638190,0,0,0,,,,21억,22억,,,2억/500,4억/300,2억/500,4억/300,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
1,미켈란호수가(주상복합),160A㎡,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,160.43,134.86,84,3,2,2,계단식,1164600,2025630,232920,628110,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
2,미켈란호수가(주상복합),162B㎡,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,162.77,136.8,84,3,2,22,계단식,1263600,2179080,252720,662760,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
3,미켈란호수가(주상복합),176㎡,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,176.09,148.02,84,3,2,2,계단식,1256400,2167920,251280,660240,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
4,미켈란호수가(주상복합),226,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,226.79,189.73,84,4,2,1,계단식,1810800,3027240,362160,854280,359420,299520,59900,,,,,60억,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
0,밀란체,78㎡,서울시 송파구 석촌동,1171010500,227-12,서울시 송파구 가락로3길 3-24,37.499085,127.099159,13,0,8,7,200,33,13,(주)도훈이앤에이,HT001,78.3,65.7,84,3,1,1,복합식,123600,360840,24720,212520,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,11,121.0,122.0
1,밀란체,81,서울시 송파구 석촌동,1171010500,227-12,서울시 송파구 가락로3길 3-24,37.499085,127.099159,13,0,8,7,200,33,13,(주)도훈이앤에이,HT001,81.47,68.36,84,3,1,12,복합식,142960,397620,28590,226070,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,11,121.0,122.0
0,배명씨앤디,85㎡,서울시 송파구 석촌동,1171010500,222-7,서울시 송파구 송파대로37길 132,37.497718,127.098259,18,0,7,7,289,55,18,시앤디공영(주),HT001,85.37,73.16,86,3,2,6,계단식,147360,405980,29470,229150,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,14,121.0,122.0
1,배명씨앤디,88,서울시 송파구 석촌동,1171010500,222-7,서울시 송파구 송파대로37길 132,37.497718,127.098259,18,0,7,7,289,55,18,시앤디공영(주),HT001,88.32,75.69,86,3,2,12,계단식,156160,422700,31230,235310,0,0,0,,,,7억,"7억 5,000","4억 5,000",5억,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,14,121.0,122.0
0,서원,94,서울시 송파구 석촌동,1171010500,224-2,서울시 송파구 송파대로37길 122,37.498123,127.099442,24,0,7,7,0,0,26,(주)서원씨앤씨,HT001,94.96,84.96,89,3,2,24,계단식,241520,584880,48300,295060,0,0,0,,,,8억,"8억 5,000",,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,13,121.0,122.0
0,석촌,103㎡,서울시 송파구 석촌동,1171010500,216-4,서울시 송파구 삼학사로8길 13,37.500152,127.098316,16,0,5,4,211,59,23,신화산업주식회사,HT001,103.98,96.35,93,3,2,11,계단식,214240,533040,42840,275960,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,11,121.0,122.0
1,석촌,160,서울시 송파구 석촌동,1171010500,216-4,서울시 송파구 삼학사로8길 13,37.500152,127.098316,16,0,5,4,211,59,23,신화산업주식회사,HT001,160.18,148.44,93,4,2,5,복도식,305760,706940,61150,340030,0,0,0,,,,,"12억 5,000",,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,11,121.0,122.0
0,석촌베스트휴,67㎡,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,67.2,58.98,88,2,1,1,계단식,116080,343800,23210,204510,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
1,석촌베스트휴,71㎡,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,71.3,62.58,88,2,1,1,계단식,119160,351810,23830,208820,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
2,석촌베스트휴,79㎡,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,79.94,70.17,88,3,2,2,계단식,150880,412660,30170,231610,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
3,석촌베스트휴,81㎡,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,81.58,71.61,88,3,2,3,계단식,154400,419360,30880,234080,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
4,석촌베스트휴,86,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,86.02,75.51,88,3,2,3,계단식,174640,457800,34920,248240,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,10,121.0,122.0
0,석촌신부파스카빌,53㎡,서울시 송파구 석촌동,1171010500,60-2,서울시 송파구 석촌호수로18길 8-72,37.503385,127.100609,19,0,6,5,196,45,19,신부종합건설,HT001,53.91,44.66,83,2,1,1,계단식,94700,288220,18940,174580,0,0,0,,,,,"4억 5,000",,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,8,121.0,122.0
1,석촌신부파스카빌,71㎡,서울시 송파구 석촌동,1171010500,60-2,서울시 송파구 석촌호수로18길 8-72,37.503385,127.100609,19,0,6,5,196,45,19,신부종합건설,HT001,71.97,59.62,83,3,1,1,계단식,121840,357480,24360,211280,0,0,0,,,,,,,,,,,,서울석촌초등학교,B100000924,서울특별시 송파구 석촌동 267번지,공립,단설,19890807,서울특별시교육청,http://seokchon.sen.es.kr,20230531,18.3,19.3,363,330,20230531,6,52,6,5,5,5,6,6,120,110,107,100,121,,3,14,33,693,2,2,0,0,20230531,12,,0,0.0,20230531,직영,3611,1014,763022000,37.50255455,127.10474716,1171010500,서울시,19.8,17.4,송파구,21.5,18.0,8,121.0,122.0
