,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,KNP상상,102㎡,서울시 송파구 풍납동,1171010300,224-1,서울시 송파구 풍성로6가길 7,37.533923,127.115123,49,0,6,6,185,55,66,(주)케이앤피종합건설,HT001,102.97,84.95,82,3,2,30,복합식,197520,501280,39500,264260,0,0,0,,,,8억,"8억 3,000",,"4억 5,000",,,,,서울풍납초등학교,B100000952,서울특별시 송파구 풍납동 165,공립,단설,19800801,서울특별시교육청,http://poongnap.sen.es.kr,20230531,15.2,17.4,185,162,20230531,2,33,3,3,3,3,3,3,55,50,65,49,62,,2,6,18,347,2,2,0,0,20230531,7,,0,0.0,20230531,직영,3377,623,518709000,37.53497756,127.11814329,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,4,60.0,87.0
1,KNP상상,108㎡,서울시 송파구 풍납동,1171010300,224-1,서울시 송파구 풍성로6가길 7,37.533923,127.115123,49,0,6,6,185,55,66,(주)케이앤피종합건설,HT001,108.89,90.05,83,3,2,1,복합식,206320,518000,41260,270420,0,0,0,,,,,,,,,,,,서울풍납초등학교,B100000952,서울특별시 송파구 풍납동 165,공립,단설,19800801,서울특별시교육청,http://poongnap.sen.es.kr,20230531,15.2,17.4,185,162,20230531,2,33,3,3,3,3,3,3,55,50,65,49,62,,2,6,18,347,2,2,0,0,20230531,7,,0,0.0,20230531,직영,3377,623,518709000,37.53497756,127.11814329,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,4,60.0,87.0
2,KNP상상,133,서울시 송파구 풍납동,1171010300,224-1,서울시 송파구 풍성로6가길 7,37.533923,127.115123,49,0,6,6,185,55,66,(주)케이앤피종합건설,HT001,133.67,110.48,83,4,2,18,복합식,252080,604940,50410,302450,0,0,0,,,,,,,,,,,,서울풍납초등학교,B100000952,서울특별시 송파구 풍납동 165,공립,단설,19800801,서울특별시교육청,http://poongnap.sen.es.kr,20230531,15.2,17.4,185,162,20230531,2,33,3,3,3,3,3,3,55,50,65,49,62,,2,6,18,347,2,2,0,0,20230531,7,,0,0.0,20230531,직영,3377,623,518709000,37.53497756,127.11814329,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,4,60.0,87.0
0,갑을,78A㎡,서울시 송파구 풍납동,1171010300,214-6,서울시 송파구 한가람로 414,37.53518,127.11258,85,0,14,12,322,29,85,갑을건설(주),HT001,78.18,59.4,76,3,1,26,복도식,223040,549760,44600,282120,0,0,0,,,,"8억 5,000",9억,,,,,,,서울토성초등학교,B100000950,서울특별시 송파구 풍납동 251번지(벌말8길 48),공립,단설,19840421,서울특별시교육청,http://stosung.sen.es.kr,20230531,18.9,20.5,372,326,20230531,4,44,7,5,5,5,6,5,136,101,102,110,130,,1,5,33,698,2,2,0,0,20230531,11,,0,0.0,20230531,직영,3611,912,787194000,37.53164728,127.11514216,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,8,114.0,137.0
1,갑을,78B㎡,서울시 송파구 풍납동,1171010300,214-6,서울시 송파구 한가람로 414,37.53518,127.11258,85,0,14,12,322,29,85,갑을건설(주),HT001,78.61,59.73,76,3,1,24,복도식,210720,526360,42140,273500,0,0,0,,,,"7억 7,000",8억,,,,,,,서울토성초등학교,B100000950,서울특별시 송파구 풍납동 251번지(벌말8길 48),공립,단설,19840421,서울특별시교육청,http://stosung.sen.es.kr,20230531,18.9,20.5,372,326,20230531,4,44,7,5,5,5,6,5,136,101,102,110,130,,1,5,33,698,2,2,0,0,20230531,11,,0,0.0,20230531,직영,3611,912,787194000,37.53164728,127.11514216,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,8,114.0,137.0
2,갑을,91㎡,서울시 송파구 풍납동,1171010300,214-6,서울시 송파구 한가람로 414,37.53518,127.11258,85,0,14,12,322,29,85,갑을건설(주),HT001,91.11,69.22,76,3,2,11,계단식,282000,661800,56400,323400,0,0,0,,,,,8억,,,,,,,서울토성초등학교,B100000950,서울특별시 송파구 풍납동 251번지(벌말8길 48),공립,단설,19840421,서울특별시교육청,http://stosung.sen.es.kr,20230531,18.9,20.5,372,326,20230531,4,44,7,5,5,5,6,5,136,101,102,110,130,,1,5,33,698,2,2,0,0,20230531,11,,0,0.0,20230531,직영,3611,912,787194000,37.53164728,127.11514216,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,8,114.0,137.0
3,갑을,105A㎡,서울시 송파구 풍납동,1171010300,214-6,서울시 송파구 한가람로 414,37.53518,127.11258,85,0,14,12,322,29,85,갑을건설(주),HT001,105.89,84.42,80,3,2,11,계단식,313680,721980,62730,345570,0,0,0,,,,,,,,,,,,서울토성초등학교,B100000950,서울특별시 송파구 풍납동 251번지(벌말8길 48),공립,단설,19840421,서울특별시교육청,http://stosung.sen.es.kr,20230531,18.9,20.5,372,326,20230531,4,44,7,5,5,5,6,5,136,101,102,110,130,,1,5,33,698,2,2,0,0,20230531,11,,0,0.0,20230531,직영,3611,912,787194000,37.53164728,127.11514216,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,8,114.0,137.0
4,갑을,106B㎡,서울시 송파구 풍납동,1171010300,214-6,서울시 송파구 한가람로 414,37.53518,127.11258,85,0,14,12,322,29,85,갑을건설(주),HT001,106.5,84.9,80,3,2,10,계단식,313680,721980,62730,345570,0,0,0,,,,,"14억 5,000",,,,,,,서울토성초등학교,B100000950,서울특별시 송파구 풍납동 251번지(벌말8길 48),공립,단설,19840421,서울특별시교육청,http://stosung.sen.es.kr,20230531,18.9,20.5,372,326,20230531,4,44,7,5,5,5,6,5,136,101,102,110,130,,1,5,33,698,2,2,0,0,20230531,11,,0,0.0,20230531,직영,3611,912,787194000,37.53164728,127.11514216,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,8,114.0,137.0
5,갑을,123㎡,서울시 송파구 풍납동,1171010300,214-6,서울시 송파구 한가람로 414,37.53518,127.11258,85,0,14,12,322,29,85,갑을건설(주),HT001,123.67,93.97,76,4,2,1,복도식,327760,748740,65550,355430,0,0,0,,,,,,,,,,,,서울토성초등학교,B100000950,서울특별시 송파구 풍납동 251번지(벌말8길 48),공립,단설,19840421,서울특별시교육청,http://stosung.sen.es.kr,20230531,18.9,20.5,372,326,20230531,4,44,7,5,5,5,6,5,136,101,102,110,130,,1,5,33,698,2,2,0,0,20230531,11,,0,0.0,20230531,직영,3611,912,787194000,37.53164728,127.11514216,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,8,114.0,137.0
6,갑을,137㎡,서울시 송파구 풍납동,1171010300,214-6,서울시 송파구 한가람로 414,37.53518,127.11258,85,0,14,12,322,29,85,갑을건설(주),HT001,137.73,109.8,80,4,2,1,복도식,372600,833940,74520,386820,0,0,0,,,,,,,,,,,,서울토성초등학교,B100000950,서울특별시 송파구 풍납동 251번지(벌말8길 48),공립,단설,19840421,서울특별시교육청,http://stosung.sen.es.kr,20230531,18.9,20.5,372,326,20230531,4,44,7,5,5,5,6,5,136,101,102,110,130,,1,5,33,698,2,2,0,0,20230531,11,,0,0.0,20230531,직영,3611,912,787194000,37.53164728,127.11514216,1171010300,서울시,19.8,17.4,송파구,21.5,18.0,8,114.0,137.0
