,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,M펠리체,44㎡,서울시 양천구 신정동,1147010100,939-3,서울시 양천구 중앙로 336,37.525979,126.850291,14,0,8,7,241,49,11,(주)대한종합건설,HT001,44.61,38.8,87,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울양동초등학교,B100001041,서울특별시 양천구 신정동 941번지,혁신,단설,19720811,서울특별시교육청,http://yangdong.sen.es.kr,20230531,15.1,16.9,182,157,20230531,4,30,3,3,3,3,3,3,50,53,47,54,56,,2,8,18,339,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3480,457,481860000,37.52608113,126.85120828,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,2,71.0,99.0
1,M펠리체,45B㎡,서울시 양천구 신정동,1147010100,939-3,서울시 양천구 중앙로 336,37.525979,126.850291,14,0,8,7,241,49,11,(주)대한종합건설,HT001,45.27,39.37,87,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울양동초등학교,B100001041,서울특별시 양천구 신정동 941번지,혁신,단설,19720811,서울특별시교육청,http://yangdong.sen.es.kr,20230531,15.1,16.9,182,157,20230531,4,30,3,3,3,3,3,3,50,53,47,54,56,,2,8,18,339,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3480,457,481860000,37.52608113,126.85120828,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,2,71.0,99.0
2,M펠리체,45A㎡,서울시 양천구 신정동,1147010100,939-3,서울시 양천구 중앙로 336,37.525979,126.850291,14,0,8,7,241,49,11,(주)대한종합건설,HT001,45.16,39.28,87,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울양동초등학교,B100001041,서울특별시 양천구 신정동 941번지,혁신,단설,19720811,서울특별시교육청,http://yangdong.sen.es.kr,20230531,15.1,16.9,182,157,20230531,4,30,3,3,3,3,3,3,50,53,47,54,56,,2,8,18,339,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3480,457,481860000,37.52608113,126.85120828,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,2,71.0,99.0
3,M펠리체,50,서울시 양천구 신정동,1147010100,939-3,서울시 양천구 중앙로 336,37.525979,126.850291,14,0,8,7,241,49,11,(주)대한종합건설,HT001,50.8,44.18,87,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울양동초등학교,B100001041,서울특별시 양천구 신정동 941번지,혁신,단설,19720811,서울특별시교육청,http://yangdong.sen.es.kr,20230531,15.1,16.9,182,157,20230531,4,30,3,3,3,3,3,3,50,53,47,54,56,,2,8,18,339,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3480,457,481860000,37.52608113,126.85120828,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,2,71.0,99.0
0,SM엘루이,79A㎡,서울시 양천구 신정동,1147010100,1014-5,서울시 양천구 은행정로4길 25,37.521417,126.86259,41,0,12,11,249,49,41,(주)승민건설,HT001,79.14,59.67,75,3,2,1,계단식,130640,374200,26120,217440,0,0,0,,,,,,,,,,,,서울신서초등학교,B100001036,서울특별시 양천구 신정동 312번지,공립,단설,19871022,서울특별시교육청,http://sinseo.sen.es.kr,20230531,21.7,24.8,548,541,20230531,4,60,6,6,8,8,8,8,140,142,201,222,189,,0,0,44,1089,1,4,0,0,20230531,12,,0,0.0,20230531,직영,3347,1198,1423050000,37.52025264,126.86243232,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,1,195.0,163.0
1,SM엘루이,79B㎡,서울시 양천구 신정동,1147010100,1014-5,서울시 양천구 은행정로4길 25,37.521417,126.86259,41,0,12,11,249,49,41,(주)승민건설,HT001,79.06,59.75,76,3,1,1,계단식,136800,385920,27360,221760,0,0,0,,,,,,,,,,,,서울신서초등학교,B100001036,서울특별시 양천구 신정동 312번지,공립,단설,19871022,서울특별시교육청,http://sinseo.sen.es.kr,20230531,21.7,24.8,548,541,20230531,4,60,6,6,8,8,8,8,140,142,201,222,189,,0,0,44,1089,1,4,0,0,20230531,12,,0,0.0,20230531,직영,3347,1198,1423050000,37.52025264,126.86243232,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,1,195.0,163.0
2,SM엘루이,79C㎡,서울시 양천구 신정동,1147010100,1014-5,서울시 양천구 은행정로4길 25,37.521417,126.86259,41,0,12,11,249,49,41,(주)승민건설,HT001,79.12,59.84,76,3,1,1,계단식,136800,385920,27360,221760,0,0,0,,,,,,,,,,,,서울신서초등학교,B100001036,서울특별시 양천구 신정동 312번지,공립,단설,19871022,서울특별시교육청,http://sinseo.sen.es.kr,20230531,21.7,24.8,548,541,20230531,4,60,6,6,8,8,8,8,140,142,201,222,189,,0,0,44,1089,1,4,0,0,20230531,12,,0,0.0,20230531,직영,3347,1198,1423050000,37.52025264,126.86243232,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,1,195.0,163.0
3,SM엘루이,81㎡,서울시 양천구 신정동,1147010100,1014-5,서울시 양천구 은행정로4길 25,37.521417,126.86259,41,0,12,11,249,49,41,(주)승민건설,HT001,81.42,62.02,76,3,2,1,계단식,151760,414340,30350,232230,0,0,0,,,,,,,,,,,,서울신서초등학교,B100001036,서울특별시 양천구 신정동 312번지,공립,단설,19871022,서울특별시교육청,http://sinseo.sen.es.kr,20230531,21.7,24.8,548,541,20230531,4,60,6,6,8,8,8,8,140,142,201,222,189,,0,0,44,1089,1,4,0,0,20230531,12,,0,0.0,20230531,직영,3347,1198,1423050000,37.52025264,126.86243232,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,1,195.0,163.0
4,SM엘루이,111B㎡,서울시 양천구 신정동,1147010100,1014-5,서울시 양천구 은행정로4길 25,37.521417,126.86259,41,0,12,11,249,49,41,(주)승민건설,HT001,111.45,84.97,76,3,2,17,계단식,285520,668480,57100,325860,0,0,0,,,,,,,,,,,,서울신서초등학교,B100001036,서울특별시 양천구 신정동 312번지,공립,단설,19871022,서울특별시교육청,http://sinseo.sen.es.kr,20230531,21.7,24.8,548,541,20230531,4,60,6,6,8,8,8,8,140,142,201,222,189,,0,0,44,1089,1,4,0,0,20230531,12,,0,0.0,20230531,직영,3347,1198,1423050000,37.52025264,126.86243232,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,1,195.0,163.0
5,SM엘루이,111A㎡,서울시 양천구 신정동,1147010100,1014-5,서울시 양천구 은행정로4길 25,37.521417,126.86259,41,0,12,11,249,49,41,(주)승민건설,HT001,111.78,84.96,76,3,2,10,계단식,285520,668480,57100,325860,0,0,0,,,,,,,,,,,,서울신서초등학교,B100001036,서울특별시 양천구 신정동 312번지,공립,단설,19871022,서울특별시교육청,http://sinseo.sen.es.kr,20230531,21.7,24.8,548,541,20230531,4,60,6,6,8,8,8,8,140,142,201,222,189,,0,0,44,1089,1,4,0,0,20230531,12,,0,0.0,20230531,직영,3347,1198,1423050000,37.52025264,126.86243232,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,1,195.0,163.0
6,SM엘루이,111C,서울시 양천구 신정동,1147010100,1014-5,서울시 양천구 은행정로4길 25,37.521417,126.86259,41,0,12,11,249,49,41,(주)승민건설,HT001,111.67,84.98,76,3,2,10,계단식,285520,668480,57100,325860,0,0,0,,,,,,,,,,,,서울신서초등학교,B100001036,서울특별시 양천구 신정동 312번지,공립,단설,19871022,서울특별시교육청,http://sinseo.sen.es.kr,20230531,21.7,24.8,548,541,20230531,4,60,6,6,8,8,8,8,140,142,201,222,189,,0,0,44,1089,1,4,0,0,20230531,12,,0,0.0,20230531,직영,3347,1198,1423050000,37.52025264,126.86243232,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,1,195.0,163.0
0,건영,77B㎡,서울시 양천구 신정동,1147010100,890-13,서울시 양천구 목동로25길 9,37.52768,126.86276,35,0,8,8,227,33,28,(주)건영종합건설,HT001,77.33,59.67,77,3,1,22,계단식,108160,323210,21630,193420,0,0,0,,,,"6억 2,000","6억 5,000",,"4억 3,000",,"3억 6,000/20",,"3억 6,000/20",서울양목초등학교,B100001043,서울특별시 양천구 신정동 1001번지,공립,단설,19800417,서울특별시교육청,http://yangmok.sen.es.kr,20230531,17.4,17.6,332,284,20230531,4,44,5,5,5,6,6,6,78,101,100,104,112,,2,8,33,616,2,3,0,0,20230531,3,,0,0.0,20230531,직영,3385,903,790127000,37.52368946,126.86122688,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,9,113.0,31.0
1,건영,77A,서울시 양천구 신정동,1147010100,890-13,서울시 양천구 목동로25길 9,37.52768,126.86276,35,0,8,8,227,33,28,(주)건영종합건설,HT001,77.31,59.65,77,3,1,13,복도식,108160,323210,21630,193420,0,0,0,,,,,,,"3억 9,000",,,,,서울양목초등학교,B100001043,서울특별시 양천구 신정동 1001번지,공립,단설,19800417,서울특별시교육청,http://yangmok.sen.es.kr,20230531,17.4,17.6,332,284,20230531,4,44,5,5,5,6,6,6,78,101,100,104,112,,2,8,33,616,2,3,0,0,20230531,3,,0,0.0,20230531,직영,3385,903,790127000,37.52368946,126.86122688,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,9,113.0,31.0
0,경남아너스빌1차,108A2㎡,서울시 양천구 신정동,1147010100,1307,서울시 양천구 목동동로10길 16-6,37.518187,126.871497,292,0,19,6,321,26,389,경남기업(주),HT005,108.62,84.98,78,3,2,53,계단식,502420,1055870,100480,452970,0,0,0,,428173,258818,"11억 8,000","12억 5,000",,,,6억/100,,6억/100,서울신목초등학교,B100001035,서울특별시 양천구 신정동 281,공립,단설,19820408,서울특별시교육청,http://sinmoc.sen.es.kr,20230531,22.9,23.9,492,465,20230531,6,55,5,5,5,6,8,9,104,124,134,170,193,,2,15,38,957,3,2,0,0,20230531,6,,0,0.0,20230531,직영,3611,1069,954105000,37.5169126,126.87285861,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,2,217.0,193.0
1,경남아너스빌1차,109B2㎡,서울시 양천구 신정동,1147010100,1307,서울시 양천구 목동동로10길 16-6,37.518187,126.871497,292,0,19,6,321,26,389,경남기업(주),HT005,109,84.99,78,3,2,24,계단식,502420,1055870,100480,452970,0,0,0,,428223,258848,"12억 7,000","14억 3,000",,,,,,,서울신목초등학교,B100001035,서울특별시 양천구 신정동 281,공립,단설,19820408,서울특별시교육청,http://sinmoc.sen.es.kr,20230531,22.9,23.9,492,465,20230531,6,55,5,5,5,6,8,9,104,124,134,170,193,,2,15,38,957,3,2,0,0,20230531,6,,0,0.0,20230531,직영,3611,1069,954105000,37.5169126,126.87285861,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,2,217.0,193.0
2,경남아너스빌1차,109C2㎡,서울시 양천구 신정동,1147010100,1307,서울시 양천구 목동동로10길 16-6,37.518187,126.871497,292,0,19,6,321,26,389,경남기업(주),HT005,109.01,84.88,78,3,2,13,계단식,502420,1055870,100480,452970,0,0,0,,427669,258514,,,,,,,,,서울신목초등학교,B100001035,서울특별시 양천구 신정동 281,공립,단설,19820408,서울특별시교육청,http://sinmoc.sen.es.kr,20230531,22.9,23.9,492,465,20230531,6,55,5,5,5,6,8,9,104,124,134,170,193,,2,15,38,957,3,2,0,0,20230531,6,,0,0.0,20230531,직영,3611,1069,954105000,37.5169126,126.87285861,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,2,217.0,193.0
3,경남아너스빌1차,109A1㎡,서울시 양천구 신정동,1147010100,1307,서울시 양천구 목동동로10길 16-6,37.518187,126.871497,292,0,19,6,321,26,389,경남기업(주),HT005,109.11,84.97,78,3,2,11,계단식,521320,1086110,104260,460530,0,0,0,,428122,258788,,,,,,,,,서울신목초등학교,B100001035,서울특별시 양천구 신정동 281,공립,단설,19820408,서울특별시교육청,http://sinmoc.sen.es.kr,20230531,22.9,23.9,492,465,20230531,6,55,5,5,5,6,8,9,104,124,134,170,193,,2,15,38,957,3,2,0,0,20230531,6,,0,0.0,20230531,직영,3611,1069,954105000,37.5169126,126.87285861,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,2,217.0,193.0
4,경남아너스빌1차,110B1㎡,서울시 양천구 신정동,1147010100,1307,서울시 양천구 목동동로10길 16-6,37.518187,126.871497,292,0,19,6,321,26,389,경남기업(주),HT005,110.08,84.95,77,3,2,19,계단식,496120,1045790,99220,450450,0,0,0,,428021,258727,"12억 1,000","13억 5,000",,,,,,,서울신목초등학교,B100001035,서울특별시 양천구 신정동 281,공립,단설,19820408,서울특별시교육청,http://sinmoc.sen.es.kr,20230531,22.9,23.9,492,465,20230531,6,55,5,5,5,6,8,9,104,124,134,170,193,,2,15,38,957,3,2,0,0,20230531,6,,0,0.0,20230531,직영,3611,1069,954105000,37.5169126,126.87285861,1147010100,서울시,19.8,17.4,양천구,21.4,18.9,2,217.0,193.0
