,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,대우,43A㎡,서울시 영등포구 당산동2가,1156011200,16-1,서울시 영등포구 영등포로 106,37.521317,126.892819,536,0,25,21,399,38,583,(주)대우건설,HT002,43.04,31.73,74,1,1,325,복도식,64600,209960,12920,132440,0,0,0,,260060,146982,"3억 3,000","4억 5,000",2억,"3억 1,000","1,000/75","5,000/70","1,000/75","5,000/70",서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,5,179.0,230.0,
1,대우,44B㎡,서울시 영등포구 당산동2가,1156011200,16-1,서울시 영등포구 영등포로 106,37.521317,126.892819,536,0,25,21,399,38,583,(주)대우건설,HT002,44.26,32.62,74,1,1,48,복도식,64600,209960,12920,132440,0,0,0,,267354,151105,,,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,5,179.0,230.0,
2,대우,61,서울시 영등포구 당산동2가,1156011200,16-1,서울시 영등포구 영등포로 106,37.521317,126.892819,536,0,25,21,399,38,583,(주)대우건설,HT002,61.79,45.55,74,1,1,163,복도식,113880,338080,22770,201430,0,0,0,,373329,211000,"5억 8,000","6억 3,000",,"3억 2,000",,1억/80,,1억/80,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,5,179.0,230.0,
0,서경홈타운,28㎡,서울시 영등포구 당산동2가,1156011200,28-1,서울시 영등포구 영등포로19길 3-1,37.522303,126.892665,12,0,8,8,298,53,7,주식회사국보종합건설,HT001,28.06,22.35,80,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,9,94.0,115.0,
1,서경홈타운,28,서울시 영등포구 당산동2가,1156011200,28-1,서울시 영등포구 영등포로19길 3-1,37.522303,126.892665,12,0,8,8,298,53,7,주식회사국보종합건설,HT001,28.23,22.5,80,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,9,94.0,115.0,
0,우성하임,30㎡,서울시 영등포구 당산동2가,1156011200,159-3,서울시 영등포구 선유동1로 24-18,37.523991,126.892938,12,0,6,6,249,59,6,오성종합건설(주),HT001,30.67,26.2,85,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,6,94.0,115.0,
1,우성하임,34㎡,서울시 영등포구 당산동2가,1156011200,159-3,서울시 영등포구 선유동1로 24-18,37.523991,126.892938,12,0,6,6,249,59,6,오성종합건설(주),HT001,34.99,29.89,85,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,6,94.0,115.0,
2,우성하임,34,서울시 영등포구 당산동2가,1156011200,159-3,서울시 영등포구 선유동1로 24-18,37.523991,126.892938,12,0,6,6,249,59,6,오성종합건설(주),HT001,34.45,29.43,85,2,1,4,계단식,,,,,,,,,,,,"3억 1,000",,,,,,,서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,6,94.0,115.0,
0,플러스뷰(주상복합),21,서울시 영등포구 당산동2가,1156011200,32-1,서울시 영등포구 영등포로 99,37.522148,126.892506,16,0,13,13,358,38,7,(주)다원에이앤씨,HT001,21.12,15.33,73,1,1,16,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,현대,101,서울시 영등포구 당산동2가,1156011200,164,서울시 영등포구 당산로 95,37.523352,126.894565,783,0,20,18,299,22,740,현대건설(주),HT001,101.67,82.77,81,3,2,783,계단식,412200,909180,82440,414540,0,0,0,,187640,195269,10억,"11억 9,000",6억,"6억 6,000","2,000/300","4억 7,000/40","2,000/300","4억 7,000/40",서울당중초등학교,B100001211,서울특별시 영등포구 양평동3가 42,공립,단설,19491028,서울특별시교육청,http://dangjung.sen.es.kr,20230531,19.1,20.6,308,268,20230531,3,37,5,4,5,4,4,4,104,95,105,83,86,,2,9,26,576,0,5,0,0,20230531,9,,0,0.0,20230531,직영,3377,596,777528000,37.52625009,126.89034159,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,7,94.0,115.0,
