,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,G&P용산파크(주상복합),33㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,33.26,27.04,81,2,1,9,계단식,,,,,,,,,,,"4억 5,000","5억 4,000",,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,8,51.0,48.0
1,G&P용산파크(주상복합),34A㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,34.76,28.28,81,2,1,18,계단식,,,,,,,,,,,,"4억 6,000",,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,8,51.0,48.0
2,G&P용산파크(주상복합),34B㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,34.96,28.61,82,2,1,9,계단식,,,,,,,,,,,,,,"3억 1,180",,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,8,51.0,48.0
3,G&P용산파크(주상복합),35C㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,35.35,28.92,82,2,1,9,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,8,51.0,48.0
4,G&P용산파크(주상복합),35D㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,35.45,29.32,83,2,1,1,계단식,,,,,,,,,,,,"5억 5,000",,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,8,51.0,48.0
5,G&P용산파크(주상복합),36F㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,36.87,29.99,81,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,8,51.0,48.0
6,G&P용산파크(주상복합),37E,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,37.31,29.57,79,2,1,1,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,8,51.0,48.0
0,미르타워(주상복합),20D㎡,서울시 용산구 문배동,1117012200,2-9,서울시 용산구 원효로90길 30-1,37.539005,126.970378,18,0,14,13,678,59,10,신부종합건설(주),HT001,20.36,11.91,58,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,10,51.0,48.0
1,미르타워(주상복합),22E㎡,서울시 용산구 문배동,1117012200,2-9,서울시 용산구 원효로90길 30-1,37.539005,126.970378,18,0,14,13,678,59,10,신부종합건설(주),HT001,22.26,13.02,58,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,10,51.0,48.0
2,미르타워(주상복합),25A㎡,서울시 용산구 문배동,1117012200,2-9,서울시 용산구 원효로90길 30-1,37.539005,126.970378,18,0,14,13,678,59,10,신부종합건설(주),HT001,25.11,14.69,59,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,10,51.0,48.0
3,미르타워(주상복합),27B㎡,서울시 용산구 문배동,1117012200,2-9,서울시 용산구 원효로90길 30-1,37.539005,126.970378,18,0,14,13,678,59,10,신부종합건설(주),HT001,27.32,15.98,58,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,10,51.0,48.0
4,미르타워(주상복합),42C,서울시 용산구 문배동,1117012200,2-9,서울시 용산구 원효로90길 30-1,37.539005,126.970378,18,0,14,13,678,59,10,신부종합건설(주),HT001,42.81,25.04,58,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,10,51.0,48.0
0,삼라마이다스빌(주상복합),62㎡,서울시 용산구 문배동,1117012200,40-19,서울시 용산구 백범로90라길 28,37.538552,126.969203,95,0,15,7,547,58,145,(주)삼라건설,HT001,62.71,49.7,79,2,1,1,계단식,210720,526360,42140,273500,0,0,0,,,,,,,,,,,,서울남정초등학교,B100002373,서울특별시 용산구 원효로2가 54번지,혁신,단설,19451101,서울특별시교육청,http://seoul-nj.sen.es.kr,20230531,16.2,16.7,164,136,20230531,4,31,3,3,3,2,3,3,46,43,55,38,51,,1,6,17,300,1,3,0,0,20230531,12,,0,0.0,20230531,직영,3447,443,635902000,37.53626811,126.96503273,1117011300,서울시,19.8,17.4,용산구,17.0,15.2,10,61.0,131.0
1,삼라마이다스빌(주상복합),74A㎡,서울시 용산구 문배동,1117012200,40-19,서울시 용산구 백범로90라길 28,37.538552,126.969203,95,0,15,7,547,58,145,(주)삼라건설,HT001,74.9,59.35,79,2,1,1,계단식,269680,638380,53930,314770,0,0,0,,,,,,,,,,,,서울남정초등학교,B100002373,서울특별시 용산구 원효로2가 54번지,혁신,단설,19451101,서울특별시교육청,http://seoul-nj.sen.es.kr,20230531,16.2,16.7,164,136,20230531,4,31,3,3,3,2,3,3,46,43,55,38,51,,1,6,17,300,1,3,0,0,20230531,12,,0,0.0,20230531,직영,3447,443,635902000,37.53626811,126.96503273,1117011300,서울시,19.8,17.4,용산구,17.0,15.2,10,61.0,131.0
2,삼라마이다스빌(주상복합),77B㎡,서울시 용산구 문배동,1117012200,40-19,서울시 용산구 백범로90라길 28,37.538552,126.969203,95,0,15,7,547,58,145,(주)삼라건설,HT001,77.01,61.04,79,2,1,2,계단식,269680,638380,53930,314770,0,0,0,,,,,,,,,,,,서울남정초등학교,B100002373,서울특별시 용산구 원효로2가 54번지,혁신,단설,19451101,서울특별시교육청,http://seoul-nj.sen.es.kr,20230531,16.2,16.7,164,136,20230531,4,31,3,3,3,2,3,3,46,43,55,38,51,,1,6,17,300,1,3,0,0,20230531,12,,0,0.0,20230531,직영,3447,443,635902000,37.53626811,126.96503273,1117011300,서울시,19.8,17.4,용산구,17.0,15.2,10,61.0,131.0
3,삼라마이다스빌(주상복합),78A㎡,서울시 용산구 문배동,1117012200,40-19,서울시 용산구 백범로90라길 28,37.538552,126.969203,95,0,15,7,547,58,145,(주)삼라건설,HT001,78.68,62.36,79,2,1,1,계단식,284640,666800,56920,325240,0,0,0,,,,,,,,,,,,서울남정초등학교,B100002373,서울특별시 용산구 원효로2가 54번지,혁신,단설,19451101,서울특별시교육청,http://seoul-nj.sen.es.kr,20230531,16.2,16.7,164,136,20230531,4,31,3,3,3,2,3,3,46,43,55,38,51,,1,6,17,300,1,3,0,0,20230531,12,,0,0.0,20230531,직영,3447,443,635902000,37.53626811,126.96503273,1117011300,서울시,19.8,17.4,용산구,17.0,15.2,10,61.0,131.0
4,삼라마이다스빌(주상복합),79B㎡,서울시 용산구 문배동,1117012200,40-19,서울시 용산구 백범로90라길 28,37.538552,126.969203,95,0,15,7,547,58,145,(주)삼라건설,HT001,79.82,63.26,79,2,1,2,복도식,284640,666800,56920,325240,0,0,0,,,,,,,,,,,,서울남정초등학교,B100002373,서울특별시 용산구 원효로2가 54번지,혁신,단설,19451101,서울특별시교육청,http://seoul-nj.sen.es.kr,20230531,16.2,16.7,164,136,20230531,4,31,3,3,3,2,3,3,46,43,55,38,51,,1,6,17,300,1,3,0,0,20230531,12,,0,0.0,20230531,직영,3447,443,635902000,37.53626811,126.96503273,1117011300,서울시,19.8,17.4,용산구,17.0,15.2,10,61.0,131.0
