,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,금호베스트빌,115㎡,서울시 용산구 서빙고동,1117013300,296,서울시 용산구 서빙고로51길 68-14,37.52314,126.991712,172,0,18,16,292,18,298,금호산업(주),HT001,115.62,84.94,73,3,2,68,계단식,1215000,2103750,243000,645750,0,0,0,,252944,241990,,17억,"6억 7,000",8억,,,,,서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,6,78.0,37.0
1,금호베스트빌,121A㎡,서울시 용산구 서빙고동,1117013300,296,서울시 용산구 서빙고로51길 68-14,37.52314,126.991712,172,0,18,16,292,18,298,금호산업(주),HT001,121.71,84.98,70,3,2,15,계단식,1215000,2103750,243000,645750,0,0,0,,253063,242104,,,,,,,,,서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,6,78.0,37.0
2,금호베스트빌,121B㎡,서울시 용산구 서빙고동,1117013300,296,서울시 용산구 서빙고로51길 68-14,37.52314,126.991712,172,0,18,16,292,18,298,금호산업(주),HT001,121.45,84.95,70,3,2,15,계단식,1215000,2103750,243000,645750,0,0,0,,252974,242019,,,,"6억 5,000",,,,,서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,6,78.0,37.0
3,금호베스트빌,182㎡,서울시 용산구 서빙고동,1117013300,296,서울시 용산구 서빙고로51길 68-14,37.52314,126.991712,172,0,18,16,292,18,298,금호산업(주),HT001,182.65,144.45,79,4,2,18,계단식,1659600,2792880,331920,801360,165880,138240,27640,,430160,411531,,23억,,"6억 8,000",,,,,서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,6,78.0,37.0
4,금호베스트빌,183㎡,서울시 용산구 서빙고동,1117013300,296,서울시 용산구 서빙고로51길 68-14,37.52314,126.991712,172,0,18,16,292,18,298,금호산업(주),HT001,183.86,144.99,79,4,2,18,계단식,1659600,2792880,331920,801360,165880,138240,27640,,431768,413070,,,,,,,,,서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,6,78.0,37.0
5,금호베스트빌,196㎡,서울시 용산구 서빙고동,1117013300,296,서울시 용산구 서빙고로51길 68-14,37.52314,126.991712,172,0,18,16,292,18,298,금호산업(주),HT001,196.07,156.58,80,4,2,36,계단식,1701000,2857050,340200,815850,218880,182400,36480,,466282,446090,,,,,3억/500,"5억 5,000/90",3억/500,"5억 5,000/90",서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,6,78.0,37.0
6,금호베스트빌,204,서울시 용산구 서빙고동,1117013300,296,서울시 용산구 서빙고로51길 68-14,37.52314,126.991712,172,0,18,16,292,18,298,금호산업(주),HT001,204.15,143.49,70,4,2,2,계단식,1659600,2792880,331920,801360,165880,138240,27640,,427301,408797,,,,,,,,,서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,6,78.0,37.0
0,서빙고그린파크,85㎡,서울시 용산구 서빙고동,1117013300,293,서울시 용산구 서빙고로51길 64,37.523244,126.991259,123,0,19,14,298,28,154,코오롱건설(주),HT001,85.42,59.98,70,3,1,45,복도식,388800,864720,77760,398160,0,0,0,,,,,,,"4억 6,200","3,000/200","2억 3,000/130","3,000/200","2억 3,000/130",서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,3,78.0,37.0
1,서빙고그린파크,110㎡,서울시 용산구 서빙고동,1117013300,293,서울시 용산구 서빙고로51길 64,37.523244,126.991259,123,0,19,14,298,28,154,코오롱건설(주),HT001,110.26,84.99,77,3,2,18,복도식,691420,1358270,138280,528570,0,0,0,,,,,18억,,,,,,,서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,3,78.0,37.0
2,서빙고그린파크,120㎡,서울시 용산구 서빙고동,1117013300,293,서울시 용산구 서빙고로51길 64,37.523244,126.991259,123,0,19,14,298,28,154,코오롱건설(주),HT001,120.98,84.99,70,3,2,18,계단식,691420,1358270,138280,528570,0,0,0,,,,,"16억 3,000",,6억,,,,,서울서빙고초등학교,B100002382,서울특별시 용산구 서빙고동 235번지,혁신,병설,19451101,서울특별시교육청,http://seobinggo.sen.es.kr,20230531,17.5,17.9,183,192,20230531,2,31,2,3,3,3,4,4,52,48,53,61,73,,2,10,19,375,1,4,0,0,20230531,3,,0,0.0,20230531,직영,3377,488,538246000,37.52130739,126.99222853,1117013300,서울시,19.8,17.4,용산구,17.0,15.2,3,78.0,37.0
