,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,삼각,32㎡,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,32.4,32.4,100,1,1,4,복도식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
1,삼각,35㎡,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,35.37,35.37,100,1,1,20,복도식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
2,삼각,43㎡,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,43.64,43.64,100,2,1,10,복도식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
3,삼각,48㎡,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,48.93,48.93,100,2,1,21,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
4,삼각,56A㎡,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,56.2,56.2,100,2,1,5,계단식,,,,,,,,,,,,,,"2억 2,000",,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
5,삼각,56B㎡,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,56.53,56.53,100,2,1,4,계단식,,,,,,,,,,,"6억 2,000",9억,,"2억 2,000",,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
6,삼각,70A㎡,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,70.74,70.74,100,3,1,29,복도식,,,,,,,,,,,,15억,,"1억 7,000",,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
7,삼각,70B㎡,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,70.75,70.75,100,3,1,1,계단식,,,,,,,,,,,,,,,,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
8,삼각,79㎡,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,79.34,79.34,100,3,1,24,복도식,,,,,,,,,,,,"14억 5,000",,"2억 2,000",,,,,서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
9,삼각,85,서울시 용산구 한강로1가,1117012400,231-24,서울시 용산구 한강대로62길 32,37.533694,126.973173,130,0,6,5,0,0,0,삼익주택,HT001,85.95,85.95,100,3,1,12,복도식,,,,,,,,,,,,16억,,"1억 3,000",,"2,000/80",,"2,000/80",서울용산초등학교,B100002386,서울특별시 용산구 한강로2가 1,혁신,단설,19451101,서울특별시교육청,http://yongsan.sen.es.kr,20230531,15.4,19.1,192,170,20230531,2,27,4,4,3,2,3,2,76,79,63,37,55,,1,1,18,362,3,2,0,0,20230531,2,,0,0.0,20230531,직영,3550,362,469961000,37.53544112,126.97232519,1117012500,서울시,19.8,17.4,용산구,17.0,15.2,5,51.0,48.0
