,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,DK밸리뷰한남(도시형),29D㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,29.1,24.01,83,2,1,16,계단식,,,,,,,,,,,"6억 2,000",8억,,4억,,,,,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,15,44.0,288.0,
1,DK밸리뷰한남(도시형),29B㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,29.6,24.43,83,2,1,4,계단식,,,,,,,,,,,,,4억,"4억 5,000",,2억/100,,2억/100,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,15,44.0,288.0,
2,DK밸리뷰한남(도시형),29B1㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,29.31,24.19,83,2,1,2,계단식,,,,,,,,,,,,,,"4억 3,000",,,,,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,15,44.0,288.0,
3,DK밸리뷰한남(도시형),32A㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,32.35,26.7,83,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,15,44.0,288.0,
4,DK밸리뷰한남(도시형),32A1㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,32.35,26.7,83,2,1,2,계단식,,,,,,,,,,,,,,4억,,,,,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,15,44.0,288.0,
5,DK밸리뷰한남(도시형),33C,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,33.11,27.32,83,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,15,44.0,288.0,
0,나인원한남,248B㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,248.84,206.89,83,3,4,124,계단식,9783000,15384150,1956600,3644550,30375840,25313200,5062640,,,,,105억,65억,77억,25억/2000,35억/2000,25억/2000,35억/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,나인원한남,248A㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,248.84,206.89,83,3,4,26,계단식,9421200,14823360,1884240,3517920,28465530,23721280,4744250,,,,96억,105억,,70억,40억/1600,50억/1200,40억/1600,50억/1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,나인원한남,248C㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,248.84,206.89,83,3,4,24,계단식,10503000,16500150,2100600,3896550,34177440,28481200,5696240,,,,,100억,,70억,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,나인원한남,293B㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,293.93,244.34,83,4,4,81,계단식,11120400,17457120,2224080,4112640,37437310,31197760,6239550,,,,100억,115억,77억,80억,15억/2200,40억/2000,15억/2200,40억/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,나인원한남,293C㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,293.93,244.34,83,4,4,27,계단식,11620800,18232740,2324160,4287780,40079420,33399520,6679900,,,,,,,77억,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,나인원한남,293A㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,293.93,244.34,83,4,4,6,계단식,10674000,16765200,2134800,3956400,35080320,29233600,5846720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,나인원한남,299PA㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,299.74,244.82,82,3,2,10,계단식,16837200,26318160,3367440,6113520,68236410,56863680,11372730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,나인원한남,333B㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,333.2,273.41,82,4,5,21,계단식,13536000,21201300,2707200,4958100,50191680,41826400,8365280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,나인원한남,334A,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,334.17,273.94,82,4,5,22,계단식,13536000,21201300,2707200,4958100,50191680,41826400,8365280,,,,,,120억,130억,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,남산맨션,27㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,27.7,27.01,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,12,44.0,288.0,
1,남산맨션,29㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,29.05,28.36,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,12,44.0,288.0,
2,남산맨션,32A㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,32.4,31.67,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,12,44.0,288.0,
3,남산맨션,32B㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,32.63,31.9,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,서울한남초등학교,B100002398,서울특별시 용산구 한남동 726-1번지,혁신,병설,19210509,서울특별시교육청,http://hannam.sen.es.kr,20230531,13.3,19.4,169,141,20230531,4,25,3,3,2,2,3,2,81,56,43,35,45,,1,6,15,310,3,1,0,0,20230531,28,,0,0.0,20230531,직영,3550,314,466892000,37.53903383,127.00525462,1117013100,서울시,19.8,17.4,용산구,17.0,15.2,12,44.0,288.0,
