,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,두레,70㎡,서울시 종로구 필운동,1111011300,174-1,서울시 종로구 필운대로2길 2,37.578183,126.969684,18,0,7,7,191,47,20,주식회사 에이앤베스트종합건설,HT001,70.93,59.85,84,3,1,1,계단식,127120,367520,25420,214980,0,0,0,,,,,,,,,,,,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,5,30.0,127.0
1,두레,92㎡,서울시 종로구 필운동,1111011300,174-1,서울시 종로구 필운대로2길 2,37.578183,126.969684,18,0,7,7,191,47,20,주식회사 에이앤베스트종합건설,HT001,92.93,78.42,84,3,1,2,계단식,215120,534720,43020,276580,0,0,0,,,,,,,,,,,,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,5,30.0,127.0
2,두레,100,서울시 종로구 필운동,1111011300,174-1,서울시 종로구 필운대로2길 2,37.578183,126.969684,18,0,7,7,191,47,20,주식회사 에이앤베스트종합건설,HT001,100.44,84.74,84,3,2,15,계단식,250320,601600,50060,301220,0,0,0,,,,,,,,,,,,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,5,30.0,127.0
0,신동아블루아광화문의꿈(주상복합),125A㎡,서울시 종로구 필운동,1111011300,254,서울시 종로구 사직로 102,37.575816,126.969968,28,0,11,11,515,59,39,(주)신동아종합건설,HT001,125.12,107.5,86,4,2,7,계단식,,,,,,,,,,,,,,,,,,,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,5,30.0,127.0
1,신동아블루아광화문의꿈(주상복합),126B㎡,서울시 종로구 필운동,1111011300,254,서울시 종로구 사직로 102,37.575816,126.969968,28,0,11,11,515,59,39,(주)신동아종합건설,HT001,126.81,108.95,86,4,2,7,계단식,,,,,,,,,,,,"13억 5,000",,,,,,,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,5,30.0,127.0
2,신동아블루아광화문의꿈(주상복합),130㎡,서울시 종로구 필운동,1111011300,254,서울시 종로구 사직로 102,37.575816,126.969968,28,0,11,11,515,59,39,(주)신동아종합건설,HT001,130.33,111.97,86,4,2,7,계단식,,,,,,,,,,,,"14억 5,000","8억 2,680","8억 3,000",,,,,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,5,30.0,127.0
3,신동아블루아광화문의꿈(주상복합),161,서울시 종로구 필운동,1111011300,254,서울시 종로구 사직로 102,37.575816,126.969968,28,0,11,11,515,59,39,(주)신동아종합건설,HT001,161.39,138.66,86,4,2,7,계단식,,,,,,,,,,,,,,,,,,,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,5,30.0,127.0
0,파크맨션,111㎡,서울시 종로구 필운동,1111011300,142,서울시 종로구 사직로 95,37.576343,126.969362,15,0,7,7,0,0,0,,HT001,111.04,99.17,89,3,2,8,계단식,,,,,,,,,,,,,,,,4억/50,,4억/50,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,4,30.0,127.0
1,파크맨션,117A㎡,서울시 종로구 필운동,1111011300,142,서울시 종로구 사직로 95,37.576343,126.969362,15,0,7,7,0,0,0,,HT001,117.29,104.73,89,4,1,4,계단식,,,,,,,,,,,,,,,,,,,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,4,30.0,127.0
2,파크맨션,118B㎡,서울시 종로구 필운동,1111011300,142,서울시 종로구 사직로 95,37.576343,126.969362,15,0,7,7,0,0,0,,HT001,118.05,105.49,89,3,2,1,계단식,,,,,,,,,,,,,,,,,,,서울매동초등학교,B100002377,서울특별시 종로구 필운동 32번지,공립,단설,18951115,서울특별시교육청,http://maedong.sen.es.kr,20230531,13.2,13.4,92,82,20230531,4,20,2,2,2,2,2,2,24,28,24,22,41,,1,5,12,174,1,3,0,0,20230531,10,,0,0.0,20230531,직영,3855,272,424143000,37.57730905,126.96681919,1111011300,서울시,19.8,17.4,종로구,16.7,14.8,4,30.0,127.0
