,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),남교사 수,6학년 학생 수,방과후_학생 _수
0,이지마루충무로(주상복합),32B㎡,서울시 중구 충무로5가,1114013300,36-19,서울시 중구 퇴계로49길 26,37.563311,126.999477,28,0,14,14,596,58,17,(주)수영종합건설,HT001,32.79,27.8,85,1,1,14,계단식,,,,,,,,,,,"3억 5,000","4억 2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,이지마루충무로(주상복합),33A,서울시 중구 충무로5가,1114013300,36-19,서울시 중구 퇴계로49길 26,37.563311,126.999477,28,0,14,14,596,58,17,(주)수영종합건설,HT001,33.54,28.43,85,1,1,14,계단식,,,,,,,,,,,,"3억 8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,충무로엘크루메트로시티Ⅱ(도시형),34A㎡,서울시 중구 충무로5가,1114013300,36-2,서울시 중구 퇴계로49길 14,37.563433,126.999953,171,0,20,20,690,49,92,대우조선해양건설(주),HT001,34.45,22.75,66,1,1,133,복도식,,,,,,,,,141934,156278,"1억 9,000","2억 2,000",,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,4,,33.0,114.0
1,충무로엘크루메트로시티Ⅱ(도시형),52C㎡,서울시 중구 충무로5가,1114013300,36-2,서울시 중구 퇴계로49길 14,37.563433,126.999953,171,0,20,20,690,49,92,대우조선해양건설(주),HT001,52.85,35.55,67,1,1,19,복도식,,,,,,,,,221792,244205,,"3억 4,000",,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,4,,33.0,114.0
2,충무로엘크루메트로시티Ⅱ(도시형),53B,서울시 중구 충무로5가,1114013300,36-2,서울시 중구 퇴계로49길 14,37.563433,126.999953,171,0,20,20,690,49,92,대우조선해양건설(주),HT001,53.49,35.57,66,1,1,19,복도식,,,,,,,,,221916,244343,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,4,,33.0,114.0
0,충무로헤센스마트(도시형),29C㎡,서울시 중구 충무로5가,1114013300,90,서울시 중구 서애로1길 11,37.561364,126.998487,120,0,7,7,208,58,65,신한종합건설(주),HT001,29.11,19.76,68,1,1,18,계단식,,,,,,,,,,,,"2억 3,000",,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,6,,33.0,114.0
1,충무로헤센스마트(도시형),29C-1㎡,서울시 중구 충무로5가,1114013300,90,서울시 중구 서애로1길 11,37.561364,126.998487,120,0,7,7,208,58,65,신한종합건설(주),HT001,29.11,19.76,68,1,1,18,계단식,,,,,,,,,,,,"2억 2,200",,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,6,,33.0,114.0
2,충무로헤센스마트(도시형),30B㎡,서울시 중구 충무로5가,1114013300,90,서울시 중구 서애로1길 11,37.561364,126.998487,120,0,7,7,208,58,65,신한종합건설(주),HT001,30.91,21.04,68,1,1,48,계단식,,,,,,,,,,,"2억 5,000","2억 5,500",,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,6,,33.0,114.0
3,충무로헤센스마트(도시형),30B-1㎡,서울시 중구 충무로5가,1114013300,90,서울시 중구 서애로1길 11,37.561364,126.998487,120,0,7,7,208,58,65,신한종합건설(주),HT001,30.91,21.04,68,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,6,,33.0,114.0
4,충무로헤센스마트(도시형),46D㎡,서울시 중구 충무로5가,1114013300,90,서울시 중구 서애로1길 11,37.561364,126.998487,120,0,7,7,208,58,65,신한종합건설(주),HT001,46.15,31.02,67,1,1,6,계단식,,,,,,,,,,,,,,,,,,,서울충무초등학교,B100002396,서울특별시 중구 장충동2가 173-7,공립,단설,19570428,서울특별시교육청,http://seoulchungmu.sen.es.kr,20230531,13.9,13.9,107,87,20230531,3,27,2,2,2,2,2,3,28,30,31,32,37,,1,3,13,194,0,3,0,0,20230531,9,,0,0.0,20230531,직영,3530,278,535463000,37.56202381,127.00181999,1114014400,서울시,19.8,17.4,중구,17.9,14.8,6,,33.0,114.0
