,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,거성,88㎡,부산시 금정구 남산동,2641010400,38-4,부산시 금정구 금단로 151,35.262696,129.092767,16,0,9,9,375,53,10,창도 종합 건설(주),HT001,88.95,69.05,78,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,거성,98㎡,부산시 금정구 남산동,2641010400,38-4,부산시 금정구 금단로 151,35.262696,129.092767,16,0,9,9,375,53,10,창도 종합 건설(주),HT001,98.96,76.83,78,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,거성,102㎡,부산시 금정구 남산동,2641010400,38-4,부산시 금정구 금단로 151,35.262696,129.092767,16,0,9,9,375,53,10,창도 종합 건설(주),HT001,102.31,79.43,78,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,거성,105A㎡,부산시 금정구 남산동,2641010400,38-4,부산시 금정구 금단로 151,35.262696,129.092767,16,0,9,9,375,53,10,창도 종합 건설(주),HT001,105.7,82.06,78,3,2,7,계단식,,,,,,,,,,,,,,,,,,,,,,
4,거성,107B,부산시 금정구 남산동,2641010400,38-4,부산시 금정구 금단로 151,35.262696,129.092767,16,0,9,9,375,53,10,창도 종합 건설(주),HT001,107.34,83.33,78,3,2,6,계단식,,,,,,,,,,,,,,,,,,,,,,
0,거성경원,61㎡,부산시 금정구 남산동,2641010400,991-1,부산시 금정구 금샘로 497,35.267199,129.083767,37,0,12,9,361,59,34,(주)경원건설,HT001,61.05,45.91,75,2,1,1,계단식,15683,62731,3137,43911,0,0,0,,,,,,,,,,,,,,,
1,거성경원,67㎡,부산시 금정구 남산동,2641010400,991-1,부산시 금정구 금샘로 497,35.267199,129.083767,37,0,12,9,361,59,34,(주)경원건설,HT001,67.38,52.08,77,2,1,1,계단식,18000,72000,3600,50400,0,0,0,,,,,,,,,,,,,,,
2,거성경원,75A㎡,부산시 금정구 남산동,2641010400,991-1,부산시 금정구 금샘로 497,35.267199,129.083767,37,0,12,9,361,59,34,(주)경원건설,HT001,75.61,59.28,78,3,1,8,계단식,21150,84600,4230,59220,0,0,0,,,,,"1억 4,500",,,,,,,,,,
3,거성경원,76B㎡,부산시 금정구 남산동,2641010400,991-1,부산시 금정구 금샘로 497,35.267199,129.083767,37,0,12,9,361,59,34,(주)경원건설,HT001,76.27,59.88,79,3,1,7,계단식,21263,85051,4253,59535,0,0,0,,,,,,,,,,,,,,,
4,거성경원,79㎡,부산시 금정구 남산동,2641010400,991-1,부산시 금정구 금샘로 497,35.267199,129.083767,37,0,12,9,361,59,34,(주)경원건설,HT001,79.7,63.39,80,3,1,1,계단식,22455,89820,4491,62874,0,0,0,,,,,,,,,,,,,,,
