,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,LKS노빌리티(주상복합),79㎡,부산시 금정구 서동,2641011000,203-2,부산시 금정구 서곡로 3,35.215636,129.106343,15,0,15,15,731,64,14,성무종합건설(주),HT001,79.9,63.01,79,3,2,13,계단식,,,,,,,,,,,,,,,,,,,,,,
1,LKS노빌리티(주상복합),83,부산시 금정구 서동,2641011000,203-2,부산시 금정구 서곡로 3,35.215636,129.106343,15,0,15,15,731,64,14,성무종합건설(주),HT001,83.22,65.74,79,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,가원(주상복합),56A㎡,부산시 금정구 서동,2641011000,520-95,부산시 금정구 서동로91번길 23,35.217927,129.09736,10,0,5,5,396,80,0,,HT001,56.1,46.5,83,2,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
1,가원(주상복합),56B,부산시 금정구 서동,2641011000,520-95,부산시 금정구 서동로91번길 23,35.217927,129.09736,10,0,5,5,396,80,0,,HT001,56.13,46.53,83,2,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
0,다성이룸(주상복합),42㎡,부산시 금정구 서동,2641011000,195-15,부산시 금정구 서동로 159-7,35.215097,129.104089,56,0,15,15,648,78,57,대종종합건설(주),HT001,42.95,33.77,79,1,1,14,계단식,,,,,,,,,,,,,,,,,,,,,,
1,다성이룸(주상복합),70㎡,부산시 금정구 서동,2641011000,195-15,부산시 금정구 서동로 159-7,35.215097,129.104089,56,0,15,15,648,78,57,대종종합건설(주),HT001,70.28,55.72,79,3,1,14,계단식,,,,,,,,,,,"2억 7,000","2억 8,000",,,,,,,,,,
2,다성이룸(주상복합),71㎡,부산시 금정구 서동,2641011000,195-15,부산시 금정구 서동로 159-7,35.215097,129.104089,56,0,15,15,648,78,57,대종종합건설(주),HT001,71.26,56.73,80,3,1,14,계단식,,,,,,,,,,,,,,,,,,,,,,
3,다성이룸(주상복합),75,부산시 금정구 서동,2641011000,195-15,부산시 금정구 서동로 159-7,35.215097,129.104089,56,0,15,15,648,78,57,대종종합건설(주),HT001,75.5,59.6,79,3,1,14,계단식,,,,,,,,,,,,"2억 8,000",,,,,,,,,,
0,다온미즈(주상복합),69㎡,부산시 금정구 서동,2641011000,207-4,부산시 금정구 서동로 193-12,35.21467,129.107983,42,0,15,15,746,72,42,주식회사다온종합건설,HT001,69.93,50.66,72,2,1,14,계단식,,,,,,,,,,,"1억 7,000","1억 8,000",,,,,,,,,,
1,다온미즈(주상복합),72A㎡,부산시 금정구 서동,2641011000,207-4,부산시 금정구 서동로 193-12,35.21467,129.107983,42,0,15,15,746,72,42,주식회사다온종합건설,HT001,72.57,52.57,72,3,2,14,계단식,,,,,,,,,,,,,,,,,,,,,,
2,다온미즈(주상복합),73B,부산시 금정구 서동,2641011000,207-4,부산시 금정구 서동로 193-12,35.21467,129.107983,42,0,15,15,746,72,42,주식회사다온종합건설,HT001,73.37,53.15,72,3,2,14,계단식,,,,,,,,,,,,,,,,,,,,,,
0,대묵M-PARK(주상복합),83A㎡,부산시 금정구 서동,2641011000,208-22,부산시 금정구 반송로 397,35.213774,129.107692,44,0,14,14,929,78,41,기연종합건설(주),HT001,83.36,74.09,89,3,2,11,계단식,,,,,,,,,,,,"2억 3,500",,,,,,,,,,
1,대묵M-PARK(주상복합),84B㎡,부산시 금정구 서동,2641011000,208-22,부산시 금정구 반송로 397,35.213774,129.107692,44,0,14,14,929,78,41,기연종합건설(주),HT001,84.3,74.93,89,3,2,11,계단식,,,,,,,,,,,,,,,,,,,,,,
2,대묵M-PARK(주상복합),90,부산시 금정구 서동,2641011000,208-22,부산시 금정구 반송로 397,35.213774,129.107692,44,0,14,14,929,78,41,기연종합건설(주),HT001,90.98,80.86,89,3,2,22,계단식,,,,,,,,,,,,,,,,,,,,,,
0,덕명웨스트아일랜드(도시형),50㎡,부산시 금정구 서동,2641011000,203-38,부산시 금정구 금사로 5-5,35.21499,129.105727,10,0,9,8,577,78,8,덕명종합건설(주),HT001,50.56,41.81,83,2,1,6,계단식,,,,,,,,,,,,"2억 4,000",,,,,,,,,,
1,덕명웨스트아일랜드(도시형),53㎡,부산시 금정구 서동,2641011000,203-38,부산시 금정구 금사로 5-5,35.21499,129.105727,10,0,9,8,577,78,8,덕명종합건설(주),HT001,53.75,44.45,83,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
2,덕명웨스트아일랜드(도시형),55,부산시 금정구 서동,2641011000,203-38,부산시 금정구 금사로 5-5,35.21499,129.105727,10,0,9,8,577,78,8,덕명종합건설(주),HT001,55.88,46.21,83,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,동남아트빌(주상복합),85,부산시 금정구 서동,2641011000,203-4,부산시 금정구 금사로 13,35.215541,129.106479,11,0,7,7,343,79,6,(주)신천건설,HT001,85.94,75.35,88,3,2,11,계단식,,,,,,,,,,,,,,,,,,,,,,
0,동양아우라(주상복합),74㎡,부산시 금정구 서동,2641011000,204-1,부산시 금정구 금사로 14,35.215282,129.106737,8,0,14,14,721,75,8,동국종합건설,HT001,74.26,57.3,77,3,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,동양아우라(주상복합),90,부산시 금정구 서동,2641011000,204-1,부산시 금정구 금사로 14,35.215282,129.106737,8,0,14,14,721,75,8,동국종합건설,HT001,90.06,70.73,79,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,미소드리움(도시형),40㎡,부산시 금정구 서동,2641011000,207-3,부산시 금정구 서동로 193-18,35.215046,129.108026,84,0,13,11,747,79,57,미소종합건설(주),HT001,40.05,28.53,71,1,1,12,복도식,,,,,,,,,,,,,,,,"1,000/40",,"1,000/40",,,,
1,미소드리움(도시형),53㎡,부산시 금정구 서동,2641011000,207-3,부산시 금정구 서동로 193-18,35.215046,129.108026,84,0,13,11,747,79,57,미소종합건설(주),HT001,53.49,38.1,71,2,1,24,계단식,,,,,,,,,,,"1억 5,500","1억 6,000",,"1억 2,000",,"1,000/60",,"1,000/60",,,,
2,미소드리움(도시형),57㎡,부산시 금정구 서동,2641011000,207-3,부산시 금정구 서동로 193-18,35.215046,129.108026,84,0,13,11,747,79,57,미소종합건설(주),HT001,57.07,40.65,71,2,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
3,미소드리움(도시형),63A㎡,부산시 금정구 서동,2641011000,207-3,부산시 금정구 서동로 193-18,35.215046,129.108026,84,0,13,11,747,79,57,미소종합건설(주),HT001,63.27,45.07,71,2,1,16,계단식,,,,,,,,,,,,,,"1억 2,000",,,,,,,,
4,미소드리움(도시형),64B,부산시 금정구 서동,2641011000,207-3,부산시 금정구 서동로 193-18,35.215046,129.108026,84,0,13,11,747,79,57,미소종합건설(주),HT001,64.44,45.9,71,2,1,24,계단식,,,,,,,,,,,,,,,"2,000/50","2,000/55","2,000/50","2,000/55",,,,
0,부산성지(리벨루스),76㎡,부산시 금정구 서동,2641011000,622,부산시 금정구 명서로 94,35.213064,129.099643,212,0,20,13,265,38,217,성지건설(주),HT001,76.86,59.93,78,3,2,104,계단식,27900,111600,5580,78120,0,0,0,,167798,168937,"1억 9,500",2억,,"1억 2,000",,"5,000/50",,"5,000/50",,,,
1,부산성지(리벨루스),98㎡,부산시 금정구 서동,2641011000,622,부산시 금정구 명서로 94,35.213064,129.099643,212,0,20,13,265,38,217,성지건설(주),HT001,98.01,76.08,78,3,2,36,계단식,33450,128970,6690,88830,0,0,0,,212999,214444,"2억 4,000","2억 5,500",,,,,,,,,,
2,부산성지(리벨루스),105,부산시 금정구 서동,2641011000,622,부산시 금정구 명서로 94,35.213064,129.099643,212,0,20,13,265,38,217,성지건설(주),HT001,105.78,84.64,80,3,2,72,계단식,38400,141840,7680,95760,0,0,0,,236971,238579,"2억 6,000","2억 8,000",,,,,,,,,,
0,부성파크빌,97,부산시 금정구 서동,2641011000,209-7,부산시 금정구 서동로186번길 11,35.213847,129.106683,19,0,11,11,0,0,16,(주)덕일종합건설,HT001,97.02,84.95,88,3,2,19,계단식,43800,155880,8760,103320,0,0,0,,,,,,,,,,,,,,,
0,삼한여명,77A㎡,부산시 금정구 서동,2641011000,228-1,부산시 금정구 중군진로 25,35.212725,129.10915,240,0,19,8,331,34,178,(주)신부산설계감리,HT001,77.37,59.71,77,3,1,104,계단식,25875,103500,5175,72450,0,0,0,,132254,127393,"1억 7,500","1억 9,000",,"1억 3,500",,,,,,,,
1,삼한여명,77B㎡,부산시 금정구 서동,2641011000,228-1,부산시 금정구 중군진로 25,35.212725,129.10915,240,0,19,8,331,34,178,(주)신부산설계감리,HT001,77.38,59.71,77,3,1,24,계단식,25875,103500,5175,72450,0,0,0,,132254,127393,,,,,,,,,,,,
2,삼한여명,106㎡,부산시 금정구 서동,2641011000,228-1,부산시 금정구 중군진로 25,35.212725,129.10915,240,0,19,8,331,34,178,(주)신부산설계감리,HT001,106.04,80.46,76,3,1,18,복도식,32550,126630,6510,87570,0,0,0,,178214,171663,2억,"2억 2,000",,,,,,,,,,
3,삼한여명,110㎡,부산시 금정구 서동,2641011000,228-1,부산시 금정구 중군진로 25,35.212725,129.10915,240,0,19,8,331,34,178,(주)신부산설계감리,HT001,110.02,84.9,77,3,2,76,계단식,37500,139500,7500,94500,0,0,0,,188048,181136,"2억 2,000","2억 5,500",,,,,,,,,,
4,삼한여명,139,부산시 금정구 서동,2641011000,228-1,부산시 금정구 중군진로 25,35.212725,129.10915,240,0,19,8,331,34,178,(주)신부산설계감리,HT001,139.98,108.02,77,4,2,18,계단식,52350,178110,10470,115290,0,0,0,,239258,230463,,,,,,,,,,,,
0,서동동국에버리치(주상복합),73㎡,부산시 금정구 서동,2641011000,204-4,부산시 금정구 금사로 12,35.215226,129.106608,20,0,12,12,593,69,20,동국종합건설(주),HT001,73.01,55.17,76,3,2,7,계단식,,,,,,,,,,,,,,,,,,,,,,
1,서동동국에버리치(주상복합),75㎡,부산시 금정구 서동,2641011000,204-4,부산시 금정구 금사로 12,35.215226,129.106608,20,0,12,12,593,69,20,동국종합건설(주),HT001,75.49,56.75,75,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
2,서동동국에버리치(주상복합),81,부산시 금정구 서동,2641011000,204-4,부산시 금정구 금사로 12,35.215226,129.106608,20,0,12,12,593,69,20,동국종합건설(주),HT001,81.7,62.31,76,3,2,10,계단식,,,,,,,,,,,,,,,,,,,,,,
0,서동로얄맨션,46㎡,부산시 금정구 서동,2641011000,237-1,부산시 금정구 서동로194번길 29-1,35.212785,129.106438,50,0,5,5,0,0,0,,HT001,46.16,37.48,81,2,1,1,복도식,13545,54180,2709,37926,0,0,0,,,,,,,,,,,,,,,
1,서동로얄맨션,51㎡,부산시 금정구 서동,2641011000,237-1,부산시 금정구 서동로194번길 29-1,35.212785,129.106438,50,0,5,5,0,0,0,,HT001,51.23,43.57,85,2,1,10,복도식,18338,73351,3668,51345,0,0,0,,,,,,,,,,,,,,,
2,서동로얄맨션,80㎡,부산시 금정구 서동,2641011000,237-1,부산시 금정구 서동로194번길 29-1,35.212785,129.106438,50,0,5,5,0,0,0,,HT001,80.82,65.55,81,3,1,10,복도식,26550,106200,5310,74340,0,0,0,,,,,,,,,,,,,,,
3,서동로얄맨션,91,부산시 금정구 서동,2641011000,237-1,부산시 금정구 서동로194번길 29-1,35.212785,129.106438,50,0,5,5,0,0,0,,HT001,91.14,73.92,81,3,1,29,복도식,33900,130140,6780,89460,0,0,0,,,,,"2억 6,000",,,,,,,,,,
