,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,GIO빌라트Ⅱ(주상복합),96㎡,부산시 금정구 장전동,2641010800,574-5,부산시 금정구 식물원로 51,35.225071,129.08257,19,0,15,14,999,77,22,범송기업,HT001,96.44,76.8,80,3,2,9,계단식,29025,116100,5805,81270,0,0,0,,,,,"2억 1,000",,"1억 7,000",,,,,,,,
1,GIO빌라트Ⅱ(주상복합),104㎡,부산시 금정구 장전동,2641010800,574-5,부산시 금정구 식물원로 51,35.225071,129.08257,19,0,15,14,999,77,22,범송기업,HT001,104.56,83.27,80,3,2,9,계단식,33000,127800,6600,88200,0,0,0,,,,,,,,,,,,,,,
2,GIO빌라트Ⅱ(주상복합),217,부산시 금정구 장전동,2641010800,574-5,부산시 금정구 식물원로 51,35.225071,129.08257,19,0,15,14,999,77,22,범송기업,HT001,217.18,172.99,80,3,2,1,계단식,69450,222570,13890,139230,0,0,0,,,,,,,,,,,,,,,
0,GS금정,89A㎡,부산시 금정구 장전동,2641010800,482-14,부산시 금정구 금강로 217,35.228826,129.081905,214,0,23,9,351,31,144,LG건설(주),HT001,89.94,59.4,66,3,1,18,계단식,34800,132480,6960,90720,0,0,0,,134161,135656,"2억 2,000","2억 5,000",,,,,,,,,,
1,GS금정,90B㎡,부산시 금정구 장전동,2641010800,482-14,부산시 금정구 금강로 217,35.228826,129.081905,214,0,23,9,351,31,144,LG건설(주),HT001,90.8,59.97,66,3,1,92,계단식,41550,150030,8310,100170,0,0,0,,135455,136964,"2억 1,000","2억 5,000","1억 9,000",2억,,,,,,,,
2,GS금정,119㎡,부산시 금정구 장전동,2641010800,482-14,부산시 금정구 금강로 217,35.228826,129.081905,214,0,23,9,351,31,144,LG건설(주),HT001,119.67,84.82,71,3,2,86,계단식,67200,216720,13440,136080,0,0,0,,191575,193709,"3억 3,000","3억 8,000",,,,,,,,,,
3,GS금정,149,부산시 금정구 장전동,2641010800,482-14,부산시 금정구 금강로 217,35.228826,129.081905,214,0,23,9,351,31,144,LG건설(주),HT001,149.11,111.4,75,4,2,18,계단식,77100,242460,15420,149940,0,0,0,,251620,254423,,,,,,,,,,,,
0,경보,76A㎡,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,76.46,59.95,78,2,1,102,계단식,42000,151200,8400,100800,0,0,0,,115555,114462,"2억 2,000","2억 8,500",,,,,,,,,,
1,경보,76B㎡,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,76.29,59.81,78,2,1,24,계단식,42000,151200,8400,100800,0,0,0,,115295,114204,,"2억 2,000",,,,,,,,,,
2,경보,76C㎡,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,76.32,59.84,78,2,1,23,계단식,46050,161730,9210,106470,0,0,0,,115352,114261,,,,,,,,,,,,
3,경보,104A㎡,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,104.89,82.24,78,3,2,48,계단식,69900,223740,13980,139860,0,0,0,,158529,157030,,"3억 5,000",,,,,,,,,,
4,경보,106B㎡,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,106.53,83.52,78,3,2,24,계단식,74400,235440,14880,146160,0,0,0,,160996,159473,,,,,,,,,,,,
5,경보,108A㎡,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,108.03,84.7,78,3,2,20,계단식,74400,235440,14880,146160,0,0,0,,163270,161726,,"3억 5,000",,,,,,,,,,
6,경보,108B㎡,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,108.24,84.87,78,3,2,20,계단식,74400,235440,14880,146160,0,0,0,,163589,162041,"3억 5,000","3억 6,000",,,,,,,,,,
7,경보,157㎡,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,157.69,123.64,78,4,2,24,계단식,90150,276390,18030,168210,0,0,0,,238319,236064,"3억 9,000","4억 7,000",,,,,,,,,,
8,경보,200㎡,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,200.29,157.04,78,5,2,24,계단식,100050,302130,20010,182070,0,0,0,,302697,299835,,"4억 8,000",,,,,,,,,,
9,경보,205,부산시 금정구 장전동,2641010800,581,부산시 금정구 식물원로75번길 33,35.225184,129.081,333,0,24,13,390,25,369,주식회사경보종합건설,HT001,205.7,161.28,78,5,2,24,계단식,105450,316170,21090,189630,0,0,0,,310870,307931,"4억 5,000","5억 5,000",,,,,,,,,,
0,경원골든(주상복합),60㎡,부산시 금정구 장전동,2641010800,227-10,부산시 금정구 장전온천천로 137,35.237082,129.08808,8,0,10,10,495,57,3,(주)경양종합건설,HT001,60.82,49.64,82,2,1,4,계단식,55140,143364,11028,77196,0,0,0,,,,,,,,,,,,,,,
1,경원골든(주상복합),72,부산시 금정구 장전동,2641010800,227-10,부산시 금정구 장전온천천로 137,35.237082,129.08808,8,0,10,10,495,57,3,(주)경양종합건설,HT001,72.92,59.52,82,3,1,4,계단식,69000,175200,13800,92400,0,0,0,,,,,,,,,,,,,,,
0,골든팰리스(도시형),46A㎡,부산시 금정구 장전동,2641010800,653-12,부산시 금정구 식물원로27번길 45,35.223068,129.084707,26,0,14,14,658,77,22,동백종합건설(주),HT001,46.43,38.16,82,1,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
1,골든팰리스(도시형),47B㎡,부산시 금정구 장전동,2641010800,653-12,부산시 금정구 식물원로27번길 45,35.223068,129.084707,26,0,14,14,658,77,22,동백종합건설(주),HT001,47.69,39.2,82,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
2,골든팰리스(도시형),47C㎡,부산시 금정구 장전동,2641010800,653-12,부산시 금정구 식물원로27번길 45,35.223068,129.084707,26,0,14,14,658,77,22,동백종합건설(주),HT001,47.47,39.2,83,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
3,골든팰리스(도시형),54,부산시 금정구 장전동,2641010800,653-12,부산시 금정구 식물원로27번길 45,35.223068,129.084707,26,0,14,14,658,77,22,동백종합건설(주),HT001,54.27,44.61,82,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,금강스위트,84㎡,부산시 금정구 장전동,2641010800,505-83,부산시 금정구 금샘로17번길 7,35.227408,129.0773,12,0,6,6,239,44,11,(주)지원종합건설,HT001,84.52,72.38,86,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,금강스위트,107,부산시 금정구 장전동,2641010800,505-83,부산시 금정구 금샘로17번길 7,35.227408,129.0773,12,0,6,6,239,44,11,(주)지원종합건설,HT001,107.64,92.18,86,3,2,10,계단식,,,,,,,,,,,,,,,,,,,,,,
0,금정누리빌(도시형),51A㎡,부산시 금정구 장전동,2641010800,74-36,부산시 금정구 금강로335번길 112-11,35.238545,129.080324,11,0,5,4,178,52,7,마루종합건설(주),HT001,51.86,42.12,81,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,금정누리빌(도시형),54B㎡,부산시 금정구 장전동,2641010800,74-36,부산시 금정구 금강로335번길 112-11,35.238545,129.080324,11,0,5,4,178,52,7,마루종합건설(주),HT001,54.45,43.6,80,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
2,금정누리빌(도시형),57C㎡,부산시 금정구 장전동,2641010800,74-36,부산시 금정구 금강로335번길 112-11,35.238545,129.080324,11,0,5,4,178,52,7,마루종합건설(주),HT001,57.98,46.34,80,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
3,금정누리빌(도시형),57A㎡,부산시 금정구 장전동,2641010800,74-36,부산시 금정구 금강로335번길 112-11,35.238545,129.080324,11,0,5,4,178,52,7,마루종합건설(주),HT001,57.92,45.81,79,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,금정누리빌(도시형),57B,부산시 금정구 장전동,2641010800,74-36,부산시 금정구 금강로335번길 112-11,35.238545,129.080324,11,0,5,4,178,52,7,마루종합건설(주),HT001,57.97,46.22,80,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,금정리치빌,79A㎡,부산시 금정구 장전동,2641010800,501-25,부산시 금정구 금샘로18번길 75,35.230394,129.078747,23,0,7,6,234,44,20,(주)덕일종합건설,HT001,79.7,70.5,88,3,2,2,계단식,21555,86220,4311,60354,0,0,0,,,,,,,,,,,,,,,
1,금정리치빌,80B㎡,부산시 금정구 장전동,2641010800,501-25,부산시 금정구 금샘로18번길 75,35.230394,129.078747,23,0,7,6,234,44,20,(주)덕일종합건설,HT001,80.41,70.5,88,3,2,1,계단식,21555,86220,4311,60354,0,0,0,,,,,,,,,,,,,,,
2,금정리치빌,93㎡,부산시 금정구 장전동,2641010800,501-25,부산시 금정구 금샘로18번길 75,35.230394,129.078747,23,0,7,6,234,44,20,(주)덕일종합건설,HT001,93.81,82.98,88,3,2,2,계단식,27450,109800,5490,76860,0,0,0,,,,,,,,,,,,,,,
3,금정리치빌,94A㎡,부산시 금정구 장전동,2641010800,501-25,부산시 금정구 금샘로18번길 75,35.230394,129.078747,23,0,7,6,234,44,20,(주)덕일종합건설,HT001,94.64,82.98,88,3,2,2,계단식,27450,109800,5490,76860,0,0,0,,,,,,,,,,,,,,,
4,금정리치빌,96B㎡,부산시 금정구 장전동,2641010800,501-25,부산시 금정구 금샘로18번길 75,35.230394,129.078747,23,0,7,6,234,44,20,(주)덕일종합건설,HT001,96.03,84.94,88,3,2,8,계단식,31200,123120,6240,85680,0,0,0,,,,,,,,,,,,,,,
5,금정리치빌,96C,부산시 금정구 장전동,2641010800,501-25,부산시 금정구 금샘로18번길 75,35.230394,129.078747,23,0,7,6,234,44,20,(주)덕일종합건설,HT001,96.88,84.94,88,3,2,8,계단식,31200,123120,6240,85680,0,0,0,,,,,,,,,,,,,,,
0,금정맨션,82B㎡,부산시 금정구 장전동,2641010800,541-6,부산시 금정구 식물원로44번길 7,35.225489,129.083157,44,0,5,5,0,0,0,,HT001,82.61,74.05,90,3,2,23,계단식,33900,130140,6780,89460,0,0,0,,,,,"2억 3,000",,,,,,,,,,
1,금정맨션,82A㎡,부산시 금정구 장전동,2641010800,541-6,부산시 금정구 식물원로44번길 7,35.225489,129.083157,44,0,5,5,0,0,0,,HT001,82.6,74.04,90,3,2,1,계단식,29700,118800,5940,83160,0,0,0,,,,,,,,,,,,,,,
2,금정맨션,94,부산시 금정구 장전동,2641010800,541-6,부산시 금정구 식물원로44번길 7,35.225489,129.083157,44,0,5,5,0,0,0,,HT001,94.73,82.64,87,3,2,20,계단식,41100,148860,8220,99540,0,0,0,,,,,,,,,,,,,,,
0,금정산쌍용예가,97㎡,부산시 금정구 장전동,2641010800,732,부산시 금정구 금강로379번길 50,35.24291,129.084444,514,0,22,16,267,17,634,쌍용건설(주),HT001,97.7,74.04,76,3,2,40,계단식,126900,367110,25380,214830,0,0,0,,178023,186245,"4억 7,000","5억 3,000",,,,,,,,,,
1,금정산쌍용예가,111A㎡,부산시 금정구 장전동,2641010800,732,부산시 금정구 금강로379번길 50,35.24291,129.084444,514,0,22,16,267,17,634,쌍용건설(주),HT001,111.51,84.86,76,3,2,157,계단식,189900,486810,37980,258930,0,0,0,,204026,213449,5억,"6억 5,500",,,,,,,,,,
